case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,sph_center_pressure,fv_center_pressure,center_error,sph_volume_mean_pressure,fv_volume_mean_pressure,volume_mean_error,apparent_boundary_flux_integral,fv_boundary_flux_integral,flux_ratio,effective_cv_ratio,effective_h
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.006032,-97.1748941904509,999.9978840064646,-1097.1727781969155,-21.22098965066708,615.7272911806482,-636.9482808313153,52.24438971451408,14.543623870330425,3.5922539100515882,3.5922539100515882,8.726109717744151
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,52.22870391036153,4099.121912940717,0.012741437073505474,0.012741437073505474,1.6624912797234082
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.001005,925.9812615005889,1000.0000000000048,-74.01873849941592,899.7517758326785,831.2765899866567,68.47518584602176,56.595806072149955,41.82437749194429,1.3531774880104495,1.3531774880104495,2.029342936046558
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.002011,853.3069129888813,1000.0000000000043,-146.693087011123,782.6142652248742,766.125419923174,16.488845301700167,54.071384389584885,28.31435651466818,1.9096808490623243,1.9096808490623243,2.2365224913182016
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.003016,725.859126686322,999.9999999992508,-274.14087331292876,692.0520180040107,718.0944968392885,-26.042478835277734,53.695451991806976,22.33685316422298,2.4038951054131106,2.4038951054131106,2.5904986156325713
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.004022,666.2127425336739,999.9999987093851,-333.78725617571115,576.3597978095086,678.8508182714902,-102.49102046198163,24.72311521018799,18.770138847466768,1.3171514292513953,1.3171514292513953,1.4012595771380016
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.005027,721.2799740006891,999.9998895685092,-278.71991556782007,596.9617780590066,645.2867233282645,-48.32494526925791,21.736555593572444,16.338665295316975,1.3303752295974032,1.3303752295974032,1.2505894821350263
mode4_normalized_dp010,"mode 4 normalized, dp=0.010",C5h,coarse,0.01,4,normalized,mode4_normalized,0.006032,529.9586899364443,999.9978840064646,-470.03919407002024,492.91713373307533,615.7272911806482,-122.81015744757286,54.20661530011755,14.543623870330425,3.727173899945337,3.727173899945337,3.385251263827656
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,22.41332326666942,4099.121912940717,0.005467835244399955,0.005467835244399955,0.7134382378014049
mode4_capped_dp010,"mode 4 capped diagnostic, dp=0.010",C5f,coarse,0.01,4,diagnostic_capped,mode4_capped,0.001005,982.9058318871334,1000.0000000000048,-17.09416811287133,956.9796742605753,831.2765899866567,125.70308427391853,38.9758712177042,41.82437749194429,0.9318936360788936,0.9318936360788936,1.3078245079700173
