case_label,display,source_stage,resolution,configured_dp,mode,weighting,boundary_family,time,r_over_R_min,r_over_R_max,r_over_R_mid,sph_count,sph_mean_pressure,sph_median_pressure,sph_p95_abs_pressure,sph_max_abs_pressure,fv_mean_pressure,fv_p95_pressure,fv_max_pressure,mean_error,p95_abs_error
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,0.8,0.9,0.8500000000000001,132.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,0.9,0.95,0.925,72.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.0,0.95,1.0,0.975,48.0,1000.0,1000.0,1000.0,1000.0,1000.0000000000001,1000.0,1000.0,-1.1368683772161603e-13,0.0
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,0.0,0.2,0.1,1.0,797.0888413415,797.0888413415,797.0888413415,797.0888413415,999.999999999998,1000.0000000000039,1000.0000000000048,-202.91115865849792,-202.91115865850384
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,0.2,0.4,0.30000000000000004,26.0,753.7331102510232,751.4120945867,766.840252269175,766.8402805459,1000.0000000000024,1000.0000000000088,1000.0000000000094,-246.26688974897922,-233.15974773083371
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,0.4,0.6,0.5,66.0,772.4906387408154,774.5009323204999,810.3724210739749,810.3724377651,999.9999902057164,999.9999999999918,999.9999999999972,-227.509351464901,-189.6275789260169
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,0.6,0.8,0.7,158.0,743.0895008429661,712.5146030896,846.0876699729,846.0877032768,998.7837980267722,999.9997109210876,999.9998826120096,-255.69429718380604,-153.9120409481876
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,0.8,0.9,0.8500000000000001,138.0,619.8357316786607,617.848798211,638.2275701576999,639.4000582928,929.4040318723688,989.5508277969648,991.1156627341811,-309.56830019370807,-351.32325763926485
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,0.9,0.95,0.925,72.0,594.1474345397277,594.0974515017999,594.247513541815,594.2475413477,653.277094619282,789.6512562640808,799.5430385307571,-59.129660079554355,-195.40374272226575
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.001005,0.95,1.0,0.975,24.0,599.71661600815,599.7165783046,599.7167306891849,599.7167526824,239.02867885299847,448.18759576597364,466.14408781181356,360.68793715515153,151.5291349232113
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,0.0,0.2,0.1,7.0,657.3375483511144,650.1377305248,685.416854007,700.536474534,999.9999999999787,999.9999999999983,1000.0000000000047,-342.66245164886436,-314.5831459929983
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,0.2,0.4,0.30000000000000004,20.0,600.28780552351,612.0644883131499,612.06452940305,612.0645537772,999.9999965245886,999.9999999995281,999.999999999892,-399.7121910010786,-387.9354705964781
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,0.4,0.6,0.5,66.0,525.7516432896666,521.23083484445,550.365827871075,550.3658563478,999.9635165206047,999.9999438815095,999.9999741255818,-474.21187323093807,-449.63411601043447
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,0.6,0.8,0.7,158.0,447.9464322520045,432.40824966310004,495.65906734784494,495.6590832707,982.7100228243287,999.6420828704079,999.7732276091905,-534.7635905723241,-503.98301552256294
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,0.8,0.9,0.8500000000000001,138.0,393.1523806440558,393.9581474248,404.140551588255,404.1405722133,800.7607376228908,922.4188000396712,928.7589412029746,-407.608356978835,-518.2782484514162
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,0.9,0.95,0.925,72.0,365.42272344574997,370.39725760240003,370.39734178130504,370.3973579964,482.6295430578979,607.8368554215156,618.3103685946927,-117.20681961214791,-237.43951364021052
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.002011,0.95,1.0,0.975,24.0,346.9285206246125,346.92848426115,346.928641138515,346.9286624362,164.95110391894238,313.91674597494307,327.46393945670764,181.9774167056701,33.01189516357192
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,0.0,0.2,0.1,1.0,233.3972597016,233.3972597016,233.3972597016,233.3972597016,999.9999994343326,999.9999999932801,999.9999999992508,-766.6027397327326,-766.6027402916801
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,0.2,0.4,0.30000000000000004,26.0,393.27555065322315,392.5548894914,447.862523237425,447.8625421791,999.9985725905958,999.9999943699796,999.9999977698524,-606.7230219373727,-552.1374711325545
mode4_raw_dp010,"mode 4 raw, dp=0.010",C5f,coarse,0.01,4,raw,mode4_raw,0.003016,0.4,0.6,0.5,66.0,530.9755830303726,539.2646446008,545.184542256275,545.1845841294,999.2974556653476,999.9878470115308,999.9927216957774,-468.32187263497497,-454.8033047552558
