case,variant,part,time,dp,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,region,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,PorePress,sigma_zz,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,pairwise_reaction_avg,axial_stress_reaction,force_balance_error,lateral_active_targets,cap_leakage_proxy,velocity_gradient_norm,shear_rate_proxy
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1260,-1,1,0.0024999999,0.032500882,0.042500004,0.03259689142047021,1.086563047349007,0.42500003999999997,lateral_surface,101,101,0.0074999929999999965,8.89222324254574,0.6851941906094366,0.0008821449187277173,0.027702436,-18359104.0,-18060.46022478,-7.4477835,-13.180324866666666,40.586281625319025,-3.0793081381448064,119.99972,0.80004948,-2.0700061e-07,2.1885518e-07,0.0,0.0,-13.180335,2.1885518e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.0399439436410424,0.056488059865089965
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1261,-1,1,0.0024999999,0.032500882,0.049999997,0.03259689142047021,1.086563047349007,0.49999996999999996,lateral_surface,101,101,0.0074999890000000055,8.892227698781685,0.6851945339866662,0.0008840237747599593,0.025958557,-17194422.0,-17731.82706085,-8.1773338,-12.7111335,40.84307088404729,-3.21317299389919,119.99971,0.8000496,-2.1425161e-07,2.2647652e-07,0.0,0.0,-12.711143,2.2647652e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04081365621382103,0.0576756138450451
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1262,-1,1,0.0024999999,0.032500882,0.057499986,0.03259689142047021,1.086563047349007,0.57499986,lateral_surface,101,101,0.007499974000008059,8.892243901281175,0.6851957824774227,0.0008976456368070633,0.02183206,-14438420.0,-16720.13276633,-11.100082,-11.097167999999998,42.4087826021051,-3.8215860661121024,119.99986,0.80004919,-1.0801808e-07,1.1434528e-07,0.0,0.0,-11.097178,1.1434528e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.04454976012770558,0.0628105663320956
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1146,-3,1,0.0024999999,-0.027500924,0.087499417,0.027614322739364365,0.9204774246454789,0.8749941699999999,edge_ring,114,95,0.007499367005415464,9.065901210834502,0.6985770231882373,0.0021648084006693734,-0.012482556,8388233.0,-1987.941452292,-118.15735,62.98846366666667,86.33192581703831,1.3705990080009673,119.99865,0.79999232,-9.9551903e-07,1.2481898e-05,0.0,4.0,2282.1838,1.2481898e-05,0.4634175,163.9004129784187,0.764631,180,0.0,0.11853446153115614,0.16732713295931675
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,906,-3,1,-0.012500159,-0.012500159,0.087499499,0.017677894389620107,0.5892631463206702,0.8749949899999999,top_cap_zone,148,136,0.007499643000120006,12.641047197058947,0.9740614766847425,0.0016164602291402232,-0.04066224,27084984.0,390.1211610847,-116.27324,60.328927666666665,85.2312112830577,1.4127751740256806,119.9988,0.79999644,-8.9069425e-07,6.7752339e-06,0.0,9.0,2080.6187,6.7752339e-06,0.4634175,163.9004129784187,0.764631,180,0.0,0.09155655769762339,0.12936716104281876
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1446,-3,1,0.01750016,-0.012500159,0.087499499,0.02150603578186554,0.716867859395518,0.8749949899999999,edge_ring,148,136,0.007499643000124073,12.64104698504352,0.9740614603478002,0.001616460234163976,-0.04066224,27084984.0,390.1203901293,-116.27325,60.32893333333334,85.23121784838459,1.412775150149921,119.9988,0.79999644,-8.9069511e-07,6.7752376e-06,0.0,9.0,2080.6194,6.7752376e-06,0.4634175,163.9004129784187,0.764631,180,0.0,0.09155655794711812,0.12936716146613447
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,726,-3,1,-0.027500924,0.0024999999,0.087499417,0.027614322739364365,0.9204774246454789,0.8749941699999999,edge_ring,114,95,0.007499367005415464,9.065901210834502,0.6985770231882373,0.0021648084006693734,-0.012482555,8388232.5,-1987.941801141,-118.15735,62.988463,86.33192680013538,1.3705990381148905,119.99865,0.79999232,-9.955188e-07,1.2481901e-05,0.0,4.0,2282.1841,1.2481901e-05,0.4634175,163.9004129784187,0.764631,180,0.0,0.11853446015235003,0.16732713099391686
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,966,-3,1,-0.012500159,0.01750016,0.087499499,0.02150603578186554,0.716867859395518,0.8749949899999999,edge_ring,148,136,0.007499643000124073,12.64104698504352,0.9740614603478002,0.0016164602442114797,-0.040662233,27084980.0,390.1206880655,-116.27324,60.328927666666665,85.2312115271566,1.4127751780718143,119.9988,0.79999644,-8.9069476e-07,6.7752362e-06,0.0,9.0,2080.6187,6.7752362e-06,0.4634175,163.9004129784187,0.764631,180,0.0,0.09155655621294659,0.12936715903391532
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1506,-3,1,0.01750016,0.01750016,0.087499499,0.024748963615699147,0.8249654538566382,0.8749949899999999,edge_ring,148,136,0.00749964300012814,12.641046773028163,0.9740614440108631,0.0016164601370086682,-0.040662244,27084988.0,390.120609853,-116.27325,60.328936,85.23121321018141,1.41277501082037,119.9988,0.79999644,-8.9069476e-07,6.7752426e-06,0.0,9.0,2080.6199,6.7752426e-06,0.4634175,163.9004129784187,0.764631,180,0.0,0.09155655455549919,0.12936715687880693
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1686,-3,1,0.032500923,0.0024999999,0.087499417,0.0325969322997108,1.08656440999036,0.8749941699999999,edge_ring,114,95,0.007499367005339724,9.065901920760982,0.6985770778919359,0.0021648082722232585,-0.012482566,8388240.0,-1987.94209557,-118.15734,62.988458333333334,86.33191808458416,1.3705990012919165,119.99865,0.79999232,-9.9551835e-07,1.2481898e-05,0.0,4.0,2282.1829,1.2481898e-05,0.4634175,163.9004129784187,0.764631,180,0.0,0.11853445250134959,0.16732712028917873
CaseM3n_Dp0075Overhang045,dp0075_overhang045,8,0.001056,0.0075,1266,-3,1,0.0024999999,0.032500923,0.087499417,0.0325969322997108,1.08656440999036,0.8749941699999999,edge_ring,114,95,0.007499367005339724,9.065901920760986,0.6985770778919362,0.0021648083488744127,-0.012482562,8388237.5,-1987.941407558,-118.15734,62.98845766666667,86.33191942731989,1.3705990371154384,119.99865,0.79999232,-9.9551903e-07,1.2481899e-05,0.0,4.0,2282.1831,1.2481899e-05,0.4634175,163.9004129784187,0.764631,180,0.0,0.118534454052427,0.16732712194057464
CaseM3n_Dp0075Overhang045,dp0075_overhang045,9,0.001131,0.0075,1139,-1,1,0.0024999999,-0.027500944,0.035000015,0.02761434265723405,0.9204780885744683,0.35000015,lateral_surface,101,101,0.007499985000015001,8.892201559503658,0.6851945580642547,0.0007917468912290543,0.023555338,-15695642.0,-19186.77176036,-6.2613125,-16.022599833333334,43.931633104335575,-2.741854228484221,119.99984,0.80004925,-1.2009531e-07,1.2716765e-07,0.0,0.0,-16.02261,1.2716765e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.035337649779761456,0.04983025903192848
CaseM3n_Dp0075Overhang045,dp0075_overhang045,9,0.001131,0.0075,719,-1,1,-0.027500944,0.0024999999,0.035000015,0.02761434265723405,0.9204780885744683,0.35000015,lateral_surface,101,101,0.007499985000015001,8.892201559503658,0.6851945580642547,0.0007917468322604878,0.023555338,-15695642.0,-19186.77207448,-6.2613163,-16.0225949,43.93162449901183,-2.7418545356228052,119.99984,0.80004925,-1.2009194e-07,1.2716409e-07,0.0,0.0,-16.022606,1.2716409e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.035337644930927066,0.049830252076973634
CaseM3n_Dp0075Overhang045,dp0075_overhang045,9,0.001131,0.0075,1199,-1,1,0.0024999999,0.0024999999,0.035000011,0.0035355337645113817,0.11785112548371272,0.35000011,measurement_core,178,178,0.0074999890000000055,12.977551177211774,0.9999939142317652,4.248953000012093e-05,0.064637482,-43109320.0,-20871.73931807,-16.657677,-1.7309573333333337,27.582951500000103,-15.935084573623284,120.0,0.80004704,0.0,0.0,0.0,0.0,-1.7309674,0.0,0.4634175,163.9004129784187,0.764631,180,0.0,0.029474281037160384,0.04168292798394834
CaseM3n_Dp0075Overhang045,dp0075_overhang045,9,0.001131,0.0075,1679,-1,1,0.032500945,0.0024999999,0.035000015,0.0325969542349132,1.0865651411637733,0.35000015,lateral_surface,101,101,0.007499985000015001,8.892200807920155,0.6851945001504836,0.0007917469382563434,0.023555337,-15695640.0,-19186.77198008,-6.2613087,-16.0226031,43.931632487334326,-2.741853630970508,119.99984,0.80004925,-1.2009401e-07,1.2716627e-07,0.0,0.0,-16.022614,1.2716627e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.0353376491218343,0.04983025834468917
CaseM3n_Dp0075Overhang045,dp0075_overhang045,9,0.001131,0.0075,1259,-1,1,0.0024999999,0.032500945,0.035000015,0.0325969542349132,1.0865651411637733,0.35000015,lateral_surface,101,101,0.007499985000015001,8.892200807920155,0.6851945001504836,0.0007917468894527561,0.023555333,-15695638.0,-19186.77215822,-6.2613091,-16.022603633333336,43.931632432496734,-2.741853536281807,119.99984,0.80004925,-1.2009274e-07,1.2716494e-07,0.0,0.0,-16.022614,1.2716494e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.035337648329780674,0.04983025715142536
CaseM3n_Dp0075Overhang045,dp0075_overhang045,9,0.001131,0.0075,1140,-1,1,0.0024999999,-0.027500944,0.042500004,0.02761434265723405,0.9204780885744683,0.42500003999999997,lateral_surface,101,101,0.007499988999999999,8.892200692161762,0.6851944912306429,0.0007890585109797785,0.022289358,-14848332.0,-19180.07629141,-5.9878407,-15.981480433333333,43.42326912825758,-2.717099289355422,119.99972,0.80004948,-2.0700321e-07,2.1885793e-07,0.0,0.0,-15.98149,2.1885793e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.03537854008777036,0.05002516968627815
CaseM3n_Dp0075Overhang045,dp0075_overhang045,9,0.001131,0.0075,1141,-1,1,0.0024999999,-0.027500944,0.049999993,0.02761434265723405,0.9204780885744683,0.49999993,lateral_surface,101,101,0.007499986000000266,8.892207490766063,0.6851950151016594,0.0007929538240385802,0.019898804,-13251342.0,-18731.02513517,-7.2060399,-15.211865033333334,43.88092284941612,-2.8846510768575113,119.99971,0.8000496,-2.1426297e-07,2.2648854e-07,0.0,0.0,-15.211875,2.2648854e-07,0.4634175,163.9004129784187,0.764631,180,0.0,0.03702261304196253,0.05228474256532787
