id,kind,mk,x,y,z,r,theta,z_over_H,region,volume_weight
1022,top_platen,1,-0.031111127398387964,0.032513039722567826,0.10500000000000001,0.04499999999999999,2.334163781214606,,top_platen,3.51362336256753e-07
1023,top_platen,1,-0.03603828262291938,0.026948880971027104,0.10500000000000001,0.045,2.49951076298249,,top_platen,3.51362336256753e-07
1024,top_platen,1,-0.03998240744228891,0.02064962699708641,0.10500000000000001,0.045,2.664857744750374,,top_platen,3.51362336256753e-07
1025,top_platen,1,-0.04283591641299022,0.013787105028225286,0.10500000000000001,0.04499999999999999,2.8302047265182577,,top_platen,3.51362336256753e-07
1026,top_platen,1,-0.04452097324884528,0.00654850677449463,0.10500000000000001,0.045,2.9955517082861416,,top_platen,3.51362336256753e-07
1027,top_platen,1,-0.044991613991987325,-0.000868717673361124,0.10500000000000001,0.045,-3.122286617125561,,top_platen,3.51362336256753e-07
1028,top_platen,1,-0.044235000789812275,-0.008262245767665547,0.10500000000000001,0.045000000000000005,-2.9569396353576773,,top_platen,3.51362336256753e-07
1029,top_platen,1,-0.04227177207813205,-0.01543040133549531,0.10500000000000001,0.045,-2.791592653589793,,top_platen,3.51362336256753e-07
1030,top_platen,1,-0.039155479618445996,-0.022177655778946974,0.10500000000000001,0.045,-2.6262456718219096,,top_platen,3.51362336256753e-07
1031,top_platen,1,-0.034971127745486184,-0.028319961585582816,0.10500000000000001,0.045,-2.4608986900540253,,top_platen,3.51362336256753e-07
1032,top_platen,1,-0.02983285467055575,-0.033689772664793984,0.10500000000000001,0.045000000000000005,-2.295551708286142,,top_platen,3.51362336256753e-07
1033,top_platen,1,-0.02388081908866054,-0.03814061456839239,0.10500000000000001,0.045,-2.130204726518258,,top_platen,3.51362336256753e-07
1034,top_platen,1,-0.017277377014675906,-0.04155107993172679,0.10500000000000001,0.045000000000000005,-1.9648577447503748,,top_platen,3.51362336256753e-07
1035,top_platen,1,-0.010202653134491348,-0.04382814015010509,0.10500000000000001,0.04499999999999999,-1.7995107629824905,,top_platen,3.51362336256753e-07
1036,top_platen,1,-0.0028496274731296457,-0.04490968295662289,0.10500000000000001,0.04499999999999999,-1.634163781214607,,top_platen,3.51362336256753e-07
