id,region,r_over_R,z_over_H,support_proxy,volume_weighted_support_proxy,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance
283,lateral_surface,1.0,0.5,11.179500966359628,5.599366872501554e-06,125,125,0.007519994013858251
284,lateral_surface,1.0,0.5,11.179423815893257,5.599309913397422e-06,128,128,0.007519994013858251
285,lateral_surface,1.0,0.5,11.179297783664332,5.599216545555251e-06,127,127,0.007519994013858252
286,lateral_surface,1.0,0.5,11.17948315231495,5.599353781102276e-06,127,127,0.007519994013858252
287,lateral_surface,1.0,0.5,11.179450426708359,5.599329536387765e-06,128,128,0.007519994013858252
288,lateral_surface,0.9999999999999999,0.5,11.17929442172327,5.599214098499597e-06,127,127,0.007519994013858252
289,lateral_surface,1.0,0.5,11.179460134516578,5.599336816061279e-06,127,127,0.007519994013858251
290,lateral_surface,1.0,0.5,11.17947429213919,5.599347119695471e-06,126,126,0.007519994013858251
291,lateral_surface,1.0,0.5,11.179297944187558,5.599216756938987e-06,127,127,0.007519994013858252
292,lateral_surface,1.0,0.5,11.179433089999193,5.599316827652156e-06,128,128,0.007519994013858251
293,lateral_surface,0.9999999999999999,0.5,11.179494021622775,5.5993616479409295e-06,126,126,0.007519994013858251
294,lateral_surface,1.0000000000000002,0.5,11.179307973060492,5.599224228683529e-06,127,127,0.007519994013858264
295,lateral_surface,1.0,0.5,11.17940378269044,5.5992951186789174e-06,127,127,0.007519994013858264
296,lateral_surface,1.0000000000000002,0.5,11.179508454184047,5.5993722759644635e-06,128,128,0.007519994013858212
297,lateral_surface,0.9999999999999999,0.5,11.179323838070092,5.59923600539911e-06,128,128,0.007519994013858212
298,lateral_surface,1.0,0.5,11.179374482395978,5.5992733848398085e-06,125,125,0.007519994013858265
299,lateral_surface,1.0,0.5,11.179516665926185,5.599378331221735e-06,127,127,0.007519994013858209
300,lateral_surface,0.9999999999999999,0.5,11.17934460679777,5.599251389405235e-06,127,127,0.007519994013858209
301,lateral_surface,1.0000000000000002,0.5,11.179347553250436,5.5992534021454585e-06,125,125,0.007519994013858265
302,lateral_surface,0.9999999999999998,0.5,11.179518147697884,5.599379445152093e-06,127,127,0.007519994013858263
303,lateral_surface,1.0000000000000002,0.5,11.17936915278509,5.599269544908606e-06,126,126,0.007519994013858262
304,measurement_core,0.0,0.6,17.76611690388196,1.3669761709694235e-05,222,222,0.009999999999999995
305,measurement_core,0.33333333333333337,0.6,17.695999743435095,1.2914008079393852e-05,226,226,0.0076536686473017935
306,measurement_core,0.3333333333333333,0.6,17.69599968106133,1.2914008057053751e-05,226,226,0.007653668647301795
307,measurement_core,0.33333333333333337,0.6,17.69599995231752,1.2914008148055475e-05,225,225,0.007653668647301795
308,measurement_core,0.3333333333333333,0.6,17.69600038246372,1.2914008299544258e-05,228,228,0.007653668647301787
309,measurement_core,0.33333333333333337,0.6,17.696000665034365,1.2914008397900988e-05,228,228,0.007653668647301787
310,measurement_core,0.3333333333333334,0.6,17.696000709490512,1.291400841504258e-05,226,226,0.007653668647301788
311,measurement_core,0.33333333333333337,0.6,17.696000511760307,1.2914008348128685e-05,227,227,0.007653668647301788
312,measurement_core,0.3333333333333333,0.6,17.696000107147704,1.2914008206795722e-05,227,227,0.0076536686473017935
313,interior,0.6666666666666667,0.6,16.440452831534696,1.0079798797582126e-05,183,183,0.007349980712662811
314,interior,0.6666666666666667,0.6,16.43983322078122,1.0079325119839048e-05,183,183,0.007349980712662811
315,interior,0.6666666666666667,0.6,16.440390535614846,1.007974849704887e-05,182,182,0.00734998071266281
316,interior,0.6666666666666667,0.6,16.439914112458275,1.0079389324123216e-05,183,183,0.00734998071266281
317,interior,0.6666666666666666,0.6,16.440292844749525,1.0079671468291494e-05,181,181,0.007349980712662811
318,interior,0.6666666666666667,0.6,16.44002385733428,1.007947531731088e-05,182,182,0.00734998071266281
319,interior,0.6666666666666666,0.6,16.440173131779105,1.007957825437551e-05,182,182,0.007349980712662809
320,interior,0.6666666666666667,0.6,16.440147822434763,1.0079571608593372e-05,181,181,0.007349980712662809
321,interior,0.6666666666666667,0.6,16.44004766182633,1.0079481520295231e-05,183,183,0.007349980712662819
322,interior,0.6666666666666667,0.6,16.440269530188147,1.007966530497004e-05,180,180,0.007349980712662809
323,interior,0.6666666666666667,0.6,16.439933379578303,1.0079394307805507e-05,182,182,0.007349980712662809
324,interior,0.6666666666666667,0.6,16.440372653101914,1.0079743745602978e-05,180,180,0.007349980712662811
325,interior,0.6666666666666667,0.6,16.439845696048337,1.0079328328493848e-05,183,183,0.00734998071266281
326,interior,0.6666666666666667,0.6,16.440443131463095,1.007979621243891e-05,182,182,0.00734998071266281
327,interior,0.6666666666666666,0.6,16.439796402099965,1.0079292396299096e-05,182,182,0.00734998071266281
328,interior,0.6666666666666667,0.6,16.44047118135457,1.0079815459324799e-05,182,182,0.007349980712662811
329,interior,0.6666666666666667,0.6,16.439792093989972,1.0079291291993645e-05,182,182,0.0073499807126628175
330,lateral_surface,0.9999999999999999,0.6,11.17940692310692,5.599297416983467e-06,127,127,0.007519994013858253
331,lateral_surface,0.9999999999999999,0.6,11.179510083855847,5.599373630146746e-06,126,126,0.007519994013858253
332,lateral_surface,0.9999999999999999,0.6,11.179317032562949,5.5992307626945155e-06,126,126,0.00751999401385825
333,lateral_surface,0.9999999999999999,0.6,11.179379797309618,5.599277399643432e-06,127,127,0.00751999401385825
334,lateral_surface,1.0,0.6,11.179517852281249,5.5993792947239885e-06,127,127,0.007519994013858252
335,lateral_surface,1.0000000000000002,0.6,11.179336805777561,5.599245393680905e-06,125,125,0.007519994013858252
336,lateral_surface,1.0,0.6,11.179354422004343,5.5992586556984765e-06,126,126,0.007519994013858259
337,lateral_surface,1.0000000000000002,0.6,11.179518630440025,5.599379811015465e-06,127,127,0.007519994013858238
338,lateral_surface,1.0000000000000002,0.6,11.179361698937578,5.5992638436966585e-06,125,125,0.007519994013858238
339,lateral_surface,0.9999999999999999,0.6,11.179332312668915,5.599242305901109e-06,128,128,0.007519994013858239
340,lateral_surface,1.0,0.6,11.179512546588604,5.5993752872825735e-06,127,127,0.007519994013858239
341,lateral_surface,1.0,0.6,11.179390172882263,5.599284965229025e-06,125,125,0.007519994013858236
342,lateral_surface,0.9999999999999999,0.6,11.179314635760232,5.599229211907574e-06,127,127,0.007519994013858236
343,lateral_surface,1.0,0.6,11.179500084601113,5.599366083306105e-06,126,126,0.007519994013858264
344,lateral_surface,0.9999999999999999,0.6,11.17942014640239,5.599307199517315e-06,128,128,0.007519994013858239
345,lateral_surface,1.0000000000000002,0.6,11.179302323642403,5.5992200648604995e-06,128,128,0.007519994013858239
346,lateral_surface,1.0,0.6,11.17948207799006,5.5993528084251055e-06,126,126,0.007519994013858264
347,lateral_surface,0.9999999999999999,0.6,11.179449151897625,5.599328694309336e-06,128,128,0.007519994013858239
348,lateral_surface,0.9999999999999999,0.6,11.179296064695746,5.599215380877594e-06,128,128,0.007519994013858237
349,lateral_surface,1.0000000000000002,0.6,11.17945964782738,5.599336281465953e-06,126,126,0.007519994013858237
350,lateral_surface,0.9999999999999999,0.6,11.179474876367564,5.599347718262606e-06,127,127,0.007519994013858237
351,lateral_surface,0.9999999999999999,0.6,11.179296339245605,5.599215527134153e-06,127,127,0.007519994013858237
352,lateral_surface,1.0000000000000002,0.6,11.179434102185205,5.599317456859472e-06,128,128,0.007519994013858265
353,lateral_surface,1.0,0.6,11.179495563974811,5.599362970228278e-06,127,127,0.007519994013858239
354,lateral_surface,0.9999999999999999,0.6,11.179303368795267,5.599220680607537e-06,127,127,0.007519994013858239
355,measurement_core,0.0,0.7000000000000001,17.766119814600266,1.3669763995766969e-05,223,222,0.009999999999999995
356,measurement_core,0.33333333333333337,0.7000000000000001,17.69607482137708,1.2914034541071403e-05,235,233,0.0076536686473017935
357,measurement_core,0.3333333333333333,0.7000000000000001,17.696074492853278,1.2914034427882002e-05,235,233,0.007653668647301794
358,measurement_core,0.33333333333333337,0.7000000000000001,17.6960742084239,1.2914034330790505e-05,233,231,0.007653668647301794
359,measurement_core,0.33333333333333337,0.7000000000000001,17.696074047639684,1.2914034277050423e-05,232,230,0.007653668647301787
360,measurement_core,0.33333333333333337,0.7000000000000001,17.69607420709109,1.2914034331167402e-05,232,230,0.007653668647301787
361,measurement_core,0.3333333333333333,0.7000000000000001,17.696074681387472,1.291403449300524e-05,235,233,0.007653668647301787
362,measurement_core,0.33333333333333337,0.7000000000000001,17.696075075697156,1.2914034627892729e-05,236,234,0.007653668647301787
363,measurement_core,0.3333333333333333,0.7000000000000001,17.696075070931183,1.2914034623931779e-05,233,231,0.0076536686473017935
364,interior,0.6666666666666667,0.7000000000000001,16.442946083908126,1.0080505131399296e-05,182,180,0.007349980712662816
365,interior,0.6666666666666667,0.7000000000000001,16.4429567681241,1.0080511269228326e-05,182,180,0.00734998071266281
366,interior,0.6666666666666666,0.7000000000000001,16.44283202848054,1.0080412345885586e-05,185,183,0.00734998071266281
367,interior,0.6666666666666667,0.7000000000000001,16.443066595686037,1.0080600848335313e-05,182,180,0.00734998071266281
368,interior,0.6666666666666666,0.7000000000000001,16.442730298476032,1.0080329500252141e-05,185,183,0.00734998071266281
369,interior,0.6666666666666669,0.7000000000000001,16.44315925001623,1.0080675626324603e-05,182,180,0.007349980712662809
370,interior,0.6666666666666669,0.7000000000000001,16.442654137161167,1.0080267554364938e-05,187,185,0.007349980712662809
371,interior,0.6666666666666667,0.7000000000000001,16.443218733595344,1.0080724242000576e-05,184,182,0.007349980712662811
372,interior,0.6666666666666667,0.7000000000000001,16.44261552012666,1.008023536635096e-05,186,184,0.00734998071266281
373,interior,0.6666666666666667,0.7000000000000001,16.443238727148373,1.0080740640055848e-05,185,183,0.00734998071266281
374,interior,0.6666666666666667,0.7000000000000001,16.44261643757223,1.008023613787144e-05,186,184,0.00734998071266281
375,interior,0.6666666666666667,0.7000000000000001,16.443215885404623,1.0080722359663588e-05,185,183,0.00734998071266281
376,interior,0.6666666666666666,0.7000000000000001,16.442660092862674,1.0080270894453701e-05,186,184,0.00734998071266281
377,interior,0.6666666666666667,0.7000000000000001,16.443151970612078,1.0080671450019358e-05,183,181,0.00734998071266281
378,interior,0.6666666666666667,0.7000000000000001,16.44273816028615,1.0080334171894822e-05,185,183,0.00734998071266281
379,interior,0.6666666666666667,0.7000000000000001,16.443058826761426,1.0080595948204186e-05,182,180,0.00734998071266281
380,interior,0.6666666666666667,0.7000000000000001,16.44284134018114,1.0080417926552857e-05,184,182,0.007349980712662817
381,lateral_surface,0.9999999999999999,0.7000000000000001,11.178043489192891,5.598822462363112e-06,128,126,0.007519994013858252
382,lateral_surface,1.0000000000000002,0.7000000000000001,11.177997862734342,5.598789074656607e-06,129,127,0.007519994013858252
383,lateral_surface,1.0,0.7000000000000001,11.177853770511039,5.598683597524977e-06,130,128,0.0075199940138582526
384,lateral_surface,0.9999999999999999,0.7000000000000001,11.178014026819229,5.598802693333531e-06,128,126,0.0075199940138582526
385,lateral_surface,1.0000000000000002,0.7000000000000001,11.178019833830103,5.5988074688743295e-06,129,127,0.0075199940138582526
386,lateral_surface,1.0000000000000002,0.7000000000000001,11.177851177742781,5.598682642245272e-06,130,128,0.0075199940138582526
387,lateral_surface,1.0000000000000002,0.7000000000000001,11.177988119880814,5.5987828735873704e-06,129,127,0.0075199940138582526
388,lateral_surface,0.9999999999999999,0.7000000000000001,11.178047919464392,5.598826363265043e-06,129,127,0.007519994013858254
389,lateral_surface,1.0,0.7000000000000001,11.177862254746332,5.598688571318595e-06,128,126,0.007519994013858251
390,lateral_surface,0.9999999999999999,0.7000000000000001,11.177962625521833,5.598762741226303e-06,128,126,0.007519994013858251
391,lateral_surface,0.9999999999999999,0.7000000000000001,11.17806467020508,5.598839145334052e-06,129,127,0.007519994013858251
392,lateral_surface,1.0,0.7000000000000001,11.17786938817203,5.598695553253225e-06,127,125,0.007519994013858248
393,lateral_surface,1.0,0.7000000000000001,11.17792927586614,5.598740325234721e-06,127,125,0.007519994013858248
394,lateral_surface,1.0,0.7000000000000001,11.17807172340372,5.598845834122568e-06,130,128,0.0075199940138582656
395,lateral_surface,1.0,0.7000000000000001,11.17788705749875,5.598708474742612e-06,127,125,0.007519994013858237
396,lateral_surface,1.0,0.7000000000000001,11.177908156740788,5.598723185267001e-06,127,125,0.007519994013858237
397,lateral_surface,0.9999999999999999,0.7000000000000001,11.17808024565362,5.598849892334678e-06,131,129,0.007519994013858265
398,lateral_surface,1.0,0.7000000000000001,11.177913953905689,5.5987266381838135e-06,127,125,0.007519994013858236
399,lateral_surface,1.0000000000000002,0.7000000000000001,11.177887708185098,5.598707936313795e-06,128,126,0.007519994013858236
400,lateral_surface,1.0,0.7000000000000001,11.178071671945329,5.5988449233174934e-06,131,129,0.007519994013858242
401,lateral_surface,1.0000000000000002,0.7000000000000001,11.177935081931498,5.598744476446957e-06,128,126,0.007519994013858238
402,lateral_surface,1.0,0.7000000000000001,11.177867060530703,5.598694585612179e-06,128,126,0.007519994013858238
403,lateral_surface,1.0,0.7000000000000001,11.178057769256627,5.598835075989536e-06,129,127,0.007519994013858264
404,lateral_surface,1.0000000000000002,0.7000000000000001,11.177966836230478,5.598766848449148e-06,129,127,0.00751999401385824
