case,excess_count,excess_max,excess_maxAbs,excess_mean,excess_median,excess_p90_abs,excess_p95_abs,excess_p99_abs,frame_index,kind,mode,r_over_R_max,r_over_R_min,time
mode4_boundary_particles,72,83.40839785237,83.40839785237,82.0601927490983,83.408372157665,83.40838768075,83.408389240185,83.4083952256185,3,compression,4,0.95,0.9,0.003016
mode4_boundary_particles,54,95.92386749464,95.92386749464,90.07296910916757,89.511338157905,95.923844438679,95.923858974542,95.9238674171275,3,compression,4,1.0,0.95,0.003016
mode4_boundary_particles,1,-0.5627137304208,0.5627137304208,-0.5627137304208,-0.5627137304208,0.5627137304208,0.5627137304208,0.5627137304208,4,compression,4,0.2,0.0,0.004022
mode4_boundary_particles,32,33.55439949567,33.55439949567,21.716424576279216,18.87576293141,33.554388372416,33.5543941594685,33.5543981161793,4,compression,4,0.4,0.2,0.004022
mode4_boundary_particles,90,33.70227073431,33.70227073431,27.12971347428721,31.816540359824998,33.702262601413,33.7022652923165,33.7022680529091,4,compression,4,0.6,0.4,0.004022
mode4_boundary_particles,128,13.613982809,13.613982809,0.0012889576543153123,-3.1280299193455,13.613971677956002,13.613976627366,13.6139817637351,4,compression,4,0.8,0.6,0.004022
mode4_boundary_particles,138,-0.8218615883852,14.23317943626,-9.949754529608297,-10.506637608395,14.233137016571,14.233148628213499,14.2331652392194,4,compression,4,0.9,0.8,0.004022
mode4_boundary_particles,72,-21.50469060803,22.58914699133,-21.866196050281804,-21.504748417195,22.589116680085,22.5891252706315,22.5891420633194,4,compression,4,0.95,0.9,0.004022
mode4_boundary_particles,48,-49.22618496161,56.02604417984,-52.626106918524805,-52.626086686730005,56.026005818502995,56.026025633004494,56.0260418056726,4,compression,4,1.0,0.95,0.004022
mode4_boundary_particles,1,196.9304819363,196.9304819363,196.9304819363,196.9304819363,196.9304819363,196.9304819363,196.9304819363,5,compression,4,0.2,0.0,0.005027
mode4_boundary_particles,32,136.2292868496,136.2292868496,92.76452971625471,98.07743553247,136.22926940598,136.22927515881,136.22928327964,5,compression,4,0.4,0.2,0.005027
mode4_boundary_particles,60,62.12123769055,62.12123769055,58.76937090758817,58.955579767905,62.121223335352994,62.121231812826,62.121237237913796,5,compression,4,0.6,0.4,0.005027
mode4_boundary_particles,164,66.29100372675,66.29100372675,56.88736687015483,56.10033769523,66.290988469295,66.2909960693825,66.29100193840401,5,compression,4,0.8,0.6,0.005027
mode4_boundary_particles,132,48.16590050046,48.16590050046,43.704604186977654,46.13345231958,48.165887349764006,48.165893027018,48.1658998305177,5,compression,4,0.9,0.8,0.005027
mode4_boundary_particles,72,35.14083389059,35.14083389059,27.258499628757498,23.317366231005,35.140808644461,35.140815306018496,35.1408228334121,5,compression,4,0.95,0.9,0.005027
mode4_boundary_particles,48,-5.331014453135,15.53344829441,-10.432293789740546,-10.432335461605,15.533396084940001,15.533413648527002,15.5334462807232,5,compression,4,1.0,0.95,0.005027
mode4_boundary_particles,1,-2.411583022921,2.411583022921,-2.411583022921,-2.411583022921,2.411583022921,2.411583022921,2.411583022921,6,compression,4,0.2,0.0,0.006032
mode4_boundary_particles,32,-1.268911477603,12.84653190458,-6.0619049764455,-4.132768129616,12.846508255249999,12.846523190342001,12.8465297965335,6,compression,4,0.4,0.2,0.006032
mode4_boundary_particles,60,-10.46120874289,13.55761254988,-12.22336995619033,-11.770220766855001,13.557604898827,13.557607485511001,13.5576113971203,6,compression,4,0.6,0.4,0.006032
mode4_boundary_particles,164,-5.352725597718,16.67191141943,-7.723262198810166,-8.1867095562775,9.9393526615408,9.939359370018401,16.6719021793626,6,compression,4,0.8,0.6,0.006032
mode4_boundary_particles,132,-4.244382055545,20.33017575872,-14.002993652202834,-16.767069592349998,20.330123284592002,20.3301409867015,20.3301698422264,6,compression,4,0.9,0.8,0.006032
mode4_boundary_particles,72,4.991883917797,18.69868045172,-10.80183349036583,-18.698617664805,18.698663929022,18.698667987134,18.698676305369702,6,compression,4,0.95,0.9,0.006032
mode4_boundary_particles,54,117.3157145518,117.3157145518,50.667438740807405,68.117375945545,102.55604545612614,117.31551104127499,117.315622713241,6,compression,4,1.0,0.95,0.006032
diffusion_mode3_shell,7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,3,0.2,0.0,0.0
diffusion_mode3_shell,26,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,3,0.4,0.2,0.0
diffusion_mode3_shell,90,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,3,0.6,0.4,0.0
diffusion_mode3_shell,134,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,3,0.8,0.6,0.0
diffusion_mode3_shell,132,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,3,0.9,0.8,0.0
diffusion_mode3_shell,72,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,3,0.95,0.9,0.0
diffusion_mode3_shell,48,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,diffusion,3,1.0,0.95,0.0
diffusion_mode3_shell,1,995.6936434438,995.6936434438,995.6936434438,995.6936434438,995.6936434438,995.6936434438,995.6936434438,1,diffusion,3,0.2,0.0,0.001005
diffusion_mode3_shell,26,994.636139241,994.636139241,993.8810789271422,993.8625147895,994.6361388237,994.6361389618,994.6361391735,1,diffusion,3,0.4,0.2,0.001005
diffusion_mode3_shell,66,993.0580038719,993.0580038719,992.8665602011954,992.82990511425,993.05800330725,993.058003565025,993.05800380807,1,diffusion,3,0.6,0.4,0.001005
diffusion_mode3_shell,158,993.5169665116,993.5169665116,992.3346073680723,992.2197516895,993.5169652990301,993.5169656770001,993.516965883935,1,diffusion,3,0.8,0.6,0.001005
diffusion_mode3_shell,138,990.3887827485,990.3887827485,989.1527094273114,989.2438841193,989.9375232073,989.9375234037,990.3887826503,1,diffusion,3,0.9,0.8,0.001005
diffusion_mode3_shell,72,987.0252950375,987.0252950375,986.7496068873481,987.0252943502,987.0252946349801,987.0252947429001,987.0252948283339,1,diffusion,3,0.95,0.9,0.001005
diffusion_mode3_shell,24,984.3035282057,984.3035282057,984.3035278580127,984.3035278621,984.30352814681,984.3035282057,984.3035282057001,1,diffusion,3,1.0,0.95,0.001005
diffusion_mode3_shell,1,960.738094184,960.738094184,960.738094184,960.738094184,960.738094184,960.738094184,960.738094184,2,diffusion,3,0.2,0.0,0.002011
diffusion_mode3_shell,26,960.7450936202,960.7450936202,960.7149300428038,960.7292618649999,960.74509272665,960.7450931086,960.7450935143,2,diffusion,3,0.4,0.2,0.002011
diffusion_mode3_shell,66,962.2388593389,962.2388593389,961.3407257240849,961.4820932271,962.2388571864999,962.23885850185,962.238859050625,2,diffusion,3,0.6,0.4,0.002011
diffusion_mode3_shell,158,963.1317597611,963.1317597611,962.6937215694251,962.7608547839,963.13175696623,963.131757685685,963.131758582959,2,diffusion,3,0.8,0.6,0.002011
diffusion_mode3_shell,138,962.4039471208,962.4039471208,962.1674647662807,962.0694581625,962.33343306595,962.403945385125,962.4039469881111,2,diffusion,3,0.9,0.8,0.002011
diffusion_mode3_shell,72,961.7359237174,961.7359237174,961.5797989498107,961.73592091355,961.7359225169699,961.735922871165,961.7359232844419,2,diffusion,3,0.95,0.9,0.002011
diffusion_mode3_shell,24,959.6087297161,959.6087297161,959.608726489204,959.6087263182001,959.60872803093,959.6087285398299,959.6087294604549,2,diffusion,3,1.0,0.95,0.002011
diffusion_mode3_shell,1,961.3941964712,961.3941964712,961.3941964712,961.3941964712,961.3941964712,961.3941964712,961.3941964712,3,diffusion,3,0.2,0.0,0.003016
diffusion_mode3_shell,26,962.7793551637,962.7793551637,962.7007147744732,962.7793350748,962.7793544804,962.7793550166249,962.77935516045,3,diffusion,3,0.4,0.2,0.003016
diffusion_mode3_shell,66,962.5011081694,962.5011081694,962.4458862426998,962.48838910535,962.5011068057,962.50110714175,962.501107519595,3,diffusion,3,0.6,0.4,0.003016
diffusion_mode3_shell,158,962.1716490589,962.1716490589,960.0151647789875,959.9813177190999,962.1716471900901,962.17164791903,962.1716486865189,3,diffusion,3,0.8,0.6,0.003016
diffusion_mode3_shell,138,956.1430525462,956.1430525462,954.7248879650867,954.4888270442,955.6092263869899,955.6092272539149,956.143052146436,3,diffusion,3,0.9,0.8,0.003016
diffusion_mode3_shell,72,952.3505872265,952.3505872265,951.8966043408515,952.35058407765,952.3505860765799,952.35058648343,952.35058714556,3,diffusion,3,0.95,0.9,0.003016
diffusion_mode3_shell,24,947.7866914962,947.7866914962,947.7866892793081,947.78668947055,947.7866905177699,947.78669115937,947.7866914423339,3,diffusion,3,1.0,0.95,0.003016
diffusion_mode3_shell,1,948.869179824,948.869179824,948.869179824,948.869179824,948.869179824,948.869179824,948.869179824,4,diffusion,3,0.2,0.0,0.004022
diffusion_mode3_shell,26,949.1241456126,949.1241456126,948.2009578563692,948.3902967076,949.1241443168001,949.1241447186251,949.1241453935501,4,diffusion,3,0.4,0.2,0.004022
diffusion_mode3_shell,66,945.9595406546,945.9595406546,944.9429799036648,944.6331879039,945.2337945566001,945.9595398609749,945.95954058934,4,diffusion,3,0.6,0.4,0.004022
diffusion_mode3_shell,158,944.8127980509,944.8127980509,944.0079692289585,943.8701741365,944.8127940883901,944.81279517046,944.8127962358071,4,diffusion,3,0.8,0.6,0.004022
diffusion_mode3_shell,138,943.0135399165,943.0135399165,941.8942891673679,941.6330245726,942.7672894689499,943.013536360575,943.013538813967,4,diffusion,3,0.9,0.8,0.004022
diffusion_mode3_shell,72,940.3151305378,940.3151305378,939.9139953668249,940.3151255144501,940.3151283848599,940.3151292006249,940.3151300537929,4,diffusion,3,0.95,0.9,0.004022
diffusion_mode3_shell,24,937.0501769598,937.0501769598,937.0501743513836,937.0501748885499,937.05017610344,937.050176791755,937.050176948622,4,diffusion,3,1.0,0.95,0.004022
diffusion_mode3_shell,1,936.6481404294,936.6481404294,936.6481404294,936.6481404294,936.6481404294,936.6481404294,936.6481404294,5,diffusion,3,0.2,0.0,0.005027
diffusion_mode3_shell,26,952.877788951,952.877788951,949.9180985098344,950.3046751372999,952.87778745705,952.87778829645,952.8777888538749,5,diffusion,3,0.4,0.2,0.005027
