source_stage,case,return_status,boundary_class,count,status_-3,status_-1,status_-5,mean_r_over_R,mean_z_over_H,mean_distance_to_bottom,mean_distance_to_lateral,mean_p_eff,mean_q,mean_q_over_p,mean_pc,mean_void_ratio,mean_plastic_vol_strain,mean_eq_plastic_strain,max_return_iterations,max_abs_yield_residual,max_abs_DivVel,max_velocity,max_abs_PorePressRate,mean_pairwise_reaction_avg,neighbor_count_available
M3f,half_speed_ramp_adaptive,-1,bottom_cap_zone,17,0,17,0,0.37870617930873207,0.047060034586970584,0.004706003458697059,0.01863881462073804,3.1105164,22.64450344428682,7.315968536122492,119.99866588235294,0.8000524223529413,-9.875776e-07,1.0263573605882353e-06,81.0,0.16139206,0.042838383,0.0002749191052145232,28537096.0,0.1187137470588235,0
M3f,half_speed_ramp_adaptive,-1,edge_corner,84,0,84,0,0.9060502278998543,0.2714279501186498,0.027142795011864944,0.002818493163004363,4.316497761480158,24.61732371028214,5.901262326751763,119.99912380952388,0.8000505209523809,-6.478347498809523e-07,6.774055385714285e-07,98.0,0.27805263,0.043213755,0.0011146778843674366,28769334.0,0.1266889523809524,0
M3f,half_speed_ramp_adaptive,-1,interior_ring,56,0,56,0,0.4023718588104442,0.4999999942857141,0.049999999428571425,0.01792884423568667,3.869292767857144,22.10915690224535,5.780133984561135,119.99997214285716,0.8000498650000004,-2.0648523500000004e-08,2.1457482928571422e-08,55.0,0.34877062,0.038071126,0.00020051070320211662,25366160.0,0.0956206999999999,0
M3f,half_speed_ramp_adaptive,-1,lateral_surface,44,0,44,0,0.6952928331074958,0.49999999090909064,0.04999999909090908,0.009141215006775115,3.836219949242424,22.126665554223766,6.065977477785359,119.99974545454546,0.8000502218181818,-1.885288295454545e-07,1.9561241590909094e-07,57.0,0.29712686,0.03492181,0.0006438237443763407,23247228.0,0.0956207,0
M3f,half_speed_ramp_adaptive,-1,top_cap_zone,8,0,8,0,0.40237198526925,0.8999997,0.08999997000000001,0.0179288404419225,4.9023519875,24.6312309524635,5.081948865853998,120.0,0.8000487649999999,0.0,0.0,62.0,0.3897033,0.041012451,0.00025879293336734255,27314946.0,0.0956207,0
M3f,improved_adaptive,-3,bottom_cap_zone,145,145,0,0,0.3380732050740948,0.058555624389648286,0.005855562438964827,0.01985780384777716,43.84978325287357,68.94927541085963,1.5771240747351971,119.32344455172412,0.8009120602068963,-0.000502854293234483,0.0014558718570344827,208.0,2129.3931,0.040997468,0.0013661725423456997,27203084.0,0.28189117931034435,0
M3f,improved_adaptive,-3,edge_corner,192,192,0,0,0.8513520816462287,0.7952281969498834,0.07952281969498827,0.0044594375506131385,40.46148069190973,65.56836756365838,1.7490569943033785,118.94053927083333,0.8014590392187498,-0.0008030265177291666,0.0030020771507291645,192.0,3549.9368,0.092368774,0.005100245622009428,61502888.0,0.28121884531249974,0
M3f,improved_adaptive,-3,interior_ring,274,274,0,0,0.3736730727356668,0.7516890327007294,0.07516890327007304,0.018789807817930004,44.11783174209243,69.04115817334815,1.5727583007413881,119.46321010948891,0.8007243495620432,-0.0003987788029270074,0.0014361107910583948,254.0,3035.1108,0.03973319,0.0020385419558856537,26536984.0,0.28246698211678717,0
M3f,improved_adaptive,-3,lateral_surface,116,116,0,0,0.7810739990134401,0.7576913012068968,0.07576913012068966,0.006567780029596778,57.195619275862086,70.90829621258993,1.2773136977583945,119.97585362068956,0.8000249438793106,-1.8142842396551715e-05,0.0006929952529310348,262.0,2855.0195,0.039034922,0.0028180413614941903,26057920.0,0.28530057327586184,0
M3f,improved_adaptive,-3,measurement_core,2,2,0,0,3.104821424406763e-08,0.69994938,0.069994938,0.029999999068553572,44.33388633333334,69.38316357271995,1.565931027452268,119.776205,0.8003047999999999,-0.00016591974,0.00085280914,154.0,1168.5688,0.016873432,0.0012565077374337577,11307754.0,0.290048,0
