source_stage,case,return_status,count,status_-3,status_-1,status_-5,mean_r_over_R,mean_z_over_H,mean_distance_to_bottom,mean_distance_to_lateral,mean_p_eff,mean_q,mean_q_over_p,mean_pc,mean_void_ratio,mean_plastic_vol_strain,mean_eq_plastic_strain,max_return_iterations,max_abs_yield_residual,max_abs_DivVel,max_velocity,max_abs_PorePressRate,mean_pairwise_reaction_avg,neighbor_count_available
M3f,half_speed_adaptive,-3,163,163,0,0,0.7082334206983354,0.06372998389064409,0.006372998389064414,0.008752997379049958,31.762780032515348,63.09919320930195,2.015237932291439,119.77475791411037,0.8003204287730057,-0.000167022913542638,0.0003047756636380367,139.0,2124.1304,0.039860282,0.002253409382591342,26547298.0,0.2515660282208588,0
M3f,half_speed_adaptive,-1,133,0,133,0,0.6540467928755364,0.2075188507526144,0.0207518850752614,0.010378596213733928,3.9505624066917298,23.18343571061205,6.053662363870258,119.99949729323308,0.8000504151127822,-3.7160222203007515e-07,3.874152378195489e-07,91.0,0.3355858,0.04320972,0.0011146787718663985,28766642.0,0.22540226578947317,0
M3f,half_speed_ramp_adaptive,-3,197,197,0,0,0.7291852607900595,0.12683592854164452,0.01268359285416448,0.008124442176298258,31.469818365482215,63.01819857055282,2.0234218858816146,119.79339664974624,0.8002955939086285,-0.0001531696785482234,0.0002796039035380713,149.0,2396.0356,0.0444941,0.0025428430319889587,29537976.0,0.2556380025380705,0
M3f,half_speed_ramp_adaptive,-1,209,0,209,0,0.6645498029861489,0.3866027046791629,0.03866027046791634,0.010063505910415561,4.019892246081341,23.26099363037257,5.98719427581838,119.99947827751184,0.800050369665072,-3.859259521818182e-07,4.0267323308133964e-07,98.0,0.3897033,0.043213755,0.0011146778843674366,28769334.0,0.10998584354066966,0
M3f,improved_adaptive,-3,997,997,0,0,0.49675142059401994,0.7182034588073,0.07182034588072976,0.01509745738217939,46.293482107836915,68.69446586411703,1.540994892898939,119.3205022868605,0.8009324696288868,-0.0005146867077370111,0.002905836217833507,274.0,4315.5439,0.092368774,0.005100245622009428,61502888.0,0.2822583742226663,0
M3f,improved_adaptive,-1,549,0,549,0,0.893952177179787,0.6687757672270661,0.06687757672270651,0.0031814346846064045,13.12222928077717,39.70645629690544,3.980613331649612,112.99061176138436,0.8099688419307837,-0.005486119851184412,0.008678782204878999,424.0,0.77163786,0.12056585,0.006465917422280465,80043352.0,0.2967976382513669,0
M3f,quarter_speed_adaptive,-3,37,37,0,0,0.6851238677873747,0.6323586293006485,0.06323586293006488,0.009446283966378768,30.764640935135127,62.560757825562916,2.0546992951354595,119.80555675675674,0.8002801818918917,-0.00014412880135135134,0.0002467289859459459,96.0,999.22864,0.020206824,0.0012573738305505396,13395024.0,0.2333226216216217,0
M3f,quarter_speed_adaptive,-1,33,0,33,0,0.790634713860677,0.04848503232900909,0.00484850323290091,0.006280958584179694,3.866333158787878,24.528404572175134,6.472932386439763,119.99858090909093,0.8000517254545457,-1.0484181203030301e-06,1.095163189090909e-06,91.0,0.22904183,0.032587651,0.0009262929229085542,21665748.0,0.14381224999999995,0
M3f,ramp_current_adaptive,-3,234,234,0,0,0.3839216496869354,0.4221251040375628,0.042212510403756225,0.01848235050939195,45.42275209829054,69.44256691708922,1.5460996309131334,119.8822434615381,0.8001620721794864,-8.729088486880338e-05,0.00029072263463247866,137.0,4115.9639,0.061731368,0.0040188152,41046000.0,0.2898379982905984,0
M3f,ramp_current_adaptive,-1,319,0,319,0,0.7564801292372515,0.38014672754333223,0.03801467275433327,0.007305596122882433,7.389556450219443,30.10231249255082,5.403374590810872,119.77266771159896,0.8003504432601862,-0.0001690698415564576,0.0002696381115159874,205.0,1.3383412,0.10948719,0.006164154160455672,72706384.0,0.18792022507836995,0
