source_stage,case,part,time,idp,return_status,original_region,x,y,z,r,r_over_R,z_over_H,distance_to_bottom_platen,distance_to_top_platen,distance_to_lateral_boundary,distance_to_edge_corner,near_bottom_platen,near_top_platen,near_lateral_surface,in_measurement_core,boundary_class,nearest_platen_role,neighbor_count_available,neighbor_count,local_distribution_metric_available,local_distribution_metric,strain_increment_proxy_available,strain_increment_proxy,axial_velocity_gradient_proxy_available,axial_velocity_gradient_proxy,radial_velocity_gradient_proxy_available,radial_velocity_gradient_proxy,trial_state_available,trial_p,trial_q,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,line_search_backtracks,line_search_reject_reason,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
M3d2,baseline,2,0.001005,206,-1,lateral_boundary,-0.020000292,-3.757945e-14,0.029999999,0.020000292,0.6666764000000001,0.29999999,0.029999999,0.070000001,0.009999708,0.03162268331570338,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.8316252333333332,24.628001106230176,-13.445982648650366,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316354,0.0,0.0,0.0,0.0,-20722.77321342,-19305312.0,0.028998548,0.00040278267001360067,nan
M3d2,baseline,2,0.001005,215,-1,edge,-0.020000389,0.01000028,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.010000009,0.089999991,0.007638847072887298,0.012583805648651757,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-3.5000523333333327,25.755479582094583,-7.358598423460122,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000622,0.0,0.0,0.0,0.0,-20984.25711638,-27050678.0,0.040608745,0.0006625133858998034,nan
M3d2,baseline,2,0.001005,216,-1,lateral_boundary,-0.020000385,0.010000277,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.020000001,0.079999999,0.0076388519922398895,0.021409159249240695,0,0,1,0,lateral_surface,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-0.7869850999999995,24.905542968740534,-31.64677827920827,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699493,0.0,0.0,0.0,0.0,-20306.36852649,-22372542.0,0.033584651,0.0006367211278518925,nan
M3d2,baseline,2,0.001005,225,-1,edge,-0.020000558,0.020000558,-1.6089261e-08,0.028285060378629708,0.9428353459543236,-1.6089261e-07,-1.6089261e-08,0.10000001608926101,0.0017149396213702907,0.001714939621445764,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.8814711000000006,35.05128298774778,-18.629721704334322,119.99983,0.80004817,-1.2447686e-07,1.3347424e-07,0.0,0.0,-1.8814811,0.0,0.0,0.0,1.3347424e-07,-14936.04299058,-21742358.0,0.032592107,0.0011129175215581044,nan
M3d2,baseline,2,0.001005,226,-1,edge,-0.020000555,0.020000555,0.009999997,0.028285056135989018,0.9428352045329673,0.09999997,0.009999997,0.09000000300000001,0.0017149438640109808,0.010145983069999571,1,0,1,0,edge_corner,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-0.9666909333333328,27.838829713412284,-28.79806642793136,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96670103,0.0,0.0,0.0,0.0,-19350.99811465,-26701486.0,0.040063191,0.001082639076125905,nan
M3d2,baseline,2,0.001005,270,-1,bottom_cap_zone,-0.010000035,-2.4947063e-14,0.01000002,0.010000035,0.3333345,0.1000002,0.01000002,0.08999998000000001,0.019999965,0.022360657414343277,1,0,0,0,bottom_cap_zone,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-4.184969333333334,25.888131270350836,-6.1859787272875675,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849794,0.0,0.0,0.0,0.0,-21506.69455184,-28529650.0,0.042827226,0.00010933290654977483,nan
M3d2,baseline,2,0.001005,271,-1,interior,-0.010000031,-3.1603094e-14,0.020000005,0.010000031,0.33333436666666666,0.20000005,0.020000005,0.079999995,0.019999969,0.02828425286269705,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-3.1187086666666666,25.982495553411503,-8.331171112940817,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187186,0.0,0.0,0.0,0.0,-21241.11399276,-25330684.0,0.038017966,5.4967864378333914e-05,nan
M3d2,baseline,2,0.001005,272,-1,interior,-0.010000032,-6.4334134e-15,0.029999999,0.010000032,0.33333440000000003,0.29999999,0.029999999,0.070000001,0.019999968,0.03605549417219275,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-1.7809183666666677,24.698477705518435,-13.868394064432275,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809285,0.0,0.0,0.0,0.0,-20709.71739483,-23506980.0,0.035275787,5.1907567068960985e-05,nan
M3d2,baseline,2,0.001005,281,-1,bottom_cap_zone,-0.010000105,0.010000105,0.010000018,0.014142284116155002,0.4714094705385001,0.10000018,0.010000018,0.089999982,0.015857715883845,0.018747466843631804,1,0,0,0,bottom_cap_zone,bottom_fixed,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-4.197807666666668,26.49444293962278,-6.311495200222236,119.99934,0.80005151,-4.8932708e-07,5.0790743e-07,0.0,0.0,-4.1978178,0.0,0.0,0.0,5.0790743e-07,-21835.96031513,-28421316.0,0.04267282,0.00022574626751234827,nan
M3d2,baseline,2,0.001005,282,-1,interior,-0.010000101,0.010000101,0.020000005,0.014142278459300753,0.4714092819766918,0.20000005,0.020000005,0.079999995,0.015857721540699247,0.025523862020908627,0,0,0,0,interior_ring,none,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,nan,-2.953825,26.327687412694,-8.913083006845023,119.99969,0.80005103,-2.2951713e-07,2.3841629e-07,0.0,0.0,-2.9538352,0.0,0.0,0.0,2.3841629e-07,-21326.24669568,-24254422.0,0.036411408,0.00019016239035816315,nan
