case,part,time,region,particle_count,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,porepress_mean,porepress_std,excess_mean,excess_std,divvel_mean,divvel_std,porepressrate_mean,porepressrate_std,kplastic_max,kplastic_mean,fi_min,fi_mean,fi_median,fi_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_xy_mean,sigma_xz_mean,sigma_yz_mean,p_eff_proxy,q_proxy,axial_stress_proxy,radial_stress_proxy,mean_pore_pressure_for_total_proxy,class_interior_count,class_lateral_count,class_top_count,class_bottom_count,class_edge_count,class_outside_count,label,porepressrate_maxabs
T4_raw_reference,6,0.001206,center_core_small,1,0.04997026171171162,-4.7754786999948395e-05,1.57642250629e-05,12593.58804008,0.0,12593.58804008,0.0,0.0007672112,0.0,-449481.91,0.0,0.0,0.0,1.0013133287539695,1.0013133287539695,1.0013133287539695,1.0013133287539695,-89.329193,-89.329224,84.268875,1.8577477e-05,-2.3841607e-05,2.4142764e-06,31.463180666666663,173.59808350001,-84.268875,89.3292085,12593.58804008,1,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,6,0.001206,center_core_medium,15,0.04997026171171162,-4.7754786999948395e-05,3.4918855923753335e-05,28999.87543869,5361.619128005797,28999.87543869,5361.619128005797,-0.17167713658666667,0.058582778090992105,114431102.27266666,39033127.096889004,0.0,0.0,0.9983558975636767,0.9989526060196957,0.998360831349137,1.0013322922150873,-127.02540413333332,-127.02541420000001,36.52829466666667,2.332990409333334e-05,-1.7397504466279445e-05,-1.1974256584797633e-06,72.50750788888888,163.55370383334136,-36.52829466666667,127.02540916666666,28999.87543869,15,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,6,0.001206,center_core_large,45,0.04997026171171162,-4.7754786999948395e-05,3.5966227509074454e-05,30966.173308747108,5249.624902161105,30966.173308747108,5249.624902161105,-0.1928048310844445,0.059972575533355124,128519869.86866666,39964404.967249736,0.0,0.0,0.9766846619910576,0.9890618455956115,0.9983558975738407,1.0013383637185211,-164.65067226666665,-164.65068762222222,97.03685262222223,3.0089149431786507e-05,-6.597718555351801e-06,-8.141212643093038e-07,77.42150242222222,261.6875325666724,-97.03685262222223,164.65067994444445,30966.173308747108,45,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,6,0.001206,full_excluding_caps_edges,259,0.04997026171171162,-4.7754786999948395e-05,0.00010682256974759519,87475.42647076151,369665.18937968434,87475.42647076151,369665.18937968434,-0.8435263809528959,4.319546136027297,562226353.3671428,2879017661.4975295,0.0,0.0,0.5743199847285342,0.7941756090813521,0.8620512338638582,1.0013383637185211,-327.4811071644787,-327.48110326285723,-1.2287993687258418,2.872848309067531e-07,-1.3690949179847684e-06,-3.2876046884930087e-07,218.73033659868727,326.25230584494216,1.2287993687258418,327.481105213668,87475.42647076151,63,196,0,0,0,0,T4 raw gradient,
T4_raw_reference,6,0.001206,zhao_measurement_cylinder,45,0.04997026171171162,-4.7754786999948395e-05,3.5966227509074454e-05,30966.173308747108,5249.624902161105,30966.173308747108,5249.624902161105,-0.1928048310844445,0.059972575533355124,128519869.86866666,39964404.967249736,0.0,0.0,0.9766846619910576,0.9890618455956115,0.9983558975738407,1.0013383637185211,-164.65067226666665,-164.65068762222222,97.03685262222223,3.0089149431786507e-05,-6.597718555351801e-06,-8.141212643093038e-07,77.42150242222222,261.6875325666724,-97.03685262222223,164.65067994444445,30966.173308747108,45,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,7,0.001305,center_core_small,1,0.04997495486486481,-0.00015410128899995268,2.7685334258499992e-05,28600.82582888,0.0,28600.82582888,0.0,-0.2415977,0.0,161291630.0,0.0,0.0,0.0,1.0013314908548976,1.0013314908548976,1.0013314908548976,1.0013314908548976,-101.36514,-101.36546,-11.544599,-2.7223385e-05,1.2108801e-06,4.9892646e-05,71.42506633333333,89.82070100048149,11.544599,101.36529999999999,28600.82582888,1,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,7,0.001305,center_core_medium,24,0.04997495486486481,-0.00015410128899995268,8.520748067979329e-05,87850.4694582675,21197.202912683384,87850.4694582675,21197.202912683384,-0.8442546766666666,0.23868580927399694,562773366.25,159087309.62245303,0.0,0.0,0.9984119967877341,0.9989279431852189,0.9984403065878568,1.0014295757429565,-329.63425458333336,-329.6344825,0.31795837499999874,3.3916155375000046e-06,5.4251277335126794e-05,2.7815804794310377e-05,219.65025956944444,329.95232691674266,-0.31795837499999874,329.6343685416667,87850.4694582675,24,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,7,0.001305,center_core_large,45,0.04997495486486481,-0.00015410128899995268,7.78012653237544e-05,74125.78097213423,23814.459189886984,74125.78097213423,23814.459189886984,-0.6523474479999999,0.30008550672907675,434883497.5555556,199999011.69113114,0.0,0.0,0.9766466803498195,0.9890984116687747,0.9984119968639436,1.0014311559361582,-300.7285068222222,-300.728760088889,45.48484513333333,2.7911654069612268e-05,4.80418659113487e-05,2.0064700556253632e-05,185.3241405925926,346.21347858897354,-45.48484513333333,300.7286334555556,74125.78097213423,45,0,0,0,0,0,T4 raw gradient,
T4_raw_reference,7,0.001305,full_excluding_caps_edges,259,0.04997495486486481,-0.00015410128899995268,0.00028550821628814177,270448.71607165143,1662525.223331763,270448.71607165143,1662525.223331763,-2.76628466027027,19.563753778481377,1843669770.1312742,13039444835.807856,0.0,0.0,0.5707023120994152,0.7943971476499726,0.8615438627576482,1.0014311559361582,-930.4917001930497,-930.4917488841697,-167.89445941312738,-7.140478089300484e-05,3.0924054737245577e-05,1.2306224691541972e-05,676.292636163449,762.5972651254957,167.89445941312738,930.4917245386098,270448.71607165143,63,196,0,0,0,0,T4 raw gradient,
T4_raw_reference,7,0.001305,zhao_measurement_cylinder,45,0.04997495486486481,-0.00015410128899995268,7.78012653237544e-05,74125.78097213423,23814.459189886984,74125.78097213423,23814.459189886984,-0.6523474479999999,0.30008550672907675,434883497.5555556,199999011.69113114,0.0,0.0,0.9766466803498195,0.9890984116687747,0.9984119968639436,1.0014311559361582,-300.7285068222222,-300.728760088889,45.48484513333333,2.7911654069612268e-05,4.80418659113487e-05,2.0064700556253632e-05,185.3241405925926,346.21347858897354,-45.48484513333333,300.7286334555556,74125.78097213423,45,0,0,0,0,0,T4 raw gradient,
