case,xi,interval,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,6,0.006,0.008909757200000002,0.0031923446302210444,-3.71272719999964e-05,49.55846010487,29105.90413109,15355.405060525112,49.55864849999969,9761.028531993,4905.364218253793,0.0,19356.24368198,10450.040612486197,19356.24368198,29056.875711303503,9712.000117426502,19344.87518102,0.15376808400105801,0.0,79370140.0,133785606.22426099,57493236.0,13.61833500000004
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,7,0.007,0.005348648900000002,0.0014052081219030203,-3.513325300000651e-05,49.47900488172,21829.84527383,10623.752702498889,49.47918750000013,9761.031848754,4905.344656927427,0.0,12078.89581651,5718.407819306636,12078.89581651,21780.817608708498,9712.004184162,12068.813006409999,0.06202206400121213,0.0,55440316.66666667,39069652.118858315,47884604.0,8.21245860000031
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,8,0.008,0.0038773846000000117,0.0030314054884900046,-3.631925400000082e-05,49.47333441629,20715.50584468,9976.85492472478,49.47330149999996,9761.034488624999,4905.3562915972525,0.0,10963.22174196,5071.498435355571,10963.22174196,20666.4788975505,9712.0075445775,10954.47093953,-0.08707375600170053,0.0,26257872.66666667,21574278.389741756,36172156.0,7.807262900000052
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,9,0.009000000000000001,0.008576940700000002,0.005493942286200009,-4.0767470000001474e-05,49.53860182972,24535.19352408,12537.59480987299,49.53873419999983,9761.038134021,4905.399928596229,0.0,14781.97309492,7632.194683622426,14781.97309492,24486.16749274,9712.012104265501,14774.154971259999,-0.1083537084996351,0.0,26358190.000000004,100432742.68977234,126312150.0,8.374258000000014
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,10,0.01,0.008746352000000015,0.005532652952809975,-4.647433599999501e-05,49.62679619957,29358.94515245,15632.121403254778,49.62712229999959,9761.043044906999,4905.455912951664,0.0,19607.14652784,10726.665273819022,19607.14652784,29309.92039951,9712.0182924135,19597.90168881999,-0.09076198250477319,0.0,23921162.000000004,166962027.79544684,190883170.0,12.119319
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,11,0.011,0.005800207600000009,0.0038376267845899943,-5.124510800000288e-05,49.69986100464,31840.32628639,17193.28905736366,49.6996182000001,9761.047942059,4905.5027142249855,0.0,22089.25066827,12287.786146878452,22089.25066827,31791.302934145002,9712.024591414502,22079.277925879993,-0.03260028950535343,0.0,17852468.000000004,193710001.57254502,208363280.0,14.706007000000001
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,12,0.012,0.002463621800000005,0.001957667533709997,-5.409427799999732e-05,49.73831754543,31181.16018793,16777.555102316535,49.73817149999996,9761.051660049,4905.530664582698,0.0,21429.27592934,11872.024224206323,21429.27592934,31132.137977568997,9712.0294473645,21420.108111099995,0.01752364849744481,0.0,13989628.666666668,175732440.8386001,174068240.0,14.184427000000007
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,13,0.013000000000000001,0.0019412548000000095,0.0010639648771100135,-5.549821000000095e-05,49.74633735945,28740.5219504,15260.574990832847,49.746313799999484,9761.054173371,4905.544437155597,0.0,18987.14952238,10355.030343256354,18987.14952238,28691.5004856875,9712.0327101705,18979.467358339993,0.033551449992955895,0.0,19347502.666666668,136168049.31634387,117890390.0,11.838882000000016
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,14,0.014,0.0020180058000000057,0.0013656870828500068,-5.662769299999508e-05,49.7456133184,26497.89338136,13877.794826116,49.74572519999979,9761.056256034,4905.555517383846,0.0,16743.4718599,8972.239103052469,16743.4718599,26448.872425987494,9712.035301482,16736.836707789997,0.01737538699671859,0.0,13386456.666666668,103903924.3921169,90517464.0,9.630333900000004
Case1DConsolidation_PR_SW3B_Xi0p08_S20,0.08,20,15,0.015,0.0026288249000000004,0.0023046898231400006,-5.8446264999996836e-05,49.76016043133,25689.88086735,13400.228562007367,49.760342100000265,9761.058622206,4905.57335757516,0.0,15935.29100031,8494.655029673755,15935.29100031,25640.860436530504,9712.038191508002,15928.821825629997,-0.010650229503880837,0.0,11606080.000000002,100178958.23173633,101653820.0,8.866237600000003
