case,source,dp,time_mid,shell_index,r_over_R_min,r_over_R_max,shell_volume,pressure_mean_mid,storage_derivative,flux_in,flux_out,residual,abs_residual
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,3,0.6,0.8,0.00013400000000000003,873.09058557089,-12.259835950884055,0.2620299882201764,0.23968930598220622,-12.282176633122024,12.282176633122024
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,4,0.8,0.9,0.000132,859.9340864495194,-11.610201506917603,0.23968930598220622,-0.2155961804880828,-12.065486993387893,12.065486993387893
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,5,0.9,0.95,7.200000000000002e-05,864.6092596547304,-6.421669100579358,-0.2155961804880828,-0.09801349418407694,-6.304086414275352,6.304086414275352
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0015080000000000002,6,0.95,1.0,4.800000000000001e-05,865.8809725172854,-4.380533905791848,-0.09801349418407694,36.97241321295943,32.68989280135166,32.68989280135166
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,0,0.0,0.2,7.000000000000001e-06,815.6135947802928,-1.583006258773234,0.0,-0.006149883082342374,-1.5891561418555764,1.5891561418555764
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,1,0.2,0.4,2.6000000000000005e-05,822.815000208624,-3.8332216030820305,-0.006149883082342374,-0.011170084848669149,-3.8382418048483573,3.8382418048483573
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,2,0.4,0.6,9.000000000000002e-05,826.0849936616332,-7.288862410662441,-0.011170084848669149,0.28146740026507294,-6.996224925548699,6.996224925548699
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,3,0.6,0.8,0.00013400000000000003,789.4635049632544,-10.028520036076586,0.28146740026507294,0.3784797778978358,-9.931507658443824,9.931507658443824
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,4,0.8,0.9,0.000132,768.688823986294,-12.347150820231269,0.3784797778978358,0.05913811809971067,-12.666492480029394,12.666492480029394
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,5,0.9,0.95,7.200000000000002e-05,767.4064221157207,-7.49951193078067,0.05913811809971067,0.2544447332175951,-7.304205315662785,7.304205315662785
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,6,0.95,1.0,4.800000000000001e-05,764.1050334371937,-5.336988101952438,0.2544447332175951,32.62666339948721,27.03523056431717,27.03523056431717
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,0,0.0,0.2,7.000000000000001e-06,720.1442448420428,0.25283339058807147,0.0,-0.005748049356209037,0.24708534123186243,0.24708534123186243
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,1,0.2,0.4,2.6000000000000005e-05,726.875110011654,-1.1297083291699814,-0.005748049356209037,0.0051566530763501655,-1.1188036267374222,1.1188036267374222
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,2,0.4,0.6,9.000000000000002e-05,725.3655223919043,-10.739759548544198,0.0051566530763501655,0.2852753156775915,-10.459640885942957,10.459640885942957
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,3,0.6,0.8,0.00013400000000000003,688.2485889950893,-16.945263263629496,0.2852753156775915,0.3592845669333188,-16.871254012373768,16.871254012373768
