label,dp,field,r_over_R,lap,exact,error,valid
dp=0.010,0.01,constant,0.6324555320336746,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336746,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336746,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336746,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336746,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336781,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336781,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336781,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336781,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336781,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336781,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336798,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336798,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336798,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336798,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336798,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6324555320336798,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710763,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710763,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710763,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710779,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710779,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710779,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710779,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710779,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710779,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710796,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710796,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710796,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710815,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710815,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710815,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710829,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710829,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710829,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710829,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710829,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710829,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710846,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710846,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6633249580710848,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6928203230275467,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6928203230275499,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6928203230275499,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6928203230275499,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6928203230275531,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6928203230275531,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6928203230275531,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.6928203230275563,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927946,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927946,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927946,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927946,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927946,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927946,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927976,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927992,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927992,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927992,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927992,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927992,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550927992,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7211102550928024,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547844,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547844,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547844,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547844,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547844,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547844,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547859,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547874,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547874,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547874,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547874,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547874,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547874,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547889,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.748331477354789,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.748331477354789,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.748331477354789,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.748331477354789,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547903,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547903,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547903,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547903,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547903,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547903,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547919,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547933,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547933,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547933,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547933,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547934,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7483314773547934,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7999999999999979,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7999999999999979,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.7999999999999979,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8000000000000035,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8000000000000035,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8000000000000035,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8246211251235281,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8246211251235281,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8246211251235281,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8246211251235295,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8246211251235295,0.0,0.0,0.0,True
dp=0.010,0.01,constant,0.8246211251235295,0.0,0.0,0.0,True
