case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.003529,0,0.0,0.0
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.003529,1,0.2,0.008890973114981108
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.003529,2,0.4,0.08640506912689291
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.003529,3,0.6,0.5486685083282115
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.003529,4,0.8,0.9978653870075521
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.003529,5,0.9,1.00236081515254
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.003529,6,0.95,-0.3093157738009304
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.003529,7,1.0,21.88526624938887
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.004542,0,0.0,0.0
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.004542,1,0.2,-0.0382207304510779
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.004542,2,0.4,0.07519306370937812
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.004542,3,0.6,0.4466266327915709
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.004542,4,0.8,0.7276557636125104
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.004542,5,0.9,0.6141827482433974
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.004542,6,0.95,-0.43662852953625225
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.004542,7,1.0,18.423940233083254
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.005522,0,0.0,0.0
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.005522,1,0.2,-0.00757637928298149
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.005522,2,0.4,0.15031697818461742
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.005522,3,0.6,0.5988951733232848
mode4_normalized_dp0065,C5i/C5h mode4 normalized,0.0065,0.005522,4,0.8,1.1330676366063017
