dp_label,dp,field,operator,zone,count,bias,rmse,p95_abs_error,max_abs_error
dp=0.008,0.008,constant,mode8_positivity,middle,368,-1.9435320659815792e-13,9.956736296592628e-13,2.1417512592876907e-12,5.735390675171167e-12
dp=0.008,0.008,constant,mode8_positivity,near_boundary,594,-3.8168242558325375e-13,3.473232624748256e-12,6.674170869293937e-12,2.4327084703083683e-11
dp=0.008,0.008,constant,mode8_positivity,all_valid,1213,-2.45870849814159e-13,2.491609916292924e-12,4.905095880960376e-12,2.4327084703083683e-11
dp=0.008,0.008,constant,mode8_blend025,interior,251,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_blend025,middle,368,-4.858830164953948e-14,2.489184074148157e-13,5.354378148219227e-13,1.4338476687927917e-12
dp=0.008,0.008,constant,mode8_blend025,near_boundary,594,-9.542060639581344e-14,8.68308156187064e-13,1.6685427173234843e-12,6.081771175770921e-12
dp=0.008,0.008,constant,mode8_blend025,all_valid,1213,-6.146771245353975e-14,6.22902479073231e-13,1.226273970240094e-12,6.081771175770921e-12
dp=0.008,0.008,constant,mode8_blend050,interior,251,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_blend050,middle,368,-9.717660329907896e-14,4.978368148296314e-13,1.0708756296438453e-12,2.8676953375855834e-12
dp=0.008,0.008,constant,mode8_blend050,near_boundary,594,-1.9084121279162687e-13,1.736616312374128e-12,3.3370854346469685e-12,1.2163542351541841e-11
dp=0.008,0.008,constant,mode8_blend050,all_valid,1213,-1.229354249070795e-13,1.245804958146462e-12,2.452547940480188e-12,1.2163542351541841e-11
dp=0.008,0.008,constant,mode8_drained_zero_boundary,interior,251,0.0,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_drained_zero_boundary,middle,368,-6869.489942906324,8431.617117875876,12525.929498536618,12528.770769506815
dp=0.008,0.008,constant,mode8_drained_zero_boundary,near_boundary,594,-9268.454609685472,15412.021696290236,21694.615785303926,31035.065273749635
dp=0.008,0.008,constant,mode8_drained_zero_boundary,all_valid,1213,-6622.7818113295125,11742.461148951594,19220.59957164532,31035.065273749635
dp=0.008,0.008,quadratic_r2,material_only,interior,251,-0.028091866508462605,0.038281686220029115,0.08016743004330928,0.08016743004331328
dp=0.008,0.008,quadratic_r2,material_only,middle,368,-2.1935286914704406,2.68676686647056,4.711911676321848,4.711911676321883
dp=0.008,0.008,quadratic_r2,material_only,near_boundary,594,-10.881700981557666,11.199706852053614,13.812724334435595,14.055273974137329
dp=0.008,0.008,quadratic_r2,material_only,all_valid,1213,-6.0,7.975866056795894,13.812724334435522,14.055273974137329
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,interior,251,-0.028091866508462605,0.038281686220029115,0.08016743004330928,0.08016743004331328
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,middle,368,-0.13967219529214617,0.27131836194783443,0.740150301590377,0.7401503015903925
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,near_boundary,594,5.472614505222994e-16,1.2327016180110005e-14,2.5757174171303632e-14,5.3290705182007514e-14
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,all_valid,1213,-0.048186666414784474,0.15045318148808548,0.32726233509265246,0.7401503015903925
dp=0.008,0.008,quadratic_r2,mode8_positivity,interior,251,-0.028091866508462605,0.038281686220029115,0.08016743004330928,0.08016743004331328
dp=0.008,0.008,quadratic_r2,mode8_positivity,middle,368,-0.13967219529214617,0.27131836194783443,0.740150301590377,0.7401503015903925
dp=0.008,0.008,quadratic_r2,mode8_positivity,near_boundary,594,5.472614505222994e-16,1.2327016180110005e-14,2.5757174171303632e-14,5.3290705182007514e-14
dp=0.008,0.008,quadratic_r2,mode8_positivity,all_valid,1213,-0.048186666414784474,0.15045318148808548,0.32726233509265246,0.7401503015903925
dp=0.008,0.008,quadratic_r2,mode8_blend025,interior,251,-0.028091866508462605,0.038281686220029115,0.08016743004330928,0.08016743004331328
dp=0.008,0.008,quadratic_r2,mode8_blend025,middle,368,-1.680064567425867,2.0230506254105864,3.533933757241388,3.5339337572414133
dp=0.008,0.008,quadratic_r2,mode8_blend025,near_boundary,594,-8.16127573616825,8.399780139040208,10.359543250826697,10.541455480602993
dp=0.008,0.008,quadratic_r2,mode8_blend025,all_valid,1213,-4.512046666603696,5.982727259172228,10.359543250826647,10.541455480602993
dp=0.008,0.008,quadratic_r2,mode8_blend050,interior,251,-0.028091866508462605,0.038281686220029115,0.08016743004330928,0.08016743004331328
dp=0.008,0.008,quadratic_r2,mode8_blend050,middle,368,-1.1666004433812933,1.3637775804135166,2.3559558381609245,2.3559558381609436
dp=0.008,0.008,quadratic_r2,mode8_blend050,near_boundary,594,-5.440850490778833,5.599853426026806,6.9063621672177975,7.027636987068665
dp=0.008,0.008,quadratic_r2,mode8_blend050,all_valid,1213,-3.024093333207392,3.990061021945922,6.906362167217765,7.027636987068665
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,interior,251,-0.028091866508462605,0.038281686220029115,0.08016743004330928,0.08016743004331328
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,middle,368,-17.31339705255796,21.080788856062508,31.314823746341546,31.321926923767027
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,near_boundary,594,-23.171136524213683,38.5300542407256,54.23653946325982,77.58766318437416
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,all_valid,1213,-16.605141194738568,29.356538413551167,48.0514989291133,77.58766318437416
dp=0.008,0.008,linear_gap,material_only,interior,250,1.8977591867736654,6.036789503049486,9.492292872070607,36.16185110726687
dp=0.008,0.008,linear_gap,material_only,middle,368,22.90672593316867,27.741589668981298,47.821370570142534,47.821370570142676
dp=0.008,0.008,linear_gap,material_only,near_boundary,594,100.26224692818766,102.3896865189032,121.31946394621666,122.23705620025618
dp=0.008,0.008,linear_gap,material_only,all_valid,1212,56.48505743848428,73.3431332493497,121.3194639462165,122.23705620025618
dp=0.008,0.008,linear_gap,mode8_exact_boundary,interior,250,1.8977591867736654,6.036789503049486,9.492292872070607,36.16185110726687
dp=0.008,0.008,linear_gap,mode8_exact_boundary,middle,368,3.2189422578162583,3.6549239766457036,8.22009252389962,8.220092523899801
dp=0.008,0.008,linear_gap,mode8_exact_boundary,near_boundary,594,-2.318381588553403,3.182406024427429,5.230288859144054,5.999709638964603
dp=0.008,0.008,linear_gap,mode8_exact_boundary,all_valid,1212,0.2325840626807576,4.066534331749804,6.19875198350578,36.16185110726687
dp=0.008,0.008,linear_gap,mode8_positivity,interior,250,1.8977591867736654,6.036789503049486,9.492292872070607,36.16185110726687
dp=0.008,0.008,linear_gap,mode8_positivity,middle,368,3.2189422578162583,3.6549239766457036,8.22009252389962,8.220092523899801
dp=0.008,0.008,linear_gap,mode8_positivity,near_boundary,594,11.86283491146525,22.14548471230736,39.04344047215163,39.528470752104845
dp=0.008,0.008,linear_gap,mode8_positivity,all_valid,1212,7.182784228531484,15.87226197110509,39.04344047215153,39.528470752104845
dp=0.008,0.008,linear_gap,mode8_blend025,interior,250,1.8977591867736654,6.036789503049486,9.492292872070607,36.16185110726687
dp=0.008,0.008,linear_gap,mode8_blend025,middle,368,17.984780014330564,21.325814197438184,36.24005081294766,36.24094109595334
dp=0.008,0.008,linear_gap,mode8_blend025,near_boundary,594,74.6170897990024,76.1218130953179,89.69498659593613,90.17870825959736
dp=0.008,0.008,linear_gap,mode8_blend025,all_valid,1212,42.42193909453341,54.639718798422074,89.69440261295904,90.17870825959736
dp=0.008,0.008,linear_gap,mode8_blend050,interior,250,1.8977591867736654,6.036789503049486,9.492292872070607,36.16185110726687
dp=0.008,0.008,linear_gap,mode8_blend050,middle,368,13.062834095492462,14.960469503873187,24.658731055752746,24.660511621764176
dp=0.008,0.008,linear_gap,mode8_blend050,near_boundary,594,48.971932669817136,49.85884646201148,58.07050924565565,58.12036031893864
dp=0.008,0.008,linear_gap,mode8_blend050,all_valid,1212,28.358820750582524,35.96962162700819,58.06934127970152,58.12036031893864
dp=0.008,0.008,linear_gap,mode8_drained_zero_boundary,interior,250,1.8977591867736654,6.036789503049486,9.492292872070607,36.16185110726687
dp=0.008,0.008,linear_gap,mode8_drained_zero_boundary,middle,368,3.218942257816257,3.6549239766457027,8.22009252389962,8.220092523899801
dp=0.008,0.008,linear_gap,mode8_drained_zero_boundary,near_boundary,594,-2.318381588553405,3.1824060244274266,5.2302888591440375,5.999709638964603
dp=0.008,0.008,linear_gap,mode8_drained_zero_boundary,all_valid,1212,0.2325840626807561,4.066534331749803,6.19875198350578,36.16185110726687
dp=0.008,0.008,smooth_quartic,material_only,interior,251,273.9949862886194,274.0242525360551,281.87245715561176,281.87245715561585
dp=0.008,0.008,smooth_quartic,material_only,middle,368,354.775942354694,357.91560565266326,425.3698475133549,425.36984751338446
dp=0.008,0.008,smooth_quartic,material_only,near_boundary,594,-1512.0738861026643,1933.2516335713376,3225.1983050553836,3578.0370093326837
dp=0.008,0.008,smooth_quartic,material_only,all_valid,1213,-576.1266281945686,1372.8139741095633,3225.198305055187,3578.0370093326837
dp=0.008,0.008,smooth_quartic,mode8_exact_boundary,interior,251,273.9949862886194,274.0242525360551,281.87245715561176,281.87245715561585
dp=0.008,0.008,smooth_quartic,mode8_exact_boundary,middle,368,316.83767867915054,356.58899210023037,588.6867435543932,588.9294497769168
dp=0.008,0.008,smooth_quartic,mode8_exact_boundary,near_boundary,594,-1194.8780992949532,1376.5781219350883,2072.499586158854,2167.2286980249237
dp=0.008,0.008,smooth_quartic,mode8_exact_boundary,all_valid,1213,-432.30715883662924,990.9946141561666,2072.2369474630023,2167.2286980249237
dp=0.008,0.008,smooth_quartic,mode8_positivity,interior,251,273.9949862886194,274.0242525360551,281.87245715561176,281.87245715561585
dp=0.008,0.008,smooth_quartic,mode8_positivity,middle,368,316.83767867915054,356.58899210023037,588.6867435543932,588.9294497769168
dp=0.008,0.008,smooth_quartic,mode8_positivity,near_boundary,594,-1194.8780992949532,1376.5781219350883,2072.499586158854,2167.2286980249237
dp=0.008,0.008,smooth_quartic,mode8_positivity,all_valid,1213,-432.30715883662924,990.9946141561666,2072.2369474630023,2167.2286980249237
dp=0.008,0.008,smooth_quartic,mode8_blend025,interior,251,273.9949862886194,274.0242525360551,281.87245715561176,281.87245715561585
dp=0.008,0.008,smooth_quartic,mode8_blend025,middle,368,345.2913764358081,352.6260613919397,453.0719126512088,453.11040410103567
dp=0.008,0.008,smooth_quartic,mode8_blend025,near_boundary,594,-1432.7749394007367,1789.8510361970039,2929.387336391773,3225.3349315056353
dp=0.008,0.008,smooth_quartic,mode8_blend025,all_valid,1213,-540.171760855084,1273.5902805618875,2929.3059411144313,3225.3349315056353
dp=0.008,0.008,smooth_quartic,mode8_blend050,interior,251,273.9949862886194,274.0242525360551,281.87245715561176,281.87245715561585
dp=0.008,0.008,smooth_quartic,mode8_blend050,middle,368,335.80681051692227,350.61994627617713,491.60697650044733,491.72832961170474
dp=0.008,0.008,smooth_quartic,mode8_blend050,near_boundary,594,-1353.4759926988088,1648.7932730674831,2633.5763677282794,2872.6328536787314
dp=0.008,0.008,smooth_quartic,mode8_blend050,all_valid,1213,-504.21689351559894,1176.4688212817707,2633.4135771734777,2872.6328536787314
dp=0.008,0.008,smooth_quartic,mode8_drained_zero_boundary,interior,251,273.9949862886194,274.0242525360551,281.87245715561176,281.87245715561585
dp=0.008,0.008,smooth_quartic,mode8_drained_zero_boundary,middle,368,316.83767867915054,356.58899210023037,588.6867435543932,588.9294497769168
dp=0.008,0.008,smooth_quartic,mode8_drained_zero_boundary,near_boundary,594,-1194.8780992949532,1376.5781219350883,2072.499586158854,2167.2286980249237
dp=0.008,0.008,smooth_quartic,mode8_drained_zero_boundary,all_valid,1213,-432.30715883662924,990.9946141561666,2072.2369474630023,2167.2286980249237
dp=0.0065,0.0065,constant,material_only,interior,437,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,material_only,middle,752,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,material_only,near_boundary,1412,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,material_only,all_valid,2601,0.0,0.0,0.0,0.0
dp=0.0065,0.0065,constant,mode8_exact_boundary,interior,437,0.0,0.0,0.0,0.0
