case,time,frame_index,r_over_R_min,r_over_R_max,r_over_R_mid,count,sph_mean_pressure,sph_p95_abs_pressure
mode8_blend050_positivity_dp008,0.004022,4,0.0,0.2,0.1,7,861.2326059107572,865.34512144896
mode8_blend050_positivity_dp008,0.004022,4,0.2,0.4,0.30000000000000004,74,888.4615431848458,895.9463210616251
mode8_blend050_positivity_dp008,0.004022,4,0.4,0.6,0.5,170,866.3631405281601,871.75951865158
mode8_blend050_positivity_dp008,0.004022,4,0.6,0.8,0.7,258,874.5419043268848,886.8981093217551
mode8_blend050_positivity_dp008,0.004022,4,0.8,0.9,0.8500000000000001,230,843.411724620074,880.3575850928
mode8_blend050_positivity_dp008,0.004022,4,0.9,0.95,0.925,156,950.6951629687592,1072.991653597
mode8_blend050_positivity_dp008,0.004022,4,0.95,1.0,0.975,126,1050.9829919302629,1120.41145096325
mode8_blend050_positivity_dp008,0.005067,5,0.0,0.2,0.1,7,468.9134838284714,469.30756689492
mode8_blend050_positivity_dp008,0.005067,5,0.2,0.4,0.30000000000000004,74,513.0815125749865,528.18264563197
mode8_blend050_positivity_dp008,0.005067,5,0.4,0.6,0.5,170,503.9648607969326,514.6642091002151
mode8_blend050_positivity_dp008,0.005067,5,0.6,0.8,0.7,234,526.3258117057468,569.63165851871
mode8_blend050_positivity_dp008,0.005067,5,0.8,0.9,0.8500000000000001,254,492.36669964200627,552.75160186557
mode8_blend050_positivity_dp008,0.005067,5,0.9,0.95,0.925,156,784.7069797859515,1081.2316861445
mode8_blend050_positivity_dp008,0.005067,5,0.95,1.0,0.975,126,933.1236719207828,1222.6003428734998
mode8_blend050_positivity_dp008,0.006032,6,0.0,0.2,0.1,7,739.7587347305,752.53757485716
mode8_blend050_positivity_dp008,0.006032,6,0.2,0.4,0.30000000000000004,74,734.9829500787325,743.1356894026701
mode8_blend050_positivity_dp008,0.006032,6,0.4,0.6,0.5,170,771.6339580482206,777.87999616087
mode8_blend050_positivity_dp008,0.006032,6,0.6,0.8,0.7,240,785.8600092881518,806.270814161635
mode8_blend050_positivity_dp008,0.006032,6,0.8,0.9,0.8500000000000001,248,842.6434374402431,917.909523318235
mode8_blend050_positivity_dp008,0.006032,6,0.9,0.95,0.925,156,819.4981067810734,933.381191183125
mode8_blend050_positivity_dp008,0.006032,6,0.95,1.0,0.975,126,677.777536582115,989.6912311697001
