case,time,targets,corrected,fallback,material_samples,boundary_samples,avg_material,avg_boundary,support,r_min_factor,r_threshold,boundary_weight,condition_limit,cond_min,cond_mean,cond_max,mean_lap,max_abs_lap,mean_abs_replaced,max_abs_replaced,limiter,prevent_negative,limiter_dt,limiter_cfl,blend,limiter_targets,blend_limited,positivity_limited,theta_mean,theta_min,theta_max,mean_abs_limiter_delta,max_abs_limiter_delta,max_abs_diffusion_rate
mode8_blend050_dp008,0.00193039,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.304,1410.29,2285.2,-709394.0,12015600.0,4973790.0,12440100.0,3,0,8.04309e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4973790.0,12440100.0,81655.6
mode8_blend050_dp008,0.00193039,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.304,1410.29,2285.21,-709591.0,12015100.0,4973710.0,12439500.0,3,0,8.04309e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,4973710.0,12439500.0,81651.8
mode8_blend050_dp008,0.00201082,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.303,1410.3,2285.22,-419950.0,12532300.0,5134610.0,13642600.0,3,0,8.04307e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5134610.0,13642600.0,85166.9
mode8_blend050_dp008,0.00201082,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.302,1410.3,2285.22,-420114.0,12531800.0,5134550.0,13642200.0,3,0,8.04307e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5134550.0,13642200.0,85163.7
mode8_blend050_dp008,0.00209125,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.302,1410.31,2285.23,-167995.0,12972100.0,5271800.0,14668100.0,3,0,8.04305e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5271800.0,14668100.0,88155.9
mode8_blend050_dp008,0.00209125,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.301,1410.31,2285.24,-168130.0,12971700.0,5271750.0,14667700.0,3,0,8.04305e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5271750.0,14667700.0,88153.1
mode8_blend050_dp008,0.00217168,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.3,1410.31,2285.25,53329.7,13348400.0,5389080.0,15552600.0,3,0,8.04311e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5389080.0,15552600.0,90712.8
mode8_blend050_dp008,0.00217168,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.299,1410.32,2285.25,53220.4,13348000.0,5389040.0,15552300.0,3,0,8.04311e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5389040.0,15552300.0,90710.5
mode8_blend050_dp008,0.00225211,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.299,1410.32,2285.26,250021.0,13672800.0,5489620.0,16328600.0,3,0,8.04315e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5489620.0,16328600.0,92917.1
mode8_blend050_dp008,0.00225211,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.298,1410.32,2285.26,249935.0,13672500.0,5489580.0,16328300.0,3,0,8.04315e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5489580.0,16328300.0,92915.1
mode8_blend050_dp008,0.00233254,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.297,1410.33,2285.26,427370.0,13955700.0,5576160.0,17025200.0,3,0,8.04318e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5576160.0,17025200.0,94839.6
mode8_blend050_dp008,0.00233254,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.297,1410.33,2285.27,427305.0,13955400.0,5576130.0,17024900.0,3,0,8.04318e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5576130.0,17024900.0,94837.8
mode8_blend050_dp008,0.00241297,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.296,1410.33,2285.27,590114.0,14206600.0,5651120.0,17668900.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5651120.0,17668900.0,96544.8
mode8_blend050_dp008,0.00241297,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.295,1410.33,2285.27,590068.0,14206300.0,5651100.0,17668700.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5651100.0,17668700.0,96543.2
mode8_blend050_dp008,0.00249341,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.295,1410.34,2285.28,742578.0,14434400.0,5716730.0,18284500.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5716730.0,18284500.0,98092.8
mode8_blend050_dp008,0.00249341,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.294,1410.34,2285.28,742548.0,14434100.0,5716720.0,18284300.0,3,0,8.04319e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5716720.0,18284300.0,98091.3
mode8_blend050_dp008,0.00257384,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.294,1410.34,2285.28,888777.0,14647500.0,5775130.0,18895000.0,3,0,8.0432e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5775130.0,18895000.0,99541.6
mode8_blend050_dp008,0.00257384,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.294,1410.34,2285.29,888760.0,14647300.0,5775120.0,18894800.0,3,0,8.0432e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5775120.0,18894800.0,99540.2
mode8_blend050_dp008,0.00265427,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.294,1410.35,2285.29,1032530.0,14854600.0,5828490.0,19522500.0,3,0,8.0432e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5828490.0,19522500.0,100948.0
mode8_blend050_dp008,0.00265427,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.293,1410.35,2285.29,1032520.0,14854300.0,5828480.0,19522300.0,3,0,8.0432e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5828480.0,19522300.0,100947.0
mode8_blend050_dp008,0.0027347,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.293,1410.35,2285.29,-748332.0,12264900.0,5078050.0,12670000.0,3,0,8.0432e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5078050.0,12670000.0,83349.4
mode8_blend050_dp008,0.0027347,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.293,1410.36,2285.3,-748329.0,12264700.0,5078050.0,12669800.0,3,0,8.0432e-05,0.9,0.5,594.0,594.0,0.0,0.5,0.5,0.5,5078050.0,12669800.0,83348.0
