case,case_name,resolution,configured_dp,mode,time,frame_index,particle_count,center_pressure,center_nearest_radius,volume_mean_pressure,surface_shell_mean,surface_shell_p95_abs,porepressrate_maxAbs,negative_pressure_count,kplastic_maxAbs,fv_center_pressure,fv_volume_mean_pressure,fv_surface_shell_mean,apparent_flux_integral,fv_boundary_flux_integral,flux_ratio,min_pressure
mode8_blend025_dp008,C5o_B025,finer,0.008,8,0.006032,6,1213,927.5771928861,2.553231945153594e-14,968.3789276223225,1038.9106455047406,1261.1118292398,2619829.8,0,0.0,999.9978840064646,615.7272911806482,85.86715131759048,-109.4210180106157,14.543623870330425,-7.523641905635291,753.6744931172
mode8_blend050_dp008,C5o_B050,finer,0.008,8,0.0,0,1213,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0,0.0,1000.0,1000.0,1000.0000000000001,-4.497662236984235,4099.121912940717,-0.0010972257796932916,1000.0
mode8_blend050_dp008,C5o_B050,finer,0.008,8,0.001046,1,1213,996.5359583131,1.7621162486757847e-16,1008.9850376263959,1045.567920844002,1167.301055466,379513.81,0,0.0,1000.000000000005,828.037624637884,234.15858062975508,-23.494546552854672,40.911894663194644,-0.5742717795465716,910.8697564931
mode8_blend050_dp008,C5o_B050,finer,0.008,8,0.002011,2,1213,1092.612468199,2.3640244826411285e-15,1084.5861320611991,1101.1539826722747,1171.2185813993501,687129.81,0,0.0,1000.0000000000043,766.125419923174,164.95110391894238,-19.056145199023547,28.31435651466818,-0.6730205996082432,998.7057081451
mode8_blend050_dp008,C5o_B050,finer,0.008,8,0.003056,3,1213,1075.111037148,4.018105429348159e-14,1075.148120672873,1077.342381696066,1154.0252624713498,324297.59,0,0.0,999.9999999988919,716.3947810655859,129.9872895860561,67.99427878601773,22.16214126966638,3.068037422858702,1023.122366512
mode8_blend050_dp008,C5o_B050,finer,0.008,8,0.004022,4,1213,836.5576560409,7.629052463297195e-14,841.8078602913594,736.2624679386794,1120.41140825135,2119573.3,0,0.0,999.9999987093851,678.8508182714902,110.44351320770033,149.19586601655408,18.770138847466768,7.948575512891833,188.0512504795
mode8_blend050_dp008,C5o_B050,finer,0.008,8,0.005067,5,1213,469.4782714325,1.0744467277074167e-13,494.9915604361776,323.70783580115733,1694.80151834465,3569113.8,120,0.0,999.9998729457853,644.0416604930647,95.85859699621113,-15.082869988364308,16.257156810968123,-0.9277680078836684,-1694.803348194
mode8_blend050_dp008,C5o_B050,finer,0.008,8,0.006032,6,1213,756.1530938686,3.1828596117164794e-13,844.2071925814489,976.0984897299466,1434.4260188115,4990824.5,0,0.0,999.9978840064646,615.7272911806482,85.86715131759048,-189.48070198036274,14.543623870330425,-13.028438006218723,457.4881710106
mode8_blend050_positivity_dp008,C5o_B050Pos,finer,0.008,8,0.0,0,1213,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0,0.0,1000.0,1000.0,1000.0000000000001,-4.497662236984235,4099.121912940717,-0.0010972257796932916,1000.0
mode8_blend050_positivity_dp008,C5o_B050Pos,finer,0.008,8,0.001046,1,1213,996.5359583131,1.7621162486757847e-16,1008.9850376263959,1045.567920844002,1167.301055466,379513.81,0,0.0,1000.000000000005,828.037624637884,234.15858062975508,-23.494546552854672,40.911894663194644,-0.5742717795465716,910.8697564931
mode8_blend050_positivity_dp008,C5o_B050Pos,finer,0.008,8,0.002011,2,1213,1092.612468199,2.3640244826411285e-15,1084.5861320611991,1101.1539826722747,1171.2185813993501,687129.81,0,0.0,1000.0000000000043,766.125419923174,164.95110391894238,-19.056145199023547,28.31435651466818,-0.6730205996082432,998.7057081451
mode8_blend050_positivity_dp008,C5o_B050Pos,finer,0.008,8,0.003056,3,1213,1075.111037148,4.018105429348159e-14,1075.148120672873,1077.342381696066,1154.0252624713498,324297.59,0,0.0,999.9999999988919,716.3947810655859,129.9872895860561,67.99427878601773,22.16214126966638,3.068037422858702,1023.122366512
mode8_blend050_positivity_dp008,C5o_B050Pos,finer,0.008,8,0.004022,4,1213,836.5576560409,7.629052463297195e-14,841.8078602913594,736.2624679386794,1120.41140825135,2119573.3,0,0.0,999.9999987093851,678.8508182714902,110.44351320770033,149.07851969656053,18.770138847466768,7.942323757326935,188.0512504795
mode8_blend050_positivity_dp008,C5o_B050Pos,finer,0.008,8,0.005067,5,1213,469.5197576697,1.0470843780358465e-13,495.47911372112645,325.33346476754167,1682.944726238,3514602.0,120,0.0,999.9998729457853,644.0416604930647,95.85859699621113,-15.88689944692203,16.257156810968123,-0.9772249620058845,-1682.946699484
mode8_blend050_positivity_dp008,C5o_B050Pos,finer,0.008,8,0.006032,6,1213,759.4184787492,1.7222692547905335e-13,847.1292178593063,979.2428917421933,1436.5872014132,4992327.5,0,0.0,999.9978840064646,615.7272911806482,85.86715131759048,-190.80162068991228,14.543623870330425,-13.119262598584884,459.2811050003
