step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
85,0.00570823,1.0,55,352,472914.0,294379.0,472914.0,294379.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
86,0.00572278,1.0,55,352,335717.0,210502.0,335717.0,210502.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
87,0.00573398,1.0,55,352,194551.0,122460.0,194551.0,122460.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
88,0.00574357,1.0,51,356,98120.3,41180.2,98120.3,41180.2,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
89,0.00575254,1.0,51,356,136199.0,68931.9,136199.0,68931.9,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
90,0.00576133,1.0,51,356,153900.0,96569.2,153900.0,96569.2,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
91,0.00577022,1.0,51,356,282476.0,171526.0,282476.0,171526.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
92,0.0057792,1.0,51,356,402888.0,241653.0,402888.0,241653.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
93,0.00578827,1.0,51,356,507548.0,302499.0,507548.0,302499.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
94,0.00579741,1.0,51,356,588894.0,350188.0,588894.0,350188.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
95,0.00580663,1.0,51,356,640156.0,381381.0,640156.0,381381.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
96,0.00581592,1.0,51,356,655994.0,393456.0,655994.0,393456.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
97,0.00582527,1.0,51,356,633151.0,384730.0,633151.0,384730.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
98,0.00583468,1.0,51,356,570843.0,354593.0,570843.0,354593.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
99,0.00584416,1.0,51,356,471068.0,303602.0,471068.0,303602.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
100,0.0058537,1.0,51,356,223277.0,162849.0,223277.0,162849.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
101,0.0058633,1.0,51,356,98519.8,79373.0,98519.8,79373.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
102,0.00587299,1.0,51,356,84537.8,44857.0,84537.8,44857.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
103,0.00588277,1.0,51,356,240454.0,106450.0,240454.0,106450.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
104,0.00589266,1.0,51,356,384750.0,197422.0,384750.0,197422.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
105,0.00590256,1.0,51,356,507838.0,278609.0,507838.0,278609.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
106,0.00591253,1.0,51,356,603859.0,344527.0,603859.0,344527.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
107,0.00592263,1.0,51,356,668240.0,390146.0,668240.0,390146.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
108,0.00593291,1.0,51,356,697003.0,410902.0,697003.0,410902.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
109,0.00594342,1.0,51,356,686065.0,402850.0,686065.0,402850.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
110,0.00595409,1.0,51,356,317595.0,187164.0,317595.0,187164.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
111,0.0059649,1.0,51,356,220407.0,120478.0,220407.0,120478.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
112,0.00597565,1.0,51,356,101951.0,44452.3,101951.0,44452.3,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
113,0.00598637,1.0,51,356,62217.5,46192.7,62217.5,46192.7,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
114,0.0059971,1.0,51,356,196097.0,130857.0,196097.0,130857.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
