case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
platen_lateral_confinement,9,0.004524,core_medium,45,0,41225.65735592578,3764.1340264262394,33745132.0,-0.043507623311111104,0.050707553,0.0,-14.41654901493778,-14.416547059597777,-324.99981933333333,324.99981933333333,0.918915340352049,117.9443051359563,310.58327129606556
platen_lateral_confinement,9,0.004524,specimen_minus_edges,63,0,38563.917512477004,5834.096121909711,33745132.0,-0.04156176687301587,0.050707553,0.0,-16.41797680432064,-16.417975613998408,-325.49132571428567,325.49132571428567,0.9203050419040821,119.44242604420157,309.07334950512615
platen_lateral_confinement,10,0.005027,core_small,15,0,58845.51550397267,2712.883543948834,27710218.0,-0.04080256346666667,0.041657824,0.0,-36.77932706666666,-36.77932793333333,-403.3949413333333,403.3949413333333,1.1405723257692768,158.9845321111111,366.6156138333333
platen_lateral_confinement,10,0.005027,core_medium,45,0,55619.79027847843,4355.055517094657,28217100.0,-0.0396713074888889,0.04240578,0.0,-34.7240488,-34.72404808888889,-392.5207993333333,392.5207993333333,1.109826413610114,153.98963207407405,357.7967508888889
platen_lateral_confinement,10,0.005027,specimen_minus_edges,63,0,52007.492690422056,7043.545066768303,28217100.0,-0.03661506034920635,0.04240578,0.0,-36.02470217460318,-36.02470153968253,-387.5213493650793,387.5213493650793,1.095690801847083,153.190251026455,351.4966475079364
platen_lateral_confinement,11,0.00553,core_small,15,0,64033.54567787867,1115.0406251775867,16876614.0,-0.0181107364,0.025391642,0.0,-45.42809226666667,-45.428094533333336,-456.309188,456.309188,1.2901838335076914,182.38845826666667,410.8810946
platen_lateral_confinement,11,0.00553,core_medium,45,0,60780.93105803132,3462.680076705318,22716114.0,-0.019093623335555556,0.034139048,0.0,-44.36271966666666,-44.36271968888889,-443.76653244444435,443.76653244444435,1.2547203104128346,177.4973239333333,399.4038127666666
platen_lateral_confinement,11,0.00553,specimen_minus_edges,63,0,56691.598027180466,7160.148026659377,24855276.0,-0.01738768826349206,0.037341122,0.0,-44.30854639682539,-44.308545968253966,-435.8491320634919,435.8491320634919,1.2323343882277382,174.82207480952374,391.5405858809523
platen_lateral_confinement,12,0.006032,core_small,15,0,65326.431121122,2179.332302267753,9652756.0,0.004239846113333333,0.014411229,0.0,-36.266808266666665,-36.266812333333334,-484.5142546666667,484.5142546666667,1.369931780718301,185.68262508888893,448.24744436666674
platen_lateral_confinement,12,0.006032,core_medium,45,0,62706.06921751866,5258.451522728855,15399158.0,0.001962544977777779,0.023065059,0.0,-36.96174711111111,-36.961748244444436,-473.1855237777779,473.1855237777779,1.3379005487567748,182.3696730444445,436.2237761000001
platen_lateral_confinement,12,0.006032,specimen_minus_edges,63,0,58463.54459417112,9513.558885784201,20437690.0,0.0016021663492063487,0.030697737,0.0,-36.13781182539682,-36.13781242857143,-466.0970642857143,466.0970642857143,1.3178584017177926,179.45756284656082,429.9592521587302
