case,part,time,region,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,porepress_mean,porepress_std,excess_mean,porepressrate_mean,divvel_mean
CaseT4_StressPath_SelectedConfinement,6,0.001206,zhao_measurement_cylinder,0.04997026171171162,-4.7754786999948395e-05,3.5966227509074454e-05,30966.173308747108,5249.624902161105,30966.173308747108,128519869.86866666,-0.1928048310844445
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_small,0.04997495486486481,-0.00015410128899995268,2.7685334258499992e-05,28600.82582888,0.0,28600.82582888,161291630.0,-0.2415977
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_medium,0.04997495486486481,-0.00015410128899995268,8.520748067979329e-05,87850.4694582675,21197.202912683384,87850.4694582675,562773366.25,-0.8442546766666666
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_large,0.04997495486486481,-0.00015410128899995268,7.78012653237544e-05,74125.78097213423,23814.459189886984,74125.78097213423,434883497.5555556,-0.6523474479999999
CaseT4_StressPath_SelectedConfinement,7,0.001305,full_excluding_caps_edges,0.04997495486486481,-0.00015410128899995268,0.00028550821628814177,270448.71607165143,1662525.223331763,270448.71607165143,1843669770.1312742,-2.76628466027027
CaseT4_StressPath_SelectedConfinement,7,0.001305,zhao_measurement_cylinder,0.04997495486486481,-0.00015410128899995268,7.78012653237544e-05,74125.78097213423,23814.459189886984,74125.78097213423,434883497.5555556,-0.6523474479999999
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_small,0.05014149666666648,-0.0005894861800000151,-0.00012897551299150006,-76070.24180654,0.0,-76070.24180654,-2359328300.0,3.5397208
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_medium,0.05014149666666648,-0.0005894861800000151,0.00012407954753745995,-80399.92161465045,83497.0465175512,-80399.92161465045,-17724272.4,0.025895374399999973
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_large,0.05014149666666648,-0.0005894861800000151,6.912551738418917e-05,-55270.180674438496,107304.3927333201,-55270.180674438496,-556860232.6086956,0.8349947730434782
CaseT4_StressPath_SelectedConfinement,8,0.0014,full_excluding_caps_edges,0.05014149666666648,-0.0005894861800000151,0.0007249109186274276,-269782.16862219595,630491.5838675721,-269782.16862219595,4320609163.513514,-6.484298546872588
CaseT4_StressPath_SelectedConfinement,8,0.0014,zhao_measurement_cylinder,0.05014149666666648,-0.0005894861800000151,6.14707313348655e-05,-62729.81500366825,95970.73459473757,-62729.81500366825,-664286782.2222222,0.9961481635555556
CaseT4_StressPath_SelectedConfinement,9,0.001507,center_core_small,0.03326023840425518,-0.001101435479999996,-0.0051802758537915035,-2623483.358207667,148289.76467094428,-2623483.358207667,-60584822000.0,90.87710799999998
CaseT4_StressPath_SelectedConfinement,9,0.001507,center_core_medium,0.03326023840425518,-0.001101435479999996,-0.004371150486712944,-2276160.6480003204,233539.50902530953,-2276160.6480003204,-56002596240.0,83.99709591999999
CaseT4_StressPath_SelectedConfinement,9,0.001507,center_core_large,0.03326023840425518,-0.001101435479999996,-0.004647394787060943,-2197875.9316298575,555606.591190814,-2197875.9316298575,-58219118063.492065,87.32426325396825
CaseT4_StressPath_SelectedConfinement,9,0.001507,full_excluding_caps_edges,0.03326023840425518,-0.001101435479999996,-0.00427905838698555,-2569065.8778291917,13858372.442508563,-2569065.8778291917,-66692981413.12741,100.01643510038609
CaseT4_StressPath_SelectedConfinement,9,0.001507,zhao_measurement_cylinder,0.03326023840425518,-0.001101435479999996,-0.0048114115492042505,-2483588.0515601556,338428.7179118696,-2483588.0515601556,-60059788600.0,90.08576362222222
