case,part,time,region,particle_count,axial_strain_top_proxy,axial_strain_height_proxy,volumetric_strain_divvel_proxy,porepress_mean,porepress_std,excess_mean,excess_std,divvel_mean,divvel_std,porepressrate_mean,porepressrate_std,kplastic_max,kplastic_mean,fi_min,fi_mean,fi_median,fi_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_xy_mean,sigma_xz_mean,sigma_yz_mean,p_eff_proxy,q_proxy,axial_stress_proxy,radial_stress_proxy,mean_pore_pressure_for_total_proxy,class_interior_count,class_lateral_count,class_top_count,class_bottom_count,class_edge_count,class_outside_count
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_medium,24,0.04997495486486481,-0.00015410128899995268,8.520748067979329e-05,87850.4694582675,21197.202912683384,87850.4694582675,21197.202912683384,-0.8442546766666666,0.23868580927399694,562773366.25,159087309.62245303,0.0,0.0,0.9984119967877341,0.9989279431852189,0.9984403065878568,1.0014295757429565,-329.63425458333336,-329.6344825,0.31795837499999874,3.3916155375000046e-06,5.4251277335126794e-05,2.7815804794310377e-05,219.65025956944444,329.95232691674266,-0.31795837499999874,329.6343685416667,87850.4694582675,24,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,7,0.001305,center_core_large,45,0.04997495486486481,-0.00015410128899995268,7.78012653237544e-05,74125.78097213423,23814.459189886984,74125.78097213423,23814.459189886984,-0.6523474479999999,0.30008550672907675,434883497.5555556,199999011.69113114,0.0,0.0,0.9766466803498195,0.9890984116687747,0.9984119968639436,1.0014311559361582,-300.7285068222222,-300.728760088889,45.48484513333333,2.7911654069612268e-05,4.80418659113487e-05,2.0064700556253632e-05,185.3241405925926,346.21347858897354,-45.48484513333333,300.7286334555556,74125.78097213423,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,7,0.001305,full_excluding_caps_edges,259,0.04997495486486481,-0.00015410128899995268,0.00028550821628814177,270448.71607165143,1662525.223331763,270448.71607165143,1662525.223331763,-2.76628466027027,19.563753778481377,1843669770.1312742,13039444835.807856,0.0,0.0,0.5707023120994152,0.7943971476499726,0.8615438627576482,1.0014311559361582,-930.4917001930497,-930.4917488841697,-167.89445941312738,-7.140478089300484e-05,3.0924054737245577e-05,1.2306224691541972e-05,676.292636163449,762.5972651254957,167.89445941312738,930.4917245386098,270448.71607165143,63,196,0,0,0,0
CaseT4_StressPath_SelectedConfinement,7,0.001305,zhao_measurement_cylinder,45,0.04997495486486481,-0.00015410128899995268,7.78012653237544e-05,74125.78097213423,23814.459189886984,74125.78097213423,23814.459189886984,-0.6523474479999999,0.30008550672907675,434883497.5555556,199999011.69113114,0.0,0.0,0.9766466803498195,0.9890984116687747,0.9984119968639436,1.0014311559361582,-300.7285068222222,-300.728760088889,45.48484513333333,2.7911654069612268e-05,4.80418659113487e-05,2.0064700556253632e-05,185.3241405925926,346.21347858897354,-45.48484513333333,300.7286334555556,74125.78097213423,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_small,1,0.05014149666666648,-0.0005894861800000151,-0.00012897551299150006,-76070.24180654,0.0,-76070.24180654,0.0,3.5397208,0.0,-2359328300.0,0.0,0.0,0.0,1.001415413210148,1.001415413210148,1.001415413210148,1.001415413210148,818.34259,818.34149,-171.04482,-0.00014867027,0.00027059464,0.00034592373,-488.54641999999996,989.3868600007845,171.04482,-818.34204,-76070.24180654,1,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_medium,25,0.05014149666666648,-0.0005894861800000151,0.00012407954753745995,-80399.92161465045,83497.0465175512,-80399.92161465045,83497.0465175512,0.025895374399999973,1.7498368269749358,-17724272.4,1166468098.392905,0.0,0.0,0.9986242548102403,0.9993646684818424,0.9988767445216775,1.0019083302078338,-69.041006,-69.04204120000003,-509.11891840000004,-1.4737992839999989e-05,0.0002828118754571901,0.00025066082004741473,215.73398853333333,440.0773948014007,509.11891840000004,69.0415236,-80399.92161465045,25,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,8,0.0014,center_core_large,46,0.05014149666666648,-0.0005894861800000151,6.912551738418917e-05,-55270.180674438496,107304.3927333201,-55270.180674438496,107304.3927333201,0.8349947730434782,2.0630396748743536,-556860232.6086956,1375156669.7620404,0.0,0.0,0.9765414498241534,0.9895414930352998,0.9986242620813148,1.0019083302078338,74.48204152173916,74.48083978260865,-322.294827673913,6.116604910620599e-05,0.000298830891658188,0.00029030889633620814,57.77731545652173,396.7762683281222,322.294827673913,-74.48144065217392,-55270.180674438496,46,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,8,0.0014,full_excluding_caps_edges,259,0.05014149666666648,-0.0005894861800000151,0.0007249109186274276,-269782.16862219595,630491.5838675721,-269782.16862219595,630491.5838675721,-6.484298546872588,85.55429676003754,4320609163.513514,57022461114.66729,0.0,0.0,0.554088563949019,0.7950728758848606,0.8605640874992071,1.0019083302078338,-2172.1999055984566,-2172.200640733591,-761.8580701737453,-0.00026304531582558357,0.00013158429984501274,0.0001037063660115146,1702.0862055019313,1410.3422029925257,761.8580701737453,2172.200273166024,-269782.16862219595,63,196,0,0,0,0
CaseT4_StressPath_SelectedConfinement,8,0.0014,zhao_measurement_cylinder,45,0.05014149666666648,-0.0005894861800000151,6.14707313348655e-05,-62729.81500366825,95970.73459473757,-62729.81500366825,95970.73459473757,0.9961481635555556,1.7765343577290986,-664286782.2222222,1184152864.3898551,0.0,0.0,0.9765414498241534,0.9892731445001571,0.9986242616355019,1.0019083302078338,122.49407800000004,122.49288066666664,-328.19805688888886,7.625667066248651e-05,0.00029179993081874676,0.0002817382333634871,27.737032740740727,450.691536223982,328.19805688888886,-122.49347933333334,-62729.81500366825,45,0,0,0,0,0
CaseT4_StressPath_SelectedConfinement,9,0.001507,center_core_small,3,0.03326023840425518,-0.001101435479999996,-0.0051802758537915035,-2623483.358207667,148289.76467094428,-2623483.358207667,148289.76467094428,90.87710799999998,2.8558974473292986,-60584822000.0,1901771856.443529,0.0,0.0,1.001007079277274,1.0016701653854296,1.0019878141651883,1.0020156027138265,11329.421666666667,11329.412000000002,-3187.129233333333,-0.0005151103,0.0006753435066666666,0.0007962473266666667,-6490.568144444445,14516.546066669222,3187.129233333333,-11329.416833333335,-2623483.358207667,3,0,0,0,0,0
