case,part,idp,class,fi,fi_selected
CaseT4_StressPath_SelectedConfinement,0,316,edge,0.6353305999065862,1
CaseT4_StressPath_SelectedConfinement,0,317,lateral,0.6669146473889812,1
CaseT4_StressPath_SelectedConfinement,0,318,lateral,0.6673919415031053,1
CaseT4_StressPath_SelectedConfinement,0,319,lateral,0.6673919072698873,1
CaseT4_StressPath_SelectedConfinement,0,325,edge,0.5479757027029416,1
CaseT4_StressPath_SelectedConfinement,0,326,lateral,0.5748032154007807,1
CaseT4_StressPath_SelectedConfinement,0,327,lateral,0.5752098401997556,1
CaseT4_StressPath_SelectedConfinement,0,328,lateral,0.5752098103323908,1
CaseT4_StressPath_SelectedConfinement,0,127,edge,0.5479757027029417,1
CaseT4_StressPath_SelectedConfinement,0,128,lateral,0.5748032154007807,1
CaseT4_StressPath_SelectedConfinement,0,129,lateral,0.5752098401997556,1
CaseT4_StressPath_SelectedConfinement,0,130,lateral,0.5752098103323909,1
CaseT4_StressPath_SelectedConfinement,0,190,edge,0.6353305999065862,1
CaseT4_StressPath_SelectedConfinement,0,191,lateral,0.6669146473889812,1
CaseT4_StressPath_SelectedConfinement,0,192,lateral,0.6673919415031053,1
CaseT4_StressPath_SelectedConfinement,0,193,lateral,0.6673919072698873,1
CaseT4_StressPath_SelectedConfinement,0,253,edge,0.5479757027029416,1
CaseT4_StressPath_SelectedConfinement,0,254,lateral,0.5748032154007807,1
CaseT4_StressPath_SelectedConfinement,0,255,lateral,0.5752098401997556,1
CaseT4_StressPath_SelectedConfinement,0,256,lateral,0.5752098103323909,1
CaseT4_StressPath_SelectedConfinement,0,5,lateral,0.5752098271863018,1
CaseT4_StressPath_SelectedConfinement,0,6,lateral,0.575209852743981,1
CaseT4_StressPath_SelectedConfinement,0,7,lateral,0.5752098278281775,1
CaseT4_StressPath_SelectedConfinement,0,32,lateral,0.6467570684106534,1
CaseT4_StressPath_SelectedConfinement,0,33,lateral,0.6467570973800869,1
CaseT4_StressPath_SelectedConfinement,0,34,lateral,0.6467570692375544,1
CaseT4_StressPath_SelectedConfinement,0,41,lateral,0.8622304925582281,0
CaseT4_StressPath_SelectedConfinement,0,42,lateral,0.8622305310652509,0
CaseT4_StressPath_SelectedConfinement,0,43,lateral,0.8622304933661006,0
CaseT4_StressPath_SelectedConfinement,0,77,lateral,0.5752098271863018,1
CaseT4_StressPath_SelectedConfinement,0,78,lateral,0.575209852743981,1
CaseT4_StressPath_SelectedConfinement,0,79,lateral,0.5752098278281774,1
CaseT4_StressPath_SelectedConfinement,0,86,lateral,0.8622304925582281,0
CaseT4_StressPath_SelectedConfinement,0,87,lateral,0.862230531065251,0
CaseT4_StressPath_SelectedConfinement,0,88,lateral,0.8622304933661006,0
CaseT4_StressPath_SelectedConfinement,0,95,interior,0.9767008058283201,0
CaseT4_StressPath_SelectedConfinement,0,96,interior,0.976700849907463,0
CaseT4_StressPath_SelectedConfinement,0,97,interior,0.9767008072306681,0
