case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
improved_adaptive,22,0.011058,0.0002869201080001049,-138052.0149683994,108965.75449169964,73886736.0,0.11121792,0.006217632711630958
improved_adaptive,23,0.011561,0.00030127306200000703,-145324.5427043147,106030.40955954819,74506832.0,0.11207054,0.006240506749067595
improved_adaptive,24,0.012064,0.0003156431870000864,-153345.05302825852,115201.99064956073,75018184.0,0.11293693,0.006262797921328934
improved_adaptive,25,0.012566,0.00032994909399994277,-160478.8875226345,111804.99847244642,75641744.0,0.11378672,0.006284274438013072
improved_adaptive,26,0.013069,0.00034428723799995176,-168453.66729778564,120953.70208254569,76106664.0,0.11458875,0.006304857736976873
improved_adaptive,27,0.013572,0.00035865078100008607,-175540.94530661547,116963.4325470148,76667544.0,0.11533779,0.006324581468924864
improved_adaptive,28,0.014074,0.0003729807820000708,-183609.6128655804,125920.69882536819,77059824.0,0.11603624,0.006343341521498121
improved_adaptive,29,0.014577,0.0003873376769999992,-190733.45539519773,121340.30512007687,77566328.0,0.11669716,0.006361228436176696
improved_adaptive,30,0.015079,0.0004016422890000537,-198872.47141862763,130157.99653454269,77910928.0,0.11732906,0.006378370483575581
improved_adaptive,31,0.015582,0.0004159961070000773,-205953.4560290733,125150.767049768,78385848.0,0.11793607,0.0063948032169019245
improved_adaptive,32,0.016085,0.00043030084299996996,-214075.25376307493,133911.2856901863,78696704.0,0.11852199,0.0064104309557186075
improved_adaptive,33,0.016587,0.00044464801700005996,-221082.30333330613,128538.06632407513,79143984.0,0.11908147,0.006425308314080813
improved_adaptive,34,0.01709,0.00045894857500006214,-229202.9353835943,137210.27032088744,79413184.0,0.11960939,0.006439490429183691
improved_adaptive,35,0.017593,0.00047322309000008556,-236184.50481402708,131470.25405047994,79818488.0,0.12010024,0.00645304685665877
improved_adaptive,36,0.018095,0.00048753211000007735,-244342.10751340588,140034.0622593611,80043352.0,0.12056585,0.006465917422280465
ramp_improved_adaptive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramp_improved_adaptive,1,0.000503,-2.0285726015645267e-08,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0009684581650833893
ramp_improved_adaptive,2,0.001005,2.093348008824769e-08,-17317.250833067446,3273.2145044041963,28769054.0,0.043213334,0.0012486013899488861
ramp_improved_adaptive,3,0.001508,7.085143700902297e-07,-22262.110995274237,4571.698785753133,24034824.0,0.036057126,0.0013059119561190892
ramp_improved_adaptive,4,0.002011,2.9933603999665603e-06,-21195.837458601505,11222.27379612327,23064612.0,0.034728054,0.0016553144252515835
ramp_improved_adaptive,5,0.002513,7.2709755999378345e-06,-18630.60723775804,13574.317110102706,21856194.0,0.032827932,0.0021754089694496757
ramp_improved_adaptive,6,0.003016,1.3752159700036737e-05,-17819.486625433983,18740.889189991332,25928044.0,0.038981281,0.0027634561704356756
ramp_improved_adaptive,7,0.003519,2.2581406800142867e-05,-19775.719179126605,17727.579513297063,30887170.0,0.04641328,0.0033762128151837547
ramp_improved_adaptive,8,0.004022,3.3551342500104386e-05,-24562.6112486388,20588.56217791947,36426844.0,0.054748606,0.003989051488037388
ramp_improved_adaptive,9,0.004524,4.660602410000436e-05,-29517.101981829866,20512.613595518644,42591044.0,0.063977309,0.004551848378834556
ramp_improved_adaptive,10,0.005027,6.099421430011409e-05,-34022.37232060767,27485.309529421833,48103080.0,0.072290227,0.004974718536652317
ramp_improved_adaptive,11,0.00553,7.613143370013842e-05,-37479.15085947506,31307.15529674987,52145188.0,0.078335583,0.005242071234147272
ramp_improved_adaptive,12,0.006032,9.142021600003214e-05,-41360.22681283561,40918.89020249248,54709268.0,0.082227491,0.005407801379857639
ramp_improved_adaptive,13,0.006535,0.00010667343100012605,-46205.840855596354,43911.96932468579,56646372.0,0.085115649,0.0055197031201433535
ramp_improved_adaptive,14,0.007038,0.00012179519000010686,-52634.50029342298,52740.726922261216,58033856.0,0.087246798,0.005604581553512745
ramp_improved_adaptive,15,0.00754,0.00013671801200015876,-60019.22411700831,53947.609952520754,59423508.0,0.089306861,0.005677722430417529
ramp_improved_adaptive,16,0.008043,0.00015149695100011296,-67910.88953962037,62647.03363558946,60916876.0,0.091650248,0.00573780814271417
ramp_improved_adaptive,17,0.008546,0.00016614716900009707,-75670.20711414189,63465.00906262412,62286668.0,0.093582056,0.005789621644392648
ramp_improved_adaptive,18,0.009048,0.00018071497800017933,-83304.5986034221,72795.65019003251,63328752.0,0.095296055,0.005831978989695987
ramp_improved_adaptive,19,0.009551,0.00019529751900004833,-90614.68436483921,73225.07802621508,64373540.0,0.09673357,0.005863719789805092
ramp_improved_adaptive,20,0.010053,0.00020982867800001248,-98135.25375762583,82601.08090321957,65119168.0,0.098015152,0.00589213794075397
ramp_improved_adaptive,21,0.010556,0.00022437778800010744,-105431.12408072993,82009.13397950167,65933944.0,0.099097028,0.00592002200436059
ramp_improved_adaptive,22,0.011059,0.000238914665000034,-113193.37533689794,91090.18773887532,66533616.0,0.10010482,0.005947754358353068
