case,part,time,idp,return_status,region,x,y,z,p_proxy,q_proxy,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,substep_count,trigger_reason,Kplastic,PorePress,PorePressRate,DivVel,velocity,pairwise_reaction_avg
ramp_improved_adaptive,17,0.008546,357,-3,bottom_cap_zone,-8.8624004e-12,0.010001449,-1.0716678e-06,44.18384233333334,69.30510535721075,119.67645,0.8004384,-0.00023996143,0.00054045056,1.9668407e-07,122.0,981.57983,32.0,5.0,0.00054045056,-62141.79849685,-18754720.0,0.028204283,0.00042083635173962956,0.289713
ramp_improved_adaptive,17,0.008546,358,-3,bottom_cap_zone,-6.8398183e-11,0.010000573,0.0099966368,43.182894,68.98454243690357,119.71246,0.8003912,-0.00021320346,0.00050822791,2.5995425e-07,145.0,1136.6302,32.0,5.0,0.00050822791,-54128.67608941,-18137590.0,0.027274651,0.0008638448155493238,0.289713
ramp_improved_adaptive,17,0.008546,368,-3,edge,5.8896e-12,0.02000409,-1.1634901e-06,43.047641666666664,68.8737613196835,119.5713,0.80058032,-0.00031807501,0.00052877539,3.3026205e-07,171.0,1282.8442,32.0,5.0,0.00052877539,-61778.25019524,-18898502.0,0.028415967,0.0009932339106293853,0.289713
ramp_improved_adaptive,17,0.008546,423,-3,bottom_cap_zone,0.010001449,1.3782254e-11,-1.0718155e-06,44.18340233333333,69.30495012329024,119.67644,0.8004384,-0.00023997699,0.00054049573,1.9671739e-07,123.0,981.7533,32.0,5.0,0.00054049573,-62148.36067238,-18747770.0,0.028193871,0.00042080383695593216,0.289713
ramp_improved_adaptive,17,0.008546,424,-3,bottom_cap_zone,0.010000573,8.1080281e-11,0.0099966368,43.161570000000005,68.97709942461618,119.71243,0.80039138,-0.00021323982,0.00050828146,2.8269503e-07,157.0,1187.0575,32.0,5.0,0.00050828146,-54142.48801098,-18154330.0,0.027299855,0.0008641728253931586,0.289713
ramp_improved_adaptive,17,0.008546,435,-3,bottom_cap_zone,0.010000727,0.010000727,0.0099967727,42.900972333333335,68.90334747594007,119.75223,0.80033827,-0.00018368931,0.00043115526,3.4614669e-07,178.0,1299.1313,32.0,5.0,0.00043115526,-54112.99010063,-18577218.0,0.02793522,0.0008674595067578724,0.289713
ramp_improved_adaptive,17,0.008546,489,-3,edge,0.02000409,3.226621e-12,-1.1638168e-06,43.048268,68.87397908560413,119.5713,0.80058032,-0.00031807454,0.00052877795,3.303559e-07,169.0,1283.2257,32.0,5.0,0.00052877795,-61787.96175166,-18890656.0,0.028404202,0.0009932388972520845,0.289713
ramp_improved_adaptive,17,0.008546,511,-3,edge,0.020003976,0.020003976,-2.2904394e-06,29.761397666666664,61.92127865556123,119.22862,0.80105358,-0.00057305361,0.00073880266,1.3904236e-07,102.0,810.60071,32.0,5.0,0.00073880266,-61530.65857489,-18669456.0,0.028050985,0.0014431983196849254,0.289713
ramp_improved_adaptive,17,0.008546,254,-3,lateral_boundary,-0.010002665,-0.020003835,0.069991909,42.62750433333333,68.78635959701646,119.70937,0.80039608,-0.00021552555,0.00060865952,4.300008e-07,194.0,1461.3456,32.0,5.0,0.00060865952,-69152.70275196,-12970227.0,0.019303603,0.0018535994136284122,0.289713
ramp_improved_adaptive,17,0.008546,265,-3,interior,-0.010000222,-0.010000221,0.069993466,42.462865666666666,68.68315710800002,119.61158,0.80052686,-0.00028813942,0.00085424451,3.5673804e-07,174.0,1338.0059,32.0,5.0,0.00085424451,-74133.81442861,-11663938.0,0.017380133,0.0013121621783000895,0.289713
