case,part,time,region,status_-6,status_-5,status_-4,status_-3,status_-2,status_-1,status_0,status_1,status_2
ramp_current_adaptive,2,0.001005,top_cap_zone,0,0,0,0,0,0,10,8,0
ramp_current_adaptive,3,0.001508,edge,0,0,0,0,0,56,0,56,0
ramp_current_adaptive,3,0.001508,lateral_boundary,0,0,0,0,0,0,128,68,0
ramp_current_adaptive,3,0.001508,bottom_cap_zone,0,0,0,0,0,18,0,0,0
ramp_current_adaptive,3,0.001508,interior,0,0,0,0,0,0,0,63,0
ramp_current_adaptive,3,0.001508,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,4,0.002011,edge,0,0,0,0,0,24,0,88,0
ramp_current_adaptive,4,0.002011,lateral_boundary,0,0,0,0,0,0,176,20,0
ramp_current_adaptive,4,0.002011,bottom_cap_zone,0,0,0,0,0,9,0,9,0
ramp_current_adaptive,4,0.002011,interior,0,0,0,0,0,0,54,9,0
ramp_current_adaptive,4,0.002011,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,5,0.002513,edge,0,0,0,4,0,12,0,96,0
ramp_current_adaptive,5,0.002513,lateral_boundary,0,0,0,0,0,0,176,20,0
ramp_current_adaptive,5,0.002513,bottom_cap_zone,0,0,0,0,0,0,5,13,0
ramp_current_adaptive,5,0.002513,interior,0,0,0,0,0,0,54,9,0
ramp_current_adaptive,5,0.002513,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,6,0.003016,edge,0,0,0,4,0,4,0,104,0
ramp_current_adaptive,6,0.003016,lateral_boundary,0,0,0,0,0,0,168,28,0
ramp_current_adaptive,6,0.003016,bottom_cap_zone,0,0,0,0,0,0,10,8,0
ramp_current_adaptive,6,0.003016,interior,0,0,0,4,0,0,54,5,0
ramp_current_adaptive,6,0.003016,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,7,0.003519,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,7,0.003519,lateral_boundary,0,0,0,0,0,0,152,44,0
ramp_current_adaptive,7,0.003519,bottom_cap_zone,0,0,0,0,0,0,9,9,0
ramp_current_adaptive,7,0.003519,interior,0,0,0,0,0,0,45,18,0
ramp_current_adaptive,7,0.003519,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,8,0.004022,edge,0,0,0,8,0,0,0,104,0
ramp_current_adaptive,8,0.004022,lateral_boundary,0,0,0,4,0,0,140,52,0
ramp_current_adaptive,8,0.004022,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,8,0.004022,interior,0,0,0,0,0,0,45,18,0
ramp_current_adaptive,8,0.004022,top_cap_zone,0,0,0,4,0,0,0,14,0
ramp_current_adaptive,9,0.004524,edge,0,0,0,0,0,0,0,112,0
ramp_current_adaptive,9,0.004524,lateral_boundary,0,0,0,0,0,0,108,88,0
ramp_current_adaptive,9,0.004524,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,9,0.004524,interior,0,0,0,0,0,0,37,26,0
ramp_current_adaptive,9,0.004524,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,10,0.005027,edge,0,0,0,8,0,0,0,104,0
ramp_current_adaptive,10,0.005027,lateral_boundary,0,0,0,0,0,0,72,124,0
ramp_current_adaptive,10,0.005027,bottom_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,10,0.005027,interior,0,0,0,0,0,0,20,43,0
ramp_current_adaptive,10,0.005027,top_cap_zone,0,0,0,0,0,0,0,18,0
