case,time,status,count
ramp_current_adaptive,0.006032,-4,0
ramp_current_adaptive,0.006032,-3,0
ramp_current_adaptive,0.006032,-2,0
ramp_current_adaptive,0.006032,-1,0
ramp_current_adaptive,0.006032,0,26
ramp_current_adaptive,0.006032,1,381
ramp_current_adaptive,0.006032,2,0
ramp_current_adaptive,0.006535,-6,0
ramp_current_adaptive,0.006535,-5,0
ramp_current_adaptive,0.006535,-4,0
ramp_current_adaptive,0.006535,-3,5
ramp_current_adaptive,0.006535,-2,0
ramp_current_adaptive,0.006535,-1,0
ramp_current_adaptive,0.006535,0,0
ramp_current_adaptive,0.006535,1,402
ramp_current_adaptive,0.006535,2,0
ramp_current_adaptive,0.007038,-6,0
ramp_current_adaptive,0.007038,-5,0
ramp_current_adaptive,0.007038,-4,0
ramp_current_adaptive,0.007038,-3,0
ramp_current_adaptive,0.007038,-2,0
ramp_current_adaptive,0.007038,-1,0
ramp_current_adaptive,0.007038,0,0
ramp_current_adaptive,0.007038,1,407
ramp_current_adaptive,0.007038,2,0
ramp_current_adaptive,0.00754,-6,0
ramp_current_adaptive,0.00754,-5,0
ramp_current_adaptive,0.00754,-4,0
ramp_current_adaptive,0.00754,-3,4
ramp_current_adaptive,0.00754,-2,0
ramp_current_adaptive,0.00754,-1,0
ramp_current_adaptive,0.00754,0,0
ramp_current_adaptive,0.00754,1,399
ramp_current_adaptive,0.00754,2,4
ramp_current_adaptive,0.008043,-6,0
ramp_current_adaptive,0.008043,-5,0
ramp_current_adaptive,0.008043,-4,0
ramp_current_adaptive,0.008043,-3,8
ramp_current_adaptive,0.008043,-2,0
ramp_current_adaptive,0.008043,-1,0
ramp_current_adaptive,0.008043,0,1
ramp_current_adaptive,0.008043,1,398
ramp_current_adaptive,0.008043,2,0
ramp_current_adaptive,0.008546,-6,0
ramp_current_adaptive,0.008546,-5,0
ramp_current_adaptive,0.008546,-4,0
ramp_current_adaptive,0.008546,-3,16
ramp_current_adaptive,0.008546,-2,0
ramp_current_adaptive,0.008546,-1,0
ramp_current_adaptive,0.008546,0,1
ramp_current_adaptive,0.008546,1,390
ramp_current_adaptive,0.008546,2,0
ramp_current_adaptive,0.009048,-6,0
ramp_current_adaptive,0.009048,-5,0
ramp_current_adaptive,0.009048,-4,0
ramp_current_adaptive,0.009048,-3,16
ramp_current_adaptive,0.009048,-2,0
ramp_current_adaptive,0.009048,-1,0
ramp_current_adaptive,0.009048,0,2
ramp_current_adaptive,0.009048,1,389
ramp_current_adaptive,0.009048,2,0
ramp_current_adaptive,0.009551,-6,0
ramp_current_adaptive,0.009551,-5,0
ramp_current_adaptive,0.009551,-4,0
ramp_current_adaptive,0.009551,-3,4
ramp_current_adaptive,0.009551,-2,0
ramp_current_adaptive,0.009551,-1,0
ramp_current_adaptive,0.009551,0,6
ramp_current_adaptive,0.009551,1,397
ramp_current_adaptive,0.009551,2,0
ramp_current_adaptive,0.010053,-6,0
ramp_current_adaptive,0.010053,-5,0
ramp_current_adaptive,0.010053,-4,0
ramp_current_adaptive,0.010053,-3,12
ramp_current_adaptive,0.010053,-2,0
ramp_current_adaptive,0.010053,-1,0
ramp_current_adaptive,0.010053,0,6
ramp_current_adaptive,0.010053,1,388
ramp_current_adaptive,0.010053,2,1
ramp_current_adaptive,0.010556,-6,0
ramp_current_adaptive,0.010556,-5,0
ramp_current_adaptive,0.010556,-4,0
ramp_current_adaptive,0.010556,-3,12
ramp_current_adaptive,0.010556,-2,0
ramp_current_adaptive,0.010556,-1,0
ramp_current_adaptive,0.010556,0,6
ramp_current_adaptive,0.010556,1,389
ramp_current_adaptive,0.010556,2,0
ramp_current_adaptive,0.011059,-6,0
ramp_current_adaptive,0.011059,-5,0
ramp_current_adaptive,0.011059,-4,0
ramp_current_adaptive,0.011059,-3,5
ramp_current_adaptive,0.011059,-2,0
ramp_current_adaptive,0.011059,-1,0
ramp_current_adaptive,0.011059,0,6
ramp_current_adaptive,0.011059,1,396
ramp_current_adaptive,0.011059,2,0
ramp_current_adaptive,0.011561,-6,0
ramp_current_adaptive,0.011561,-5,0
ramp_current_adaptive,0.011561,-4,0
ramp_current_adaptive,0.011561,-3,5
ramp_current_adaptive,0.011561,-2,0
ramp_current_adaptive,0.011561,-1,0
ramp_current_adaptive,0.011561,0,2
ramp_current_adaptive,0.011561,1,400
ramp_current_adaptive,0.011561,2,0
ramp_current_adaptive,0.012064,-6,0
ramp_current_adaptive,0.012064,-5,0
ramp_current_adaptive,0.012064,-4,0
ramp_current_adaptive,0.012064,-3,13
ramp_current_adaptive,0.012064,-2,0
ramp_current_adaptive,0.012064,-1,4
ramp_current_adaptive,0.012064,0,2
ramp_current_adaptive,0.012064,1,388
ramp_current_adaptive,0.012064,2,0
ramp_current_adaptive,0.012567,-6,0
ramp_current_adaptive,0.012567,-5,0
ramp_current_adaptive,0.012567,-4,0
ramp_current_adaptive,0.012567,-3,5
ramp_current_adaptive,0.012567,-2,0
ramp_current_adaptive,0.012567,-1,4
ramp_current_adaptive,0.012567,0,2
ramp_current_adaptive,0.012567,1,396
ramp_current_adaptive,0.012567,2,0
ramp_current_adaptive,0.013069,-6,0
ramp_current_adaptive,0.013069,-5,0
ramp_current_adaptive,0.013069,-4,0
ramp_current_adaptive,0.013069,-3,9
ramp_current_adaptive,0.013069,-2,0
ramp_current_adaptive,0.013069,-1,4
ramp_current_adaptive,0.013069,0,2
ramp_current_adaptive,0.013069,1,392
ramp_current_adaptive,0.013069,2,0
ramp_current_adaptive,0.013572,-6,0
ramp_current_adaptive,0.013572,-5,0
ramp_current_adaptive,0.013572,-4,0
ramp_current_adaptive,0.013572,-3,5
ramp_current_adaptive,0.013572,-2,0
ramp_current_adaptive,0.013572,-1,4
ramp_current_adaptive,0.013572,0,2
ramp_current_adaptive,0.013572,1,396
ramp_current_adaptive,0.013572,2,0
ramp_current_adaptive,0.014075,-6,0
ramp_current_adaptive,0.014075,-5,0
ramp_current_adaptive,0.014075,-4,0
ramp_current_adaptive,0.014075,-3,5
ramp_current_adaptive,0.014075,-2,0
ramp_current_adaptive,0.014075,-1,4
ramp_current_adaptive,0.014075,0,2
ramp_current_adaptive,0.014075,1,396
ramp_current_adaptive,0.014075,2,0
ramp_current_adaptive,0.014577,-6,0
ramp_current_adaptive,0.014577,-5,0
ramp_current_adaptive,0.014577,-4,0
ramp_current_adaptive,0.014577,-3,5
ramp_current_adaptive,0.014577,-2,0
ramp_current_adaptive,0.014577,-1,4
ramp_current_adaptive,0.014577,0,2
ramp_current_adaptive,0.014577,1,396
ramp_current_adaptive,0.014577,2,0
ramp_current_adaptive,0.01508,-6,0
ramp_current_adaptive,0.01508,-5,0
ramp_current_adaptive,0.01508,-4,0
ramp_current_adaptive,0.01508,-3,5
ramp_current_adaptive,0.01508,-2,0
ramp_current_adaptive,0.01508,-1,4
ramp_current_adaptive,0.01508,0,2
ramp_current_adaptive,0.01508,1,396
ramp_current_adaptive,0.01508,2,0
ramp_current_adaptive,0.015583,-6,0
ramp_current_adaptive,0.015583,-5,0
ramp_current_adaptive,0.015583,-4,0
ramp_current_adaptive,0.015583,-3,9
ramp_current_adaptive,0.015583,-2,0
ramp_current_adaptive,0.015583,-1,4
ramp_current_adaptive,0.015583,0,2
ramp_current_adaptive,0.015583,1,392
ramp_current_adaptive,0.015583,2,0
ramp_current_adaptive,0.016085,-6,0
ramp_current_adaptive,0.016085,-5,0
ramp_current_adaptive,0.016085,-4,0
ramp_current_adaptive,0.016085,-3,9
ramp_current_adaptive,0.016085,-2,0
ramp_current_adaptive,0.016085,-1,4
ramp_current_adaptive,0.016085,0,2
ramp_current_adaptive,0.016085,1,392
ramp_current_adaptive,0.016085,2,0
ramp_current_adaptive,0.016588,-6,0
ramp_current_adaptive,0.016588,-5,0
ramp_current_adaptive,0.016588,-4,0
ramp_current_adaptive,0.016588,-3,5
ramp_current_adaptive,0.016588,-2,0
ramp_current_adaptive,0.016588,-1,4
ramp_current_adaptive,0.016588,0,2
ramp_current_adaptive,0.016588,1,396
ramp_current_adaptive,0.016588,2,0
ramp_current_adaptive,0.01709,-6,0
ramp_current_adaptive,0.01709,-5,0
ramp_current_adaptive,0.01709,-4,0
ramp_current_adaptive,0.01709,-3,9
ramp_current_adaptive,0.01709,-2,0
ramp_current_adaptive,0.01709,-1,4
ramp_current_adaptive,0.01709,0,2
ramp_current_adaptive,0.01709,1,392
ramp_current_adaptive,0.01709,2,0
ramp_current_adaptive,0.017593,-6,0
ramp_current_adaptive,0.017593,-5,0
ramp_current_adaptive,0.017593,-4,0
ramp_current_adaptive,0.017593,-3,6
ramp_current_adaptive,0.017593,-2,0
ramp_current_adaptive,0.017593,-1,4
ramp_current_adaptive,0.017593,0,2
ramp_current_adaptive,0.017593,1,395
ramp_current_adaptive,0.017593,2,0
ramp_current_adaptive,0.018096,-6,0
ramp_current_adaptive,0.018096,-5,0
ramp_current_adaptive,0.018096,-4,0
ramp_current_adaptive,0.018096,-3,5
ramp_current_adaptive,0.018096,-2,0
ramp_current_adaptive,0.018096,-1,4
ramp_current_adaptive,0.018096,0,2
ramp_current_adaptive,0.018096,1,392
ramp_current_adaptive,0.018096,2,4
ramp_current_adaptive,0.018598,-6,0
ramp_current_adaptive,0.018598,-5,0
ramp_current_adaptive,0.018598,-4,0
ramp_current_adaptive,0.018598,-3,7
ramp_current_adaptive,0.018598,-2,0
ramp_current_adaptive,0.018598,-1,4
ramp_current_adaptive,0.018598,0,2
ramp_current_adaptive,0.018598,1,394
ramp_current_adaptive,0.018598,2,0
ramp_current_adaptive,0.019,-6,0
ramp_current_adaptive,0.019,-5,0
ramp_current_adaptive,0.019,-4,0
ramp_current_adaptive,0.019,-3,4
ramp_current_adaptive,0.019,-2,0
ramp_current_adaptive,0.019,-1,4
ramp_current_adaptive,0.019,0,2
ramp_current_adaptive,0.019,1,396
ramp_current_adaptive,0.019,2,1
ramp_current_adaptive,0.019503,-6,0
ramp_current_adaptive,0.019503,-5,0
ramp_current_adaptive,0.019503,-4,0
ramp_current_adaptive,0.019503,-3,5
ramp_current_adaptive,0.019503,-2,0
ramp_current_adaptive,0.019503,-1,4
ramp_current_adaptive,0.019503,0,2
ramp_current_adaptive,0.019503,1,396
ramp_current_adaptive,0.019503,2,0
ramp_current_adaptive,0.020006,-6,0
ramp_current_adaptive,0.020006,-5,0
ramp_current_adaptive,0.020006,-4,0
ramp_current_adaptive,0.020006,-3,5
ramp_current_adaptive,0.020006,-2,0
ramp_current_adaptive,0.020006,-1,4
ramp_current_adaptive,0.020006,0,2
ramp_current_adaptive,0.020006,1,396
ramp_current_adaptive,0.020006,2,0
improved_adaptive,0.0,-6,0
improved_adaptive,0.0,-5,0
improved_adaptive,0.0,-4,0
improved_adaptive,0.0,-3,0
improved_adaptive,0.0,-2,0
improved_adaptive,0.0,-1,0
improved_adaptive,0.0,0,407
improved_adaptive,0.0,1,0
improved_adaptive,0.0,2,0
improved_adaptive,0.000503,-6,0
improved_adaptive,0.000503,-5,0
improved_adaptive,0.000503,-4,0
improved_adaptive,0.000503,-3,0
improved_adaptive,0.000503,-2,0
improved_adaptive,0.000503,-1,0
improved_adaptive,0.000503,0,407
improved_adaptive,0.000503,1,0
improved_adaptive,0.000503,2,0
improved_adaptive,0.001005,-6,0
improved_adaptive,0.001005,-5,0
improved_adaptive,0.001005,-4,0
improved_adaptive,0.001005,-3,4
improved_adaptive,0.001005,-2,0
improved_adaptive,0.001005,-1,92
improved_adaptive,0.001005,0,161
improved_adaptive,0.001005,1,0
improved_adaptive,0.001005,2,150
improved_adaptive,0.001508,-6,0
improved_adaptive,0.001508,-5,0
improved_adaptive,0.001508,-4,0
improved_adaptive,0.001508,-3,18
improved_adaptive,0.001508,-2,0
improved_adaptive,0.001508,-1,74
improved_adaptive,0.001508,0,144
improved_adaptive,0.001508,1,0
improved_adaptive,0.001508,2,171
improved_adaptive,0.002011,-6,0
improved_adaptive,0.002011,-5,0
improved_adaptive,0.002011,-4,0
improved_adaptive,0.002011,-3,38
improved_adaptive,0.002011,-2,0
improved_adaptive,0.002011,-1,33
improved_adaptive,0.002011,0,184
improved_adaptive,0.002011,1,0
improved_adaptive,0.002011,2,152
improved_adaptive,0.002513,-6,0
improved_adaptive,0.002513,-5,0
improved_adaptive,0.002513,-4,0
improved_adaptive,0.002513,-3,51
improved_adaptive,0.002513,-2,0
improved_adaptive,0.002513,-1,8
improved_adaptive,0.002513,0,169
improved_adaptive,0.002513,1,0
improved_adaptive,0.002513,2,179
improved_adaptive,0.003016,-6,0
improved_adaptive,0.003016,-5,0
improved_adaptive,0.003016,-4,0
improved_adaptive,0.003016,-3,46
improved_adaptive,0.003016,-2,0
improved_adaptive,0.003016,-1,0
improved_adaptive,0.003016,0,162
improved_adaptive,0.003016,1,0
improved_adaptive,0.003016,2,199
improved_adaptive,0.003519,-6,0
improved_adaptive,0.003519,-5,0
improved_adaptive,0.003519,-4,0
improved_adaptive,0.003519,-3,74
improved_adaptive,0.003519,-2,0
improved_adaptive,0.003519,-1,0
