case,part,time,axial_strain,MccPc_mean,MccPc_min,MccPc_max,MccVoidRatio_mean,MccPlasticVolStrain_mean,MccEqPlasticStrain_mean,Kplastic_max
improved_adaptive,9,0.004524,9.618558910004515e-05,119.68470019656026,115.53073,121.74509,0.8004294527272718,-0.00023588740118928733,0.0008173449831174447,0.0066396231
improved_adaptive,10,0.005027,0.00011130343600007642,119.5588137346436,114.32285,121.74509,0.8006009215233418,-0.0003308162192810713,0.0009975718998372482,0.0079604918
improved_adaptive,11,0.005529,0.0001263094450000557,119.42467732186735,113.28117,121.74509,0.8007825804913997,-0.00043245269285923835,0.0011848388784923836,0.0091013163
improved_adaptive,12,0.006032,0.0001412752890000979,119.30532346437354,112.30975,121.65957,0.8009445373464377,-0.0005231921267398032,0.001357238404722359,0.010162121
improved_adaptive,13,0.006535,0.0001560961410000672,119.19295459459461,112.30975,121.62283,0.8010985454299749,-0.0006088455845990174,0.0015230406049164614,0.010162121
improved_adaptive,14,0.007037,0.00017081343700015017,119.07426289926289,111.31374,121.41866,0.8012634808353803,-0.0006997080390201473,0.0016971225565995092,0.010663279
improved_adaptive,15,0.00754,0.00018548769300005818,118.9527502702702,110.23532,121.21317,0.801433623710074,-0.0007931069735454539,0.0018765852328058966,0.011847508
improved_adaptive,16,0.008043,0.00020007336100011375,118.83098152334155,109.16631,121.06065,0.801604706265357,-0.0008871560810761667,0.0020566419114889426,0.013032723
improved_adaptive,17,0.008545,0.00021457940799995967,118.70745980343975,108.10583,121.06065,0.801778335061426,-0.0009829987687223589,0.0022390720230515966,0.01421904
improved_adaptive,18,0.009048,0.00022911756299995312,118.58315931203926,107.05309,121.06065,0.8019532707616698,-0.0010799022116584774,0.0024228740672211295,0.01540649
improved_adaptive,19,0.00955,0.00024359033700002697,118.45947371007367,106.0078,121.06065,0.8021281058722355,-0.0011768252180761676,0.0026061389835208846,0.016594896
improved_adaptive,20,0.010053,0.0002580727650000614,118.33647068796071,104.97023,121.06065,0.8023031413022118,-0.001273680774309582,0.002789430090724817,0.017784037
improved_adaptive,21,0.010556,0.00027249737300005794,118.21869894348892,103.9407,120.99964,0.8024721464373471,-0.0013669424432702706,0.0029656132129484035,0.018973716
improved_adaptive,22,0.011058,0.0002869201080001049,118.11378167076168,103.54089,120.9082,0.802622256855037,-0.0014496687103366089,0.0031285721764889446,0.019439336
improved_adaptive,23,0.011561,0.00030127306200000703,118.01479196560184,103.54089,120.79481,0.8027639458230958,-0.0015277409384545455,0.003284095014449634,0.019439336
improved_adaptive,24,0.012064,0.0003156431870000864,117.91379326781342,103.54089,120.70075,0.8029087839557736,-0.0016076229852506141,0.003443881519683047,0.019439336
