case,xi,TimeMax,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,7,0.07,0.002667544400000004,0.002162352971270637,-0.00019033478399999875,51.31397587286,25820.28047952,14224.51691642065,51.313951799999906,9761.165014599,4906.86718394655,0.0,16062.3211818,9317.649500985912,16062.3211818,25771.285536478994,9712.1700717525,16059.115048870002,-0.011343593496349058,0.0,5913671.133333334,122706602.60550462,122715130.0,9.894204100000215
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,8,0.08,0.002642273,0.002118449400738988,-0.0002117417469999999,51.57442386465,25605.84246929,14162.54453806672,51.5742110999996,9761.178659328,4907.077186253589,0.0,15847.6266483,9255.467147245503,15847.6266483,25556.850459653004,9712.186652124,15844.663391329994,-0.011180011506439769,0.0,5532336.733333334,120760934.23173635,120773150.0,9.915619900000046
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,9,0.09,0.002617476700000002,0.002077201614259344,-0.00023273655400000284,51.83257889171,25393.97283203,14095.512148517082,51.832606499999734,9761.191536915001,4907.283145310228,0.0,15635.6232203,9188.228816939763,15635.6232203,25344.983518922494,9712.202224027498,15632.78087682,-0.009652283999457723,0.0,5214600.533333334,122924709.61399934,122900100.0,9.803723300000172
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,10,0.1,0.0026069474000001125,0.0020453848145467923,-0.0002533864029999991,52.0891698248,25210.0184804,14038.264738542153,52.0893342000002,9761.203939698,4907.4857203289375,0.0,15451.45676892,9130.778813837122,15451.45676892,25161.031681491004,9712.217139642,15448.8141256,-0.009916303997670184,0.0,4944337.2,120441282.2582399,120471730.0,9.87367060000005
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,11,0.11,0.0025935848,0.0020153908203403856,-0.00027370802249999606,52.34416794512,25024.1285269,13973.533965389715,52.344296100000506,9761.215857867,4907.685075416225,0.0,15265.46925122,9065.8486837961,15265.46925122,24975.1441004955,9712.231431585747,15262.912254010002,-0.008867967497280915,0.0,4754267.333333334,122538399.89874278,122558060.0,9.770883600000099
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,12,0.12,0.0025799668000000137,0.001987872577942324,-0.0002937052754999986,52.59760743678,24839.25711146,13905.851127168298,52.597492199999564,9761.22712269,4907.881248468151,0.0,15080.48414698,8997.96965732258,15080.48414698,24790.274940543994,9712.24495221825,15078.02957173,-0.009137435499724234,0.0,4518116.2,120086498.73462453,120077910.0,9.826258700000038
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,13,0.13,0.0025678808000000317,0.0019594083653185386,-0.00031341624650000027,52.84979318967,24670.33012469,13843.773039571923,52.85009970000002,9761.237940177,4908.074613093647,0.0,14911.52508928,8935.698223458658,14911.52508928,24621.3500796605,9712.257897003747,14909.091767180007,-0.007850416994187981,0.0,4399662.866666667,123575543.51817873,123588340.0,9.681276300000036
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,14,0.14,0.002551732600000011,0.0019283858826733666,-0.00033287314230000156,53.10103176375,24511.00261314,13783.941990198284,53.10094140000032,9761.248474155,4908.265485241467,0.0,14751.96860248,8875.67627627917,14751.96860248,24462.0246161575,9712.270479702152,14749.753720359997,-0.008136397009366192,0.0,4185116.2000000007,119766548.2840639,119783780.0,9.798509600000004
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,15,0.15,0.0025456084000000027,0.001909697721283571,-0.0003520659537999992,53.35094520457,24344.8538997,13715.466035364163,53.35119449999984,9761.258770731,4908.453766722305,0.0,14585.96466278,8807.012067440857,14585.96466278,24295.877797083504,9712.282667400901,14583.594713670003,-0.019978112995886477,0.0,4118568.866666667,118856071.56846756,118854170.0,9.7799778
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,16,0.16,0.0025289161000000026,0.0018787398820686088,-0.00037104317169999666,53.60018166891,24200.87680327,13658.83373427478,53.60027039999998,9761.268884841,4908.639933229848,0.0,14441.68430887,8750.193612250327,14441.68430887,24151.9025062925,9712.294588954352,14439.607502039993,-0.00771292650642863,0.0,3931925.3333333335,119602621.22324161,119620460.0,9.755251900000015
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,17,0.17,0.0025204276000000423,0.0018594038376088166,-0.0003897241296999948,53.84769064095,24044.1682403,13590.56375791968,53.84758049999996,9761.278486869,4908.823193427873,0.0,14285.10599523,8681.740344815302,14285.10599523,23995.1955737025,9712.30582336635,14282.889334479993,-0.018440641009874525,0.0,3896441.3333333335,118380638.44512405,118377930.0,9.740700700000014
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,18,0.18,0.0025127311000000315,0.001839122616682296,-0.000408227369400001,54.09463453441,23902.36842786,13530.254478429317,54.09430200000024,9761.288047695,4909.004710209296,0.0,14143.06578493,8621.249541697156,14143.06578493,23853.397356740497,9712.316977189197,14141.079963920001,-0.007571669499156997,0.0,3685013.0666666673,119387792.4084268,119398900.0,9.694185300000168
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,19,0.19,0.002500017600000049,0.0018173291326553525,-0.0004264934452000035,54.34027424384,23761.63757844,13466.942513156691,54.34053300000024,9761.297262228,4909.183900412939,0.0,14002.26905181,8557.758407674211,14002.26905181,23712.668022452497,9712.327707759601,14000.339899210001,-0.007806648500263691,0.0,3674076.866666667,117927567.33061503,117925500.0,9.694495200000008
Case1DConsolidation_PR_SW3D_Xi0p10_T0p20,0.10,0.2,20,0.2,0.00249329420000004,0.0018009267059186272,-0.0004445869567000014,54.5851928384,23621.25140671,13403.310160198913,54.584900099999594,9761.306448312,4909.361397760738,0.0,13861.88496728,8493.948562935168,13861.88496728,23572.2833360915,9712.338380303852,13859.944540680004,-0.007320263994188281,0.0,3618306.466666667,118727226.72443086,118730300.0,9.640572500000074
