reference,line,bottom_layer_mean_reference,scale,window_start,window_end,n,rmse,mae,max_abs,relative_rmse
eq4,gpu_mode0_xi005_g9b,False,1.0125,0.002,0.5,5,599.3444037935942,599.269947746738,614.7257289202353,0.04290139435918324
eq4,gpu_mode0_xi005_g9b,False,1.0150000000000001,0.002,0.5,5,591.3860776096755,591.3220798443159,604.117473502447,0.04235489159207008
eq4,gpu_mode0_xi005_g9b,False,1.0175,0.002,0.5,5,583.4447176517883,583.384069749531,593.5225900135974,0.04180897600992857
eq4,gpu_mode0_xi005_g9b,False,1.02,0.002,0.5,5,575.5205545773847,575.4558822555958,588.0488155498115,0.041263666406624024
eq4,gpu_mode0_xi005_g9b,False,1.0225,0.002,0.5,5,567.6138332391342,567.5374823814324,583.3522715002346,0.040718982626640796
eq4,gpu_mode0_xi005_g9b,False,1.025,0.002,0.5,5,559.724813588357,559.6288353697397,578.6614654579844,0.04017494563272148
eq4,gpu_mode0_xi005_g9b,False,1.0275,0.002,0.5,5,551.8537716481993,551.729906685109,573.9763764430481,0.03963157757872483
eq4,gpu_mode0_xi005_g9b,False,1.03,0.002,0.5,5,544.0010005627049,543.8406620121696,569.2969836029752,0.03908890188816341
eq4,gpu_mode0_xi005_g9b,False,1.0325,0.002,0.5,5,536.1668117285117,535.9610672537179,564.6232662117563,0.038546943338925714
eq4,gpu_mode0_xi005_g9b,False,1.0350000000000001,0.002,0.5,5,528.3515360167074,528.0910885289079,559.9552036687764,0.03800572815474682
eq4,gpu_mode0_xi005_g9b,False,1.0375,0.002,0.5,5,520.5555250929822,520.2306921714302,555.29277549773,0.03746528410403798
eq4,gpu_mode0_xi005_g9b,False,1.04,0.002,0.5,5,512.779152845159,512.3798447277237,550.6359613456061,0.036925640606755794
eq4,gpu_mode0_xi005_g9b,False,1.0425,0.002,0.5,5,505.0228169280602,504.53851295520656,545.9847409816339,0.03638682885005746
eq4,gpu_mode0_xi005_g9b,False,1.045,0.002,0.5,5,497.28694043668946,496.70666382051496,541.3390942962415,0.035848881913565715
eq4,gpu_mode0_xi005_g9b,False,1.0474999999999999,0.002,0.5,5,489.57197371990407,488.88426449778234,536.6990013000777,0.03531183490515632
eq4,gpu_mode0_xi005_g9b,False,1.05,0.002,0.5,5,481.87839634793056,481.0712823669073,532.0644421229754,0.034775725108269935
eq4,gpu_mode0_xi005_g9b,False,1.0525,0.002,0.5,5,474.20671924860403,473.26768501186564,527.4353970129832,0.03424059214186471
eq4,gpu_mode0_xi005_g9b,False,1.055,0.002,0.5,5,466.5574870286776,465.47344021902137,522.8118463353621,0.03370647813423623
eq4,gpu_mode0_xi005_g9b,False,1.0575,0.002,0.5,5,458.93128049838003,457.68851597547183,518.1937705716282,0.03317342791206922
eq4,gpu_mode0_xi005_g9b,False,1.06,0.002,0.5,5,451.32871941927544,449.9128804673892,513.5811503185923,0.03264148920622641
