reference,time,y,z,z_norm,excess
eq4_nominal_cv,0.5,0.356400000036,0.36139999993599997,0.36,9844.241254265808
eq4_nominal_cv,0.5,0.366300000037,0.37129999993699997,0.37,9740.93645815147
eq4_nominal_cv,0.5,0.37620000003799997,0.38119999993799997,0.37999999999999995,9635.25698515153
eq4_nominal_cv,0.5,0.38610000003899997,0.39109999993899996,0.38999999999999996,9527.236462657696
eq4_nominal_cv,0.5,0.39600000003999997,0.40099999993999996,0.39999999999999997,9416.909012280257
eq4_nominal_cv,0.5,0.40590000004099996,0.41089999994099996,0.41,9304.309224819794
eq4_nominal_cv,0.5,0.41580000004199996,0.42079999994199996,0.42,9189.472135362515
eq4_nominal_cv,0.5,0.42570000004299996,0.43069999994299996,0.42999999999999994,9072.433198541841
eq4_nominal_cv,0.5,0.43560000004399996,0.44059999994399995,0.43999999999999995,8953.228264007912
eq4_nominal_cv,0.5,0.44550000004499996,0.45049999994499995,0.44999999999999996,8831.89355214605
eq4_nominal_cv,0.5,0.45540000004599995,0.46039999994599995,0.45999999999999996,8708.4656300841
eq4_nominal_cv,0.5,0.46530000004699995,0.47029999994699995,0.47,8582.981388027669
eq4_nominal_cv,0.5,0.475200000048,0.480199999948,0.48,8455.478015961105
eq4_nominal_cv,0.5,0.485100000049,0.490099999949,0.49,8325.992980750922
eq4_nominal_cv,0.5,0.49500000005,0.49999999995,0.5,8194.564003687108
eq4_nominal_cv,0.5,0.504900000051,0.509899999951,0.51,8061.229038496459
eq4_nominal_cv,0.5,0.514800000052,0.519799999952,0.52,7926.026249860619
eq4_nominal_cv,0.5,0.524700000053,0.529699999953,0.53,7788.993992470146
eq4_nominal_cv,0.5,0.534600000054,0.539599999954,0.54,7650.1707906443335
eq4_nominal_cv,0.5,0.544500000055,0.549499999955,0.5499999999999999,7509.595318545002
eq4_nominal_cv,0.5,0.554400000056,0.559399999956,0.5599999999999999,7367.306381010801
eq4_nominal_cv,0.5,0.564300000057,0.569299999957,0.57,7223.342895036952
eq4_nominal_cv,0.5,0.574200000058,0.579199999958,0.58,7077.743871923607
eq4_nominal_cv,0.5,0.584100000059,0.589099999959,0.59,6930.548400114242
eq4_nominal_cv,0.5,0.59400000006,0.59899999996,0.6,6781.795628743785
eq4_nominal_cv,0.5,0.603900000061,0.608899999961,0.61,6631.524751914244
eq4_nominal_cv,0.5,0.613800000062,0.618799999962,0.62,6479.774993713883
eq4_nominal_cv,0.5,0.623700000063,0.628699999963,0.63,6326.585593994022
eq4_nominal_cv,0.5,0.633600000064,0.638599999964,0.64,6171.995794915724
eq4_nominal_cv,0.5,0.643500000065,0.648499999965,0.6499999999999999,6016.044828276686
eq4_nominal_cv,0.5,0.653400000066,0.658399999966,0.6599999999999999,5858.771903626781
eq4_nominal_cv,0.5,0.663300000067,0.668299999967,0.6699999999999999,5700.216197178733
eq4_nominal_cv,0.5,0.673200000068,0.678199999968,0.6799999999999999,5540.41684151856
eq4_nominal_cv,0.5,0.683100000069,0.688099999969,0.69,5379.412916118427
eq4_nominal_cv,0.5,0.69300000007,0.69799999997,0.7,5217.2434386527075
eq4_nominal_cv,0.5,0.702900000071,0.707899999971,0.71,5053.947357116159
