analytical_excess_fit,analytical_excess_q0,analytical_total_fit,analytical_total_q0,depth_from_top_m,eta_depth,run,sim_excess,sim_porepress,time_s,z_m
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
483131.98357059585,10009.042714712792,491864.1033459958,18741.162490112794,0.8901243400000001,0.898989985141528,cpu,0.0,8779.950375557,0.0,0.105
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482217.7642702771,9990.10283836704,490851.7840456771,18624.12261376704,0.8801243400000001,0.8888903850660876,cpu,0.0,8681.850371361,0.0,0.115
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
482331.4747763208,9992.458578311416,490867.3945517208,18528.378353711414,0.87012434,0.8787907849906473,cpu,0.0,8583.750367165,0.0,0.125
