case,xi,TimeMax,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,18,0.09,0.002683352400000007,0.00212483417729873,-0.0002379355669999995,51.90096112374,25708.60353719,14292.723130689934,51.901080299999634,9761.194423998,4907.334147627772,0.0,15950.27814023,9385.388798061833,15950.27814023,25659.615272928502,9712.206164214002,15947.408693759997,-0.009806757003389066,0.0,5262947.333333334,125709779.52633367,125698880.0,10.02719900000015
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,19,0.095,0.0026661151000000167,0.0020996435762410007,-0.0002484902360000012,52.03216208644,25603.91539259,14257.467970340773,52.03204379999986,9761.200736733,4907.437688930661,0.0,15845.64682063,9350.03005540713,15845.64682063,25554.928411126,9712.213756663501,15842.714238129998,-0.024592329504230293,0.0,5129580.066666667,122676725.74515802,122583400.0,10.100408000000009
Case1DConsolidation_PR_SW3C_Xi0p05_T0p10,0.05,0.10,20,0.1,0.00266773460000001,0.0020898789873166003,-0.00025897975300000106,52.16308792597,25513.3361466,14228.981047126335,52.16300730000009,9761.206986684,4907.54059109243,0.0,15754.80507196,9321.440271018446,15754.80507196,25464.3504366165,9712.221279461999,15752.12874368,-0.010143508503460907,0.0,5008832.533333334,123078258.388719,123089220.0,10.093354000000026
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,9711.9004154205,9711.900000490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,1,0.005,0.001971761500000054,0.0010414637230952608,-3.885665499999868e-05,49.6004647545,37222.72975911,20639.740456619078,49.60014480000018,9761.025170105999,4905.381183501025,0.0,27471.09052241,15734.359071759058,27471.09052241,37173.700807368004,9711.996224328,27461.70417009001,0.08265822200701223,0.0,21432141.333333336,277245349.62351346,279374560.0,21.617203000000075
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,2,0.01,0.007752642000000001,0.005075152107160008,-4.722658799999981e-05,49.63329779243,28682.52266904,15229.018291801209,49.63349880000005,9761.044410459,4905.463292543782,0.0,18930.31296015,10323.554777654852,18930.31296015,28633.498218868997,9712.0199659995,18921.477840950007,-0.09186393099298584,0.0,19329954.000000004,156760514.9663609,176090450.0,11.540732000000077
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,3,0.015,0.0028376577,0.0024796691194800004,-6.028477299999911e-05,49.78181350008,26054.56514598,13664.407290290677,49.78202220000029,9761.060582244,4905.591393338644,0.0,16299.96313617,8758.81568826898,16299.96313617,26005.5451487865,9712.040589072,16293.50414474,-0.02332060049775464,0.0,12181719.333333336,108099414.5259939,109281850.0,9.159393300000001
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,4,0.02,0.0026891064000000046,0.002340876294820001,-7.448338400000291e-05,49.95351580515,27583.43858529,14737.644311547738,49.95330480000053,9761.074866585,4905.730681712536,0.0,17828.83646026,9831.913405183996,17828.83646026,27534.422297693498,9712.058581102498,17822.363299459998,-0.046863632000167854,0.0,10857348.666666668,129439570.02038738,127302370.0,10.69382000000001
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,5,0.025,0.0031265353000000003,0.002591850332840002,-8.690222300000159e-05,50.09364296792,27169.65837052,14567.925307068188,50.09368590000016,9761.086784754001,4905.852510523131,0.0,17413.94820679,9662.072574089856,17413.94820679,27120.645068586502,9712.073482002,17408.571166409998,-0.02242880350240739,0.0,10102622.000000002,126721175.54400273,127684180.0,10.317657000000025
Case1DConsolidation_PR_SW3C_Xi0p10_T0p05,0.10,0.05,6,0.03,0.002874573000000003,0.002434871383430009,-9.914606599999912e-05,50.23470342371,26828.64761973,14432.546123359658,50.23455750000007,9761.097725847,4905.972622622956,0.0,17072.41674684,9526.573282775229,17072.41674684,26779.637034724,9712.087143898501,17067.549474900003,-0.01805890000105137,0.0,9052460.0,123993245.24838603,124139560.0,10.068921000000076
