variant,time,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang045_extended,0.00191,407,0,0,0,120.00982800982801,98.0,0.8064278804322499,0.05559753593977247,0.0763485454653811,44.69106233610156,48.704254462184835,1.9116470771303873,4653.9385,120.00950751842758,0.7999932628746922,7.040174004201476e-06,2.7761717990737124e-05,0.37523749999999795,0.7865990000000023,-72.12382688452075,0.20392531622027316,-7305.243099073669,28928542.0,0.005230113191467355,112.0,0.0
overhang045_extended,0.002011,407,1,1,0,120.00982800982801,98.0,0.8064270954828726,0.056489805600362424,0.07745063824894705,47.32740687613431,49.55385101905933,1.8053254930637646,4753.9561,120.01012280098267,0.7999896097051599,7.495559229999998e-06,3.0499950910761673e-05,0.29300729999999936,0.7793350000000028,-75.14568389400495,0.2124694156233481,-6228.379137561113,28895830.0,0.005357580112150533,112.0,0.0
overhang045_extended,0.002111,407,0,0,0,120.00982800982801,98.0,0.8064261512707664,0.057083527079460294,0.07815031161701248,49.807096222776394,50.19689318751491,1.68612244288192,4792.6309,120.01076653562669,0.7999860748894343,7.972272662334155e-06,3.3331262814987726e-05,0.29300729999999936,0.7793350000000028,-77.89794839093382,0.22025126015520707,-5190.454113959656,30690110.0,0.00546846041612936,112.0,0.0
overhang045_extended,0.002212,407,5,5,0,120.00982800982801,98.0,0.8066592862092976,0.057396200369146375,0.0784731280968548,52.160280951998374,51.055129501476564,1.570000323248826,4773.7407,120.01136343980353,0.7999827834152339,8.414090322285015e-06,3.607690130319409e-05,0.29300729999999936,0.7793350000000028,-80.68765638665845,0.22813897368573335,-4221.799646008609,32308504.0,0.0055639347688556575,112.0,0.0
overhang045_extended,0.002312,407,4,4,0,120.00982800982801,98.0,0.8066581599460466,0.05742472951691576,0.07841065165214636,54.28199719528261,51.710090997114044,1.4562164418686119,4704.4575,120.01195452088461,0.7999796877886973,8.851504606093367e-06,3.8932630380343966e-05,0.29300729999999936,0.7793350000000028,-83.12330096004916,0.23502559647440147,-3348.6383202238203,33770148.0,0.0056452810910078,112.0,0.0
overhang045_extended,0.002413,407,4,4,0,120.00982800982801,98.0,0.8066571049663657,0.057325494869498714,0.07819577313278496,56.155381960687976,52.44613697644233,1.3605461038787283,6994.145,120.0125196068797,0.7999768923587208,9.270067877616708e-06,4.178628869656019e-05,0.29300729999999936,0.7793350000000028,-85.40500323857492,0.2414769576787075,-2781.1210073916955,35144484.0,0.005716756157183762,112.0,0.0
overhang045_extended,0.002513,407,0,0,0,120.00982800982801,98.0,0.8066561546994891,0.05713842941123976,0.07788417137947945,57.7672806338247,52.547076185076776,1.272468625199547,4453.793,120.01304272727297,0.7999744570270271,9.657091496987718e-06,4.495001389950862e-05,0.29300729999999936,0.7793350000000028,-87.12929475724808,0.2463522770896472,-2154.271753740912,36441872.0,0.005778676546033171,112.0,0.0
overhang045_extended,0.002614,407,8,8,0,120.00982800982801,98.0,0.8066553932395846,0.05694486149965768,0.07758910049706466,59.122585952416046,53.393090980176304,1.2109716576427774,4341.9053,120.01349437346427,0.7999723887714983,9.991373288845213e-06,4.783718390245703e-05,0.29300729999999936,0.7793350000000028,-89.05756428968058,0.2518043307471551,-1673.0129415296067,37858440.0,0.005831608936834695,112.0,0.0
overhang045_extended,0.002715,407,5,5,0,120.00982800982801,98.0,0.8066548309150021,0.05683364596239741,0.07742958284822105,60.18289819366911,53.81907171349076,1.1577486425231582,4472.1079,120.013901031941,0.7999707033415233,1.0292369131179359e-05,5.095238616560194e-05,0.29300729999999936,0.7793350000000028,-90.49724422719898,0.25587492987086063,-1338.3512270070614,39015600.0,0.0058762464375947555,112.0,0.0
overhang045_extended,0.002815,407,12,12,0,120.00982800982801,98.0,0.8066544355093831,0.05688865306288615,0.07751728570796995,60.978010806633876,54.79735837385471,1.1251676429311441,4569.6094,120.01422995086004,0.7999693865356274,1.0535622675208846e-05,5.388752191737101e-05,0.29300729999999936,0.7793350000000028,-92.03707809140047,0.26022870755083244,-1156.0966127680813,40165128.0,0.005913455566143297,112.0,0.0
overhang045_extended,0.002916,407,0,0,0,120.00982800982801,98.0,0.8066542793259911,0.05719577634877819,0.07796739694017792,61.51555626740376,54.89222739993655,1.0886458697917825,4752.813,120.01448056511047,0.7999684767321853,1.0721103820206385e-05,5.7264612810810796e-05,0.36028500000000213,0.20259299999999864,-92.75085176044217,0.26224685505432094,-1121.8945327011006,41193020.0,0.005944477930388361,112.0,0.0
overhang045_extended,0.003016,407,12,12,0,120.00982800982801,98.0,0.8067997520761466,0.057768753948374524,0.07879446916473545,61.76848114471749,56.362704399787376,1.0878362162791582,4901.333,120.01468142506117,0.7999678190663375,1.0870513072039306e-05,6.009923001965601e-05,0.36028500000000213,0.20259299999999864,-93.99897297641279,0.2657758346529155,-1229.5656376942989,42088440.0,0.005969602802803159,112.0,0.0
overhang045_extended,0.003117,407,0,0,0,120.00982800982801,98.0,0.8068000786606142,0.05861255407446674,0.08000664291345468,61.96489393914824,56.70118337092242,1.0671463048472247,4960.1743,120.0146706388206,0.7999676210073715,1.086190042457003e-05,6.349092030270273e-05,0.36028500000000213,0.20259299999999864,-94.66005775995085,0.26764500784234235,-1468.0675582678714,42864736.0,0.0059903894852371305,112.0,0.0
overhang045_extended,0.003217,407,0,0,0,120.00982800982801,98.0,0.8068005246193067,0.059652409915355184,0.0814981799752399,61.898271779852585,57.6985282953515,1.0683825358390442,4924.5,120.01462253071239,0.7999677559459473,1.0826429339287473e-05,6.665503756732191e-05,0.36028500000000213,0.20259299999999864,-95.39229248157235,0.26971535274227687,-1831.1425592031892,43738536.0,0.006007235604164729,112.0,0.0
