case,variant,part,time,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,region,distance_to_top_platen,distance_to_bottom_platen,distance_to_lateral_boundary,distance_to_edge_corner,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,PorePress,sigma_zz,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,pairwise_reaction_avg,axial_stress_reaction,force_balance_error,lateral_active_targets,cap_leakage_proxy,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm
CaseM3m_Overhang045,overhang045,12,0.001609,572,-1,1,-0.010000011,-2.3886096e-15,0.030000104,0.010000011,0.3333337,0.30000104,interior,0.069999896,0.030000104,0.019999989,0.0360555931862303,153,153,0.00999992500001445,12.93593519573641,0.9967850097826736,0.00016998774421633322,-0.011980849,8017438.5,-18898.00966537,-23.992088,-2.467228666666667,39.728337173289304,-16.102413898653346,119.99883,0.80005133,-8.7163369e-07,9.1469434e-07,0.0,0.0,-2.4672387,9.1469434e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.011877270370103188,-0.002467367007149877,0.017577221259648376,0.012616224346923069
CaseM3m_Overhang045,overhang045,12,0.001609,660,-1,1,-2.2188779e-14,0.010000011,0.030000104,0.010000011,0.3333337,0.30000104,interior,0.069999896,0.030000104,0.019999989,0.0360555931862303,153,153,0.00999992500001445,12.935935195731838,0.9967850097823212,0.0001699877123062503,-0.011980853,8017440.5,-18898.01040645,-23.992088,-2.467227,39.728334882137844,-16.10242384755754,119.99883,0.80005133,-8.7163511e-07,9.1469587e-07,0.0,0.0,-2.467237,9.1469587e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.011877270732915,-0.0024673674996574524,0.017577222049887747,0.012616225002597197
CaseM3m_Overhang045,overhang045,12,0.001609,726,-1,1,0.010000011,3.6125711e-14,0.030000104,0.010000011,0.3333337,0.30000104,interior,0.069999896,0.030000104,0.019999989,0.0360555931862303,153,153,0.00999992500001445,12.935935195731224,0.9967850097822739,0.00016998767852043715,-0.011980852,8017440.0,-18898.01023972,-23.99209,-2.4672273333333323,39.72833844282186,-16.102423115241322,119.99883,0.80005133,-8.7163488e-07,9.1469559e-07,0.0,0.0,-2.467237,9.1469559e-07,0.3752375,132.7131176854335,0.786599,112,0.0,-0.011877270589260242,-0.0024673666285066533,0.017577221461134294,0.012616224650151683
CaseM3m_Overhang045,overhang045,12,0.001609,639,-1,1,-5.9008652e-14,-0.010000028,0.040000029,0.010000028,0.33333426666666666,0.40000029,interior,0.059999971000000006,0.040000029,0.019999971999999998,0.044721372966419815,153,153,0.009999905000012804,12.935933751651538,0.9967848985079855,7.54140302724557e-05,-0.016544711,11065214.0,-18732.78949089,-27.504152,-0.7596896666666654,42.43601944848384,-55.85967706350783,119.99729,0.80005383,-2.0064253e-06,2.0953519e-06,0.0,0.0,-0.75969964,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.017824090186049368,-0.0027132665422911007,0.025934792501122943,0.018343888050569173
CaseM3m_Overhang045,overhang045,12,0.001609,573,-1,1,-0.010000028,-2.3929059e-14,0.040000029,0.010000028,0.33333426666666666,0.40000029,interior,0.059999971000000006,0.040000029,0.019999971999999998,0.044721372966419815,153,153,0.009999905000012804,12.935933751647331,0.9967848985076614,7.541410408978672e-05,-0.016544709,11065213.0,-18732.78969602,-27.504148,-0.7596909999999989,42.4360153411778,-55.85957361766542,119.99729,0.80005383,-2.0064251e-06,2.0953519e-06,0.0,0.0,-0.7597006,2.0953519e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.01782409058136662,-0.0027132673475545035,0.025934793374765765,0.018343888664550213
CaseM3m_Overhang045,overhang045,12,0.001609,661,-1,1,-2.6560783e-14,0.010000028,0.040000029,0.010000028,0.33333426666666666,0.40000029,interior,0.059999971000000006,0.040000029,0.019999971999999998,0.044721372966419815,153,153,0.009999905000012804,12.935933751643912,0.9967848985073978,7.541403117919992e-05,-0.016544713,11065215.0,-18732.79028911,-27.504147,-0.7596913333333326,42.43601436636198,-55.85954782472446,119.99729,0.80005383,-2.0064242e-06,2.0953507e-06,0.0,0.0,-0.75970125,2.0953507e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.017824090612893376,-0.002713267420262786,0.025934793606173078,0.018343888810354182
CaseM3m_Overhang045,overhang045,12,0.001609,727,-1,1,0.010000028,-2.4610801e-14,0.040000029,0.010000028,0.33333426666666666,0.40000029,interior,0.059999971000000006,0.040000029,0.019999971999999998,0.044721372966419815,153,153,0.009999905000012804,12.935933751648127,0.9967848985077227,7.541400235072238e-05,-0.016544707,11065212.0,-18732.79018712,-27.504152,-0.7596890000000004,42.43601844864916,-55.859724767173326,119.99729,0.80005383,-2.0064256e-06,2.0953523e-06,0.0,0.0,-0.75969869,2.0953523e-06,0.3752375,132.7131176854335,0.786599,112,0.0,-0.01782409059441917,-0.0027132669984010413,0.025934793409639643,0.01834388866444808
CaseM3m_Overhang045,overhang045,12,0.001609,623,-3,1,5.2090947e-14,-0.03000151,0.099997036,0.03000151,1.0000503333333333,0.99997036,edge_ring,2.9640000000080713e-06,0.099997036,-1.509999999999706e-06,3.326468998810444e-06,109,50,0.00999858200626668,9.654911092654629,0.7439640429796328,0.004480694498557147,0.0043522497,-2905526.8,-6678.088392448,-144.53047,94.59176566666667,82.97164692137211,0.8771550709155502,120.08738,0.79984123,6.4701257e-05,0.00010155268,0.0,6.0,3411.4819,0.00010155268,0.3752375,132.7131176854335,0.786599,112,0.0,-0.11219688897454624,0.04812155217661236,0.18659538818627944,0.13959648219651477
CaseM3m_Overhang045,overhang045,12,0.001609,643,-3,1,1.3495342e-13,-0.010000097,0.079999104,0.010000097,0.33333656666666667,0.79999104,interior,0.020000896000000004,0.079999104,0.019999903,0.02828483623449542,153,144,0.009999335000068452,12.936335421905373,0.9968158494119472,0.0016170178290897334,-0.021772416,14506415.0,-5726.682288669,-113.34451,55.89632,86.49797689013901,1.5474717636176945,119.98927,0.80001211,-7.9504262e-06,2.3138275e-05,0.0,6.0,2323.0127,2.3138275e-05,0.3752375,132.7131176854335,0.786599,112,0.0,-0.06992313084197214,0.026390835596447258,0.11262587905200935,0.0800384719288663
CaseM3m_Overhang045,overhang045,12,0.001609,469,-3,1,-0.03000151,8.6674002e-14,0.099997036,0.03000151,1.0000503333333333,0.99997036,edge_ring,2.9640000000080713e-06,0.099997036,-1.509999999999706e-06,3.326468998810444e-06,109,50,0.00999858200626668,9.654911092654958,0.7439640429796581,0.004480694498557148,0.0043522459,-2905524.3,-6678.088601808,-144.53047,94.59176066666667,82.97165222189871,0.8771551733166671,120.08738,0.79984123,6.4701257e-05,0.00010155268,0.0,6.0,3411.4824,0.00010155268,0.3752375,132.7131176854335,0.786599,112,0.0,-0.1121968866759057,0.048121550905678157,0.18659538393299913,0.1395964795862217
CaseM3m_Overhang045,overhang045,12,0.001609,577,-3,1,-0.010000097,-5.205832e-14,0.079999104,0.010000097,0.33333656666666667,0.79999104,interior,0.020000896000000004,0.079999104,0.019999903,0.02828483623449542,153,144,0.009999335000068452,12.936335421906463,0.9968158494120313,0.0016170178303787598,-0.021772418,14506416.0,-5726.68269862,-113.34451,55.896322,86.49797403482229,1.5474716571659635,119.98927,0.80001211,-7.950428e-06,2.3138276e-05,0.0,6.0,2323.0134,2.3138276e-05,0.3752375,132.7131176854335,0.786599,112,0.0,-0.06992313042655032,0.026390835300992704,0.11262587814063553,0.080038471395683
CaseM3m_Overhang045,overhang045,12,0.001609,665,-3,1,4.4111331e-14,0.010000097,0.079999104,0.010000097,0.33333656666666667,0.79999104,interior,0.020000896000000004,0.079999104,0.019999903,0.02828483623449542,153,144,0.009999335000068452,12.936335421897773,0.9968158494113616,0.0016170177299421617,-0.021772418,14506416.0,-5726.683842118,-113.3445,55.89631333333333,86.49797212443607,1.547471862922553,119.98927,0.80001211,-7.950428e-06,2.3138276e-05,0.0,6.0,2323.0122,2.3138276e-05,0.3752375,132.7131176854335,0.786599,112,0.0,-0.06992312886335598,0.02639083478063474,0.11262587618421029,0.08003846961271384
CaseM3m_Overhang045,overhang045,12,0.001609,731,-3,1,0.010000097,6.0189496e-15,0.079999104,0.010000097,0.33333656666666667,0.79999104,interior,0.020000896000000004,0.079999104,0.019999903,0.02828483623449542,153,144,0.009999335000068452,12.93633542189669,0.9968158494112781,0.001617017625638478,-0.021772418,14506416.0,-5726.683050313,-113.34451,55.89632133333333,86.49797497975295,1.5474716925274752,119.98927,0.80001211,-7.9504262e-06,2.3138271e-05,0.0,6.0,2323.0125,2.3138271e-05,0.3752375,132.7131176854335,0.786599,112,0.0,-0.06992312811861451,0.026390834354487348,0.11262587497618437,0.08003846866064175
CaseM3m_Overhang045,overhang045,12,0.001609,843,-3,1,0.03000151,-8.5890693e-14,0.099997036,0.03000151,1.0000503333333333,0.99997036,edge_ring,2.9640000000080713e-06,0.099997036,-1.509999999999706e-06,3.326468998810444e-06,109,50,0.00999858200626668,9.654911092655032,0.7439640429796639,0.004480694498557147,0.0043522483,-2905525.8,-6678.090692119,-144.53047,94.59176300000001,82.9716491841414,0.8771551195651294,120.08738,0.79984123,6.4701242e-05,0.00010155267,0.0,6.0,3411.4822,0.00010155267,0.3752375,132.7131176854335,0.786599,112,0.0,-0.11219688571445101,0.04812154968449065,0.1865953813039207,0.1395964793096944
