variant,failed,region,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,eq_plastic_strain_mean,pairwise_reaction_avg,force_balance_error_mean,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePressRate_maxAbs,velocity_max,lateral_active_targets,cap_leakage_proxy_max
overhang045_extended,0,bottom_cap_zone,666,0,0,0,160.61111111111111,105.5,0.9946031984411208,0.014763524014250263,0.020520869695249345,29.542439003028065,26.641497126625215,1.8645484522609683,4960.1743,119.99800726726792,0.800024758333333,-1.4754903336276259e-06,1.5677605747882901e-06,0.36381049189189246,0.5516101891891823,-43.62396279354349,0.12334384892940363,-7827.968279836072,18890212.0,0.0006887242234178219,112.0,0.0
overhang045_extended,0,edge_ring,4088,0,0,0,122.43052837573386,68.15362035225048,0.8070791646606014,0.07325827528626491,0.09965468700768296,41.96826838041902,48.925112067174084,1.7779446440913835,4821.5801,120.01907219178126,0.7999831822994125,1.4120996097050892e-05,7.135242164399513e-05,0.36430496183952954,0.5518695244618264,-64.72949039638448,0.18301832234990328,-13296.007458807997,48706272.0,0.006047836349926917,112.0,0.0
overhang045_extended,0,interior,1740,0,0,0,149.77011494252875,145.99310344827586,0.9847069854164477,0.040904468189776305,0.05747193996464641,41.16642552211459,47.553430318588276,1.7379180899845437,4550.3848,119.99560294827572,0.8000157972873586,-3.2580042823712643e-06,2.819710530871266e-05,0.36994560005746757,0.5755528999999858,-72.57396186839082,0.20519804290287813,-5582.399304083431,29089508.0,0.00222097002801108,112.0,0.0
overhang045_extended,0,lateral_surface,7236,0,0,0,101.40353786622444,97.0873410724157,0.7126636998048755,0.04373627444694853,0.06009639966399232,53.52903639213216,44.007525316958755,1.1194442806730602,4792.6309,120.00296913211577,0.7999924640243145,2.199855138319517e-06,1.670848806864693e-05,0.3638389466556501,0.551417438916571,-80.36442711995595,0.22722506446500534,-1016.1548919739192,31419126.0,0.0031397811003865497,112.0,0.0
overhang045_extended,0,measurement_core,501,0,0,0,162.0319361277445,162.0319361277445,0.9999888625897791,0.027085088918870903,0.03812433519594376,50.41112715190488,52.319383957459294,1.282855777941383,4361.6265,119.99376251497037,0.8000060286826349,-4.6214626547904215e-06,1.6596085128602797e-05,0.34224079081836517,0.45780267664671115,-85.20587551297403,0.24091393729882107,-732.0287371669729,26494876.0,0.001393928,112.0,0.0
overhang045_extended,0,top_cap_zone,657,0,0,0,153.5007610350076,105.35159817351598,0.9899603544284808,0.10317824217573401,0.14573051189231165,68.63608141552508,63.70360424654997,0.9407737329552557,4699.0015,120.07291147640808,0.7998826781735163,5.398259098222118e-05,0.00015022030700926025,0.3639611876712334,0.5555134048706172,-110.64096170776267,0.3128299492384951,-16404.211505079995,25488658.0,0.004447758080273097,112.0,0.0
overhang045_extended,1,edge_ring,56,56,56,0,117.0,67.35714285714286,0.8022017139720365,0.14371956225480867,0.1953494826854501,58.507038029761915,92.93932267120161,1.6790490752303113,6994.145,120.08392285714285,0.7998767114285716,6.214405096428568e-05,0.00019940106285714281,0.3277141857142856,0.5326787142857142,-109.4791256964286,0.30954493530840027,-21150.1857928255,26438924.0,0.006048011197177996,112.0,0.0
overhang045_extended,1,interior,82,82,34,48,152.0487804878049,150.0731707317073,0.9931491426416125,0.04305087323788856,0.06057616350164945,22.831739813414636,56.59566078905802,-23.77395169219923,3406.6355,119.99846499999995,0.8000273789024389,-1.1395721606097558e-06,3.9864590003902434e-05,0.36639416463414687,0.6365935609756104,-60.46150458536584,0.1709508767673338,-12498.100862608717,16179763.0,0.0022538702644969866,112.0,0.0
overhang045_extended,1,lateral_surface,16,16,16,0,103.5,94.5,0.7353020202522007,0.08970332459337943,0.12601163684506342,71.39719497916667,84.71544762868564,1.2349350589160961,3239.5637,120.00206250000002,0.7999790300000001,1.52842458125e-06,6.9038920525e-05,0.35094182500000004,0.6387815,-124.24680687500003,0.3512995701394409,-122.80976502206215,28431976.0,0.0023745650684128374,112.0,0.0
overhang045_extended,1,measurement_core,8,8,8,0,165.5,165.5,1.0006974803150788,0.05542489273764439,0.07823634656718678,56.48189975,80.51646064144748,1.4370363802484212,2173.7561,119.99471750000001,0.80000126375,-3.9110034125e-06,5.4954922000000005e-05,0.35374435000000004,0.3476864999999999,-110.158435,0.31146563711425385,1547.2896631767499,18444312.0,0.0013306302000000005,112.0,0.0
overhang045_extended,1,top_cap_zone,9,9,9,0,153.44444444444446,116.33333333333333,0.98945615963907,0.12103220303415894,0.17083673120014256,59.574031481481484,95.6769486777112,1.632216072168216,4194.4014,120.0650588888889,0.7999018388888888,4.817480766666667e-05,0.00023476202444444445,0.3528097,0.2666754444444444,-123.18384666666667,0.34829412095603834,-24371.37536250333,21418786.0,0.0040697749,112.0,0.0
overhang_ref,0,bottom_cap_zone,328,0,0,0,161.10365853658536,109.11585365853658,0.9933907962853665,0.017243615596005204,0.024049038021255815,18.423170311780517,18.383419213954443,2.46781642337592,4841.6807,119.99716768292657,0.8000378302439024,-2.0973946129756117e-06,2.2198453357987806e-06,0.3743909567073173,0.7039877091463393,-28.47993727713414,0.08052512555208843,-12399.651231986341,20359206.0,0.0004012893170627328,112.0,0.0
overhang_ref,0,edge_ring,2412,0,0,0,113.78109452736318,68.08623548922057,0.7947960298626082,0.06760125343247576,0.09148021229130197,42.255047533235484,42.83624749635807,2.034653235213261,4748.2471,120.01520537313424,0.7999883513432846,1.1260274834996677e-05,3.8756577390580415e-05,0.3648487480928615,0.7155872812603813,-63.92457147747219,0.18074246772375202,-12362.99041623894,38350056.0,0.005698675571692108,112.0,0.0
overhang_ref,0,interior,1083,0,0,0,149.90766389658356,146.2853185595568,0.9846891650152443,0.03665732497884988,0.05156251801465693,29.69311649609929,39.5250075367216,2.1316704005398956,4460.5254,119.99443593721216,0.800029549750692,-4.1210830987165294e-06,1.0976316643028632e-05,0.3726802965373932,0.7179606579870774,-55.795380399815286,0.15775772145147687,-10376.097122879106,29112664.0,0.001845636546547208,112.0,0.0
