case,part,time,Idp,return_status,region,x,y,z,r,distance_to_top,distance_to_bottom,distance_to_lateral_surface,p_eff,q,MccPc,MccVoidRatio,MccPlasticVolStrain,MccEqPlasticStrain,MccPlasticMultiplier,MccReturnIterations,MccYieldResidual,MccSubstepCount,MccSubstepFailureCount,MccAdmissibilityFailureCount,MccFallbackUsed,Kplastic,PorePress,PorePressRate,DivVel,velocity
baseline,2,0.001005,491,-1,lateral_boundary,0.02000029,-2.3080913e-14,0.020000003,0.02000029,0.079999997,0.020000003,0.009999709999999998,-2.8495131666666667,25.59881390381086,119.9985,0.80005276,-1.1101749e-06,1.1510036e-06,0.0,0.0,-2.8495231,1.0,1.0,0.0,0.0,1.1510036e-06,-21866.87652722,-23219276.0,0.034879927,0.00039667954466173275
baseline,2,0.001005,492,-1,lateral_boundary,0.020000292,8.3968639e-14,0.029999999,0.020000292,0.070000001,0.029999999,0.009999708,-1.8316275666666666,24.627999141336876,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316375,1.0,1.0,0.0,0.0,0.0,-20722.77452048,-19305312.0,0.028998548,0.0004027826091786631
baseline,2,0.001005,501,-1,edge,0.020000389,0.01000028,0.010000009,0.0223611529271127,0.089999991,0.010000009,0.007638847072887298,-3.5000590000000003,25.755480176285634,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000691,1.0,1.0,0.0,0.0,0.0,-20984.26194233,-27050682.0,0.040608753,0.0006625134689901667
baseline,2,0.001005,502,-1,lateral_boundary,0.020000385,0.010000277,0.020000001,0.02236114800776011,0.079999999,0.020000001,0.0076388519922398895,-0.7869846333333322,24.905538161915548,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699476,1.0,1.0,0.0,0.0,0.0,-20306.36912977,-22372542.0,0.033584651,0.0006367210442565552
baseline,2,0.001005,511,-1,edge,0.020000558,0.020000558,-1.6089265e-08,0.028285060378629708,0.10000001608926501,-1.6089265e-08,0.0017149396213702907,-1.8814701333333332,35.05128226208379,119.99983,0.80004817,-1.2447802e-07,1.3347551e-07,0.0,0.0,-1.8814801,1.0,1.0,0.0,0.0,1.3347551e-07,-14936.0420857,-21742364.0,0.032592118,0.0011129175162165614
baseline,2,0.001005,512,-1,edge,0.020000555,0.020000555,0.009999997,0.028285056135989018,0.09000000300000001,0.009999997,0.0017149438640109808,-0.966694466666666,27.83883004315677,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96670449,1.0,1.0,0.0,0.0,0.0,-19350.99680762,-26701484.0,0.040063187,0.001082638991282512
baseline,2,0.001005,533,-1,edge,0.030000759,-8.7415477e-15,-1.7046942e-08,0.030000759,0.100000017046942,-1.7046942e-08,-7.589999999994823e-07,-2.511513566666667,31.98300126305308,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115235,1.0,1.0,0.0,0.0,0.0,-15650.70636208,-22767610.0,0.034136418,0.001109904179178203
baseline,2,0.001005,534,-1,edge,0.030000756,-2.4594657e-14,0.009999997,0.030000756,0.09000000300000001,0.009999997,-7.560000000010614e-07,-2.9556118666666666,25.34694909050027,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.955622,1.0,1.0,0.0,0.0,0.0,-20244.4237823,-27926264.0,0.041912857,0.0010840688782101588
baseline,2,0.001005,379,-1,edge,2.9260546e-15,0.030000759,-1.7046986e-08,0.030000759,0.10000001704698601,-1.7046986e-08,-7.589999999994823e-07,-2.511508966666666,31.98300045496223,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115192,1.0,1.0,0.0,0.0,0.0,-15650.70746802,-22767614.0,0.034136426,0.0011099043822588677
baseline,2,0.001005,380,-1,edge,-1.0278649e-14,0.030000756,0.009999997,0.030000756,0.09000000300000001,0.009999997,-7.560000000010614e-07,-2.9556048333333327,25.34694454650405,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556148,1.0,1.0,0.0,0.0,0.0,-20244.4222742,-27926262.0,0.041912854,0.0010840687781904215
baseline,2,0.001005,262,-1,interior,-0.010000102,-0.010000102,0.039999999,0.014142279873514314,0.060000001000000004,0.039999999,0.015857720126485685,-1.1871705666666674,24.558620634060908,120.0,0.80004954,0.0,0.0,0.0,0.0,-1.1871806,1.0,1.0,0.0,0.0,0.0,-20469.88346908,-21181394.0,0.031796586,0.00019303864501241046
baseline,2,0.001005,263,-1,interior,-0.010000102,-0.010000102,0.049999997,0.014142279873514314,0.05000000300000001,0.049999997,0.015857720126485685,-0.6308701333333335,25.173223166042437,120.0,0.80004919,0.0,0.0,0.0,0.0,-0.63088018,1.0,1.0,0.0,0.0,0.0,-20246.99638381,-19963364.0,0.029972503,0.00019458197809339435
baseline,2,0.001005,328,-1,lateral_boundary,-8.9355327e-15,-0.020000292,0.039999999,0.020000292,0.060000001000000004,0.039999999,0.009999708,-1.2716325999999991,24.264384506980004,120.0,0.80005044,0.0,0.0,0.0,0.0,-1.2716427,1.0,1.0,0.0,0.0,0.0,-20498.67441976,-18415694.0,0.027665857,0.00040523104242689667
baseline,2,0.001005,329,-1,lateral_boundary,-1.5720269e-15,-0.020000292,0.049999997,0.020000292,0.05000000300000001,0.049999997,0.009999708,-0.7679078000000003,24.80042552722142,120.0,0.80005008,0.0,0.0,0.0,0.0,-0.76791775,1.0,1.0,0.0,0.0,0.0,-20296.86320742,-17322040.0,0.026028007,0.00040624264676305643
baseline,2,0.001005,339,-1,interior,-3.7617553e-14,-0.010000032,0.039999999,0.010000032,0.060000001000000004,0.039999999,0.019999968,-1.794349066666668,24.411314729181893,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7943591,1.0,1.0,0.0,0.0,0.0,-20714.70048628,-23372200.0,0.035077732,5.227712480511666e-05
baseline,2,0.001005,340,-1,interior,6.9191343e-14,-0.010000032,0.049999997,0.010000032,0.05000000300000001,0.049999997,0.019999968,-1.207174066666666,25.08961561236875,120.0,0.80004936,0.0,0.0,0.0,0.0,-1.207184,1.0,1.0,0.0,0.0,0.0,-20479.43828076,-22082540.0,0.033146352,5.689266905877432e-05
