case,case_name,part,time,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,pairwise_reaction_avg,force_balance_error,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts,yield_fraction,return_iterations_max,yield_residual_maxAbs,yield_residual_converged_maxAbs,MccSubstepCount_mean,MccSubstepCount_max,MccSubstepFailureCount_sum,MccAdmissibilityFailureCount_sum,MccFallbackUsed_count,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,Kplastic_max,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
baseline,CaseM3d3_MCCMildBaseline,20,0.010053,0.0002583861720001357,49.11737296529896,65.57575097350906,0.2547433288985084,0.2929975,0.0891795,6,401,0,0,0,0:6|1:401,0.9852579852579852,18.0,4260.0732,0.00012078103,1.0,1.0,0.0,0.0,0,118.89112,119.83440582309593,120.1144,0.7998271,0.8002182512285008,0.80151182,-0.00012292511573808358,0.0013274918,0.0013274918,-109873.88605149124,93130.62487083954,60761200.0,0.091480702,0.005578034651413316
baseline,CaseM3d3_MCCMildBaseline,21,0.010556,0.00027345230400002696,48.95529158542998,65.92095525180676,0.2549950172929134,0.2929975,0.0891795,2,397,0,8,8,-3:8|0:2|1:397,0.9754299754299754,20.0,4528.604,4.9253296e-05,1.0,1.0,8.0,0.0,0,118.81644,119.82347621621619,120.12133,0.79981929,0.8002328574201482,0.80161273,-0.00013105445994496305,0.001404275,0.001404275,-116145.6322182653,90516.0568866726,62176464.0,0.093448162,0.005586744659564742
baseline,CaseM3d3_MCCMildBaseline,22,0.011059,0.00028850714399994426,48.6323174262572,65.45364753621355,0.2533497941529849,0.28956099999999996,0.064239,2,405,0,0,0,0:2|1:405,0.995085995085995,26.0,4696.6211,5.6549157e-05,1.0,1.0,0.0,0.0,0,118.74095,119.81181265356273,120.12754,0.79981238,0.8002487760196572,0.80171472,-0.00013973198220933666,0.0014815286,0.0014815286,-123206.45947133358,98080.905452264,63180712.0,0.095149308,0.005590101348225641
baseline,CaseM3d3_MCCMildBaseline,23,0.011561,0.0003034814579999656,48.053764501015564,65.35938377913084,0.25157587292130096,0.28956099999999996,0.064239,2,404,0,1,1,-3:1|0:2|1:404,0.9926289926289926,26.0,4782.9292,7.0479553e-05,1.0,1.0,1.0,0.0,0,118.66508,119.79979886977884,120.13335,0.7998051,0.8002654160442257,0.80181712,-0.0001486727262953316,0.0015589668,0.0015589668,-130078.67071022195,95427.24603394495,63906924.0,0.096062265,0.005589301123908815
baseline,CaseM3d3_MCCMildBaseline,24,0.012064,0.00031837837400003344,47.629392862506165,65.25515020065158,0.25011469864003455,0.286692,0.0518885,2,401,0,4,4,-3:4|0:2|1:401,0.9852579852579852,27.0,4812.8179,7.0871778e-05,1.0,1.0,4.0,0.0,0,118.58907,119.78738100737102,120.13908,0.79979748,0.8002824507862412,0.80191964,-0.00015791549645552817,0.0016364641,0.0016364641,-137539.68000470786,103214.01945693923,64146356.0,0.096611716,0.005583935554256415
baseline,CaseM3d3_MCCMildBaseline,25,0.012566,0.0003331340410001049,47.46095281339965,65.07419197517078,0.24918980544184238,0.286692,0.0518885,2,405,0,0,0,0:2|1:405,0.995085995085995,27.0,4808.7798,6.7852045e-05,1.0,1.0,0.0,0.0,0,118.51315,119.77468714987691,120.14488,0.79978949,0.800299635184276,0.80202216,-0.0001673665702184275,0.0017138375,0.0017138375,-144515.45124438748,100188.61332100457,64510336.0,0.096985191,0.0055766618451576965
baseline,CaseM3d3_MCCMildBaseline,26,0.013069,0.00034789490100009535,47.416883728810795,64.9874617991928,0.24878193178759161,0.2857695,0.0484519,2,405,0,0,0,0:2|1:405,0.995085995085995,27.0,4786.189,6.0545983e-05,1.0,1.0,0.0,0.0,0,118.43732,119.76185103194092,120.15076,0.79978144,0.8003168930712526,0.80212468,-0.00017692598081154814,0.0017911197,0.0017911197,-152031.0513087373,108077.59473652385,64553968.0,0.097240627,0.005574225004731893
baseline,CaseM3d3_MCCMildBaseline,27,0.013572,0.00036251632099998377,47.43231015525794,64.93205524449175,0.24862017257280397,0.2857695,0.0484519,2,405,0,0,0,0:2|1:405,0.995085995085995,27.0,4754.1865,5.8578309e-05,1.0,1.0,0.0,0.0,0,118.36158,119.74891169533164,120.15667,0.79977345,0.8003342327027038,0.80222714,-0.00018656568065184283,0.0018683299,0.0018683299,-158990.7147043342,104600.43954016584,64768296.0,0.097387314,0.005571778600023233
baseline,CaseM3d3_MCCMildBaseline,28,0.014074,0.0003770922170000246,47.44278959084354,64.90370451005585,0.24852643956437964,0.2858295,0.0451077,2,405,0,0,0,0:2|1:405,0.995085995085995,27.0,4716.2681,6.1611951e-05,1.0,1.0,0.0,0.0,0,118.28594,119.73590712530714,120.16254,0.79976571,0.8003516306388191,0.80232936,-0.00019625573492948413,0.0019454572,0.0019454572,-166577.61952434896,112480.3112759972,64653616.0,0.097404875,0.0055697874066281865
baseline,CaseM3d3_MCCMildBaseline,29,0.014577,0.0003916153570000802,47.38112451807538,64.95361371724502,0.24839714257082568,0.2858295,0.0451077,2,401,0,4,4,-3:4|0:2|1:401,0.9852579852579852,27.0,4673.6592,6.6017048e-05,1.0,1.0,4.0,0.0,0,118.21044,119.72285663390664,120.1684,0.79975796,0.800369156904176,0.80243158,-0.00020598254852653578,0.0020224634,0.0020224634,-173553.62121435322,108485.98365589275,64689556.0,0.097282141,0.00556812802004651
baseline,CaseM3d3_MCCMildBaseline,30,0.01508,0.00040607803799996844,47.32392135804259,64.85318882734752,0.24801233693827282,0.285917,0.0416584,2,405,0,0,0,0:2|1:405,0.995085995085995,27.0,4627.2939,6.8579917e-05,1.0,1.0,0.0,0.0,0,118.13509,119.70971100737101,120.17422,0.79975021,0.8003868438574944,0.80253363,-0.0002157835186813267,0.0020993322,0.0020993322,-181248.5393421465,116311.53817712056,64456232.0,0.097120397,0.005566001347533801
baseline,CaseM3d3_MCCMildBaseline,31,0.015582,0.00042050267100010585,47.255042961621605,64.85897520173849,0.2477911547855856,0.285917,0.0416584,2,404,0,1,1,-3:1|0:2|1:404,0.9926289926289926,27.0,4578.9209,6.7231005e-05,1.0,1.0,1.0,0.0,0,118.0599,119.69652665847653,120.17999,0.79974246,0.800404615282554,0.80263555,-0.0002256151691506143,0.0021760617,0.0021760617,-188232.32063338737,111875.4253747949,64466920.0,0.09695857,0.005563199447377282
baseline,CaseM3d3_MCCMildBaseline,32,0.016085,0.0004349519110000144,47.19521186261263,64.9941061348069,0.2478351006657338,0.285715,0.0388281,2,400,0,5,5,-3:5|0:2|1:400,0.9828009828009828,27.0,4530.7178,6.3880281e-05,1.0,1.0,5.0,0.0,0,117.98486,119.6833335135135,120.1857,0.79973501,0.8004222875429973,0.8027373,-0.0002354567825314494,0.002252653,0.002252653,-195960.21622577682,119678.29757353594,64193796.0,0.096735641,0.00556019369625581
baseline,CaseM3d3_MCCMildBaseline,33,0.016588,0.0004492885050001727,47.26765301049958,64.82134620574622,0.24767791152114793,0.285715,0.0388281,2,404,0,1,1,-3:1|0:2|1:404,0.9926289926289926,27.0,4484.2451,6.2990082e-05,1.0,1.0,1.0,0.0,0,117.91005,119.67005916461916,120.19138,0.79972756,0.8004399596805898,0.8028388,-0.000245361404799263,0.0023290303,0.0023290303,-202875.5548296595,114840.86871963712,64112908.0,0.096436463,0.00554985787018284
baseline,CaseM3d3_MCCMildBaseline,34,0.01709,0.0004636546450001444,47.25976566036038,65.0261401071888,0.24800401614916187,0.286149,0.0346152,2,396,0,9,9,-3:9|0:2|1:396,0.972972972972973,26.0,4440.3535,6.373103e-05,1.0,1.0,9.0,0.0,0,117.83559,119.65687027027036,120.19707,0.79971981,0.8004575235380837,0.80293989,-0.00025520493036191666,0.0024050788,0.0024050788,-210582.2788602461,122568.36199705412,63747720.0,0.096074387,0.005539688718299206
baseline,CaseM3d3_MCCMildBaseline,35,0.017593,0.00047805187000010685,47.34196609155608,64.7519149015396,0.24770343986144946,0.286149,0.0346152,2,405,0,0,0,0:2|1:405,0.995085995085995,26.0,4405.4355,6.199022e-05,1.0,1.0,0.0,0.0,0,117.76148,119.64357267813291,120.20275,0.79971218,0.8004751788697787,0.80304056,-0.0002651319376985258,0.0024808114,0.0024808114,-217450.76138385595,117320.38523857649,63632868.0,0.095724262,0.005534855098960306
baseline,CaseM3d3_MCCMildBaseline,36,0.018096,0.0004923412500000557,47.26133310780508,64.9466204495404,0.24781437833696118,0.286149,0.0346152,2,397,0,8,8,-3:8|0:2|1:397,0.9754299754299754,26.0,4486.3047,6.4242093e-05,1.0,1.0,8.0,0.0,0,117.68771,119.63033950859979,120.2084,0.79970473,0.8004928626289921,0.80314088,-0.0002750144962390663,0.0025562742,0.0025562742,-225214.38188911168,124985.56449377477,63265952.0,0.095357433,0.005524232722650874
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,0,0.0,0.0,50.0,0.0,0.1413716694115407,0.144809,2.53653e-09,407,0,0,0,0,0:407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120.0,120.0,120.0,0.80000001,0.8000000100000014,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,1,0.000503,-2.0285726015645267e-08,33.80963945045045,8.212251234237192,0.10962124211972994,0.3296945,0.638085,407,0,0,0,0,0:407,0.0,0.0,4596.9512,0.0,4.0,4.0,0.0,0.0,0,120.0,120.0,120.0,0.80001062,0.8000175002702695,0.80002099,0.0,0.0,0.0,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0049999999
fixed_substeps4,CaseM3d3_MCCMildFixedSubsteps4,2,0.001005,3.5209335300101507e-06,19.84721085658067,31.9128392317759,0.11365886187581323,0.37392125000000004,0.78317,161,0,92,4,96,-3:4|-1:92|0:161|2:150,0.36855036855036855,60.0,3887.667,0.0,4.0,4.0,96.0,0.0,0,119.9918,120.00359606879611,120.10755,0.79980838,0.8000277898034406,0.80005878,2.6633609013832927e-06,0.00012532102,0.00012532102,-16020.721352428,3489.469158015216,28763496.0,0.043205004,0.0049999999
