case,part,time,axial_strain,pairwise_reaction_avg,Fz_proxy,force_balance_error,p_proxy,q_proxy
half_speed_adaptive_line,36,0.036093,0.00042589967000003504,0.25510299999999997,0.23633409321982635,0.00494674,46.251543046355444,62.16441271609576
quarter_speed_line,0,0.0,0.0,0.144809,0.1413716694115407,2.53653e-09,50.0,0.0
quarter_speed_line,1,0.002011,3.812653000118127e-06,0.14381225,0.12168132243225173,0.50127,24.625639812588062,35.173484343647814
quarter_speed_line,2,0.004022,1.5030805299992567e-05,0.2170055,0.17599190099407458,0.0629834,38.83974469333087,43.489581130197095
quarter_speed_line,3,0.006032,2.8994677000043767e-05,0.2164575,0.21267749995929633,0.0521284,43.564030960032795,52.833671445090744
quarter_speed_line,4,0.008043,4.119874499997067e-05,0.240795,0.22733614380629083,0.00494885,44.06261250418016,58.83578278202255
quarter_speed_line,5,0.010054,5.130004200007421e-05,0.2373475,0.22962289253330562,0.0372219,45.95407413792955,57.73639538575064
quarter_speed_line,6,0.012065,6.025658100011766e-05,0.2314615,0.21909572550359024,0.00439923,43.49570170406223,56.40385746437034
quarter_speed_line,7,0.014076,6.954547800003263e-05,0.2306655,0.21982120074886297,0.00356538,43.99042657529889,56.573059508133575
quarter_speed_line,8,0.016086,7.954466900009227e-05,0.2310995,0.22176587155818542,0.00703879,44.23192350249798,57.16890676934628
quarter_speed_line,9,0.018097,8.986287000009585e-05,0.233186,0.22405976439657221,0.0040561,44.56979324256352,57.7047711091475
quarter_speed_line,10,0.020007,9.954720700006137e-05,0.2329485,0.22528156426991786,0.00329833,44.793499048550395,57.96008661587618
quarter_speed_line,11,0.022018,0.00010957486500012825,0.23367500000000002,0.22536437723041208,0.00362916,44.77867007098282,58.08148954036293
quarter_speed_line,12,0.024029,0.00011960010400005605,0.2333675,0.2254132942247472,0.00226307,44.83206892524977,58.14576600957867
quarter_speed_line,13,0.02604,0.00012966731200006465,0.233189,0.22528274625517317,0.00199834,44.81121390190825,58.19907486849774
quarter_speed_line,14,0.028051,0.00013972509800008748,0.233167,0.2254014472996917,0.00183138,44.84458008140046,58.281562420918284
quarter_speed_line,15,0.030061,0.00014975966100005955,0.233172,0.22562003694674862,0.00156606,44.88581869366909,58.39324781391845
quarter_speed_line,16,0.032072,0.00015986085000002648,0.233271,0.22583373633657178,0.00114488,44.92229961581491,58.50319034066097
quarter_speed_line,17,0.034083,0.00016994186000013345,0.2333465,0.22600400214383104,0.00103628,44.95869082170843,58.60324554309717
quarter_speed_line,18,0.036094,0.0001800027700001039,0.2333115,0.22600838374440904,0.00083816,44.966758893448,58.666233238318895
quarter_speed_line,19,0.038004,0.0001895249600000759,0.233255,0.2259730933888344,0.00073018,44.97364377861588,58.7092281116649
quarter_speed_line,20,0.040015,0.00019964951000012165,0.2331915,0.22598973815740186,0.00059834,44.98379921327601,58.76838684290289
quarter_speed_line,21,0.042026,0.00020968725000000688,0.233182,0.2260335611531957,0.000514168,44.99888725396398,58.829931870913526
quarter_speed_line,22,0.044036,0.00021978764000007978,0.233176,0.22604338427687673,0.000417229,45.00661170984434,58.88627377562096
quarter_speed_line,23,0.046047,0.00022988323000003308,0.23313450000000002,0.2260054845074123,0.000357763,45.0105295522441,58.92188750714152
quarter_speed_line,24,0.048058,0.00023990658000003218,0.2330665,0.22598372021594415,0.000323245,45.0130470349795,58.96520070110751
quarter_speed_line,25,0.050069,0.00025000751000009425,0.233052,0.22599572556271783,0.000240178,45.02369046167899,59.00645636279054
quarter_speed_line,26,0.05208,0.00026009435000001746,0.2330235,0.22597480875932527,0.000170919,45.02226128951677,59.04252155748698
quarter_speed_line,27,0.05409,0.00027017755000011134,0.23299599999999998,0.22596787059695114,0.000171624,45.027746089426714,59.079690622984856
quarter_speed_line,28,0.056001,0.00027974202000000115,0.23296650000000002,0.22594365394120725,0.000144766,45.02820660999999,59.11353819064656
quarter_speed_line,29,0.058011,0.0002898281600000052,0.2329295,0.22591856978999628,0.000114671,45.0291814125225,59.14988318275146
quarter_speed_line,30,0.060022,0.00029990174000016356,0.2328925,0.22589331669443008,0.00010123,45.029732915790326,59.18670303768231
quarter_speed_line,31,0.062033,0.00030990302000002967,0.2328635,0.22587911476189695,7.92155e-05,45.03237228744474,59.21891923463889
quarter_speed_line,32,0.064044,0.0003199703100001394,0.232819,0.22584774664553825,0.000124495,45.02924861458641,59.24898642313715
quarter_speed_line,33,0.066055,0.00033003470000000923,0.23279149999999998,0.22582465800372298,6.58741e-05,45.02980140705158,59.279528354048544
quarter_speed_line,34,0.068065,0.00034010718000007656,0.232757,0.22580192837578297,0.000101606,45.02900279826375,59.306039620180016
quarter_speed_line,35,0.070076,0.0003501673100000935,0.2327325,0.22578478744642594,4.96623e-05,45.02896629988537,59.32904607057848
quarter_speed_line,36,0.072087,0.0003602242600000971,0.232701,0.22576102458262537,4.78872e-05,45.02864108185915,59.349918234611316
