case,part,time,line_search_backtrack_max,line_search_backtrack_mean,line_search_reject_reason_max,line_search_min_alpha_min_positive
quarter_speed_line,21,0.042026,3.0,1.1400491400491402,4.0,0.125
quarter_speed_line,22,0.044036,3.0,1.1425061425061425,4.0,0.125
quarter_speed_line,23,0.046047,3.0,1.1597051597051597,4.0,0.125
quarter_speed_line,24,0.048058,3.0,1.1597051597051597,4.0,0.125
quarter_speed_line,25,0.050069,3.0,1.1597051597051597,4.0,0.125
quarter_speed_line,26,0.05208,3.0,1.1597051597051597,4.0,0.125
quarter_speed_line,27,0.05409,3.0,1.1597051597051597,4.0,0.125
quarter_speed_line,28,0.056001,3.0,1.1597051597051597,4.0,0.125
quarter_speed_line,29,0.058011,3.0,1.1498771498771498,4.0,0.125
quarter_speed_line,30,0.060022,3.0,1.1498771498771498,4.0,0.125
quarter_speed_line,31,0.062033,3.0,1.1498771498771498,4.0,0.125
quarter_speed_line,32,0.064044,3.0,1.1498771498771498,4.0,0.125
quarter_speed_line,33,0.066055,3.0,1.1498771498771498,4.0,0.125
quarter_speed_line,34,0.068065,3.0,1.1498771498771498,4.0,0.125
quarter_speed_line,35,0.070076,3.0,1.1547911547911547,4.0,0.125
quarter_speed_line,36,0.072087,3.0,1.1547911547911547,4.0,0.125
