case,part,time,idp,trial_state_available,trial_p,trial_q,trial_pc,trial_yield_function,newton_initial_residual,line_search_step_residual_trace_available,line_search_backtracks,line_search_reject_reason,line_search_min_alpha
baseline,3,0.001508,368,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,369,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,370,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,371,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,423,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,424,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,425,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,426,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,434,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,435,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,436,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,437,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,445,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,446,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,447,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,448,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,489,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,490,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,491,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,492,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,500,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,501,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,502,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,503,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,511,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,512,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,533,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,534,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,544,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,545,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,302,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,303,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,379,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,380,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,456,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,457,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,196,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,197,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,251,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,252,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,262,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,263,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,328,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,329,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,339,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,340,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,405,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,406,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,416,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,417,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,482,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,483,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,207,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,208,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,218,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,219,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,273,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,274,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,284,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,285,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,295,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,296,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,350,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,361,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,362,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,372,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,373,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,427,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,428,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,438,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,439,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,449,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,450,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,493,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,494,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,504,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,3,0.001508,505,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,148,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,149,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,181,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,182,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,192,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,193,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,194,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,236,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,237,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,247,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,248,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,249,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,258,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,259,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,313,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,314,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,324,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,325,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,335,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,336,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,337,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,390,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,391,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,401,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,402,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,403,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,412,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,413,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
baseline,4,0.002011,467,0,nan,nan,nan,nan,nan,0,0.0,0.0,1.0
