case,part,time,raw_max_abs,converged_max_abs,return_iterations_max,return_iterations_mean
half_speed_adaptive_line,19,0.019002,5161.292,0.00010127526,149.0,9.481572481572481
half_speed_adaptive_line,20,0.020007,5144.145,0.00010044807,50.0,7.496314496314496
half_speed_adaptive_line,21,0.021012,5122.8818,0.00010071447,49.0,7.466830466830467
half_speed_adaptive_line,22,0.022018,5100.3027,9.8548109e-05,142.0,9.493857493857494
half_speed_adaptive_line,23,0.023023,5071.5713,9.666392e-05,147.0,9.597051597051598
half_speed_adaptive_line,24,0.024028,5037.2144,9.6695883e-05,147.0,9.54054054054054
half_speed_adaptive_line,25,0.025034,5001.7983,9.6593561e-05,147.0,9.427518427518427
half_speed_adaptive_line,26,0.026039,4964.5518,9.5385054e-05,141.0,9.457002457002456
half_speed_adaptive_line,27,0.027045,4928.6777,9.4513802e-05,141.0,9.513513513513514
half_speed_adaptive_line,28,0.02805,4894.3462,9.3835122e-05,143.0,9.471744471744472
half_speed_adaptive_line,29,0.029055,4854.1558,9.2851209e-05,144.0,9.545454545454545
half_speed_adaptive_line,30,0.030061,4808.0015,9.2052869e-05,151.0,9.628992628992629
half_speed_adaptive_line,31,0.031066,4759.7329,9.2036542e-05,152.0,9.751842751842752
half_speed_adaptive_line,32,0.032071,4709.9331,9.2271723e-05,148.0,9.616707616707616
half_speed_adaptive_line,33,0.033077,4657.4087,9.2417147e-05,17.0,7.0712530712530715
half_speed_adaptive_line,34,0.034082,4602.063,9.2632588e-05,17.0,7.061425061425061
half_speed_adaptive_line,35,0.035088,4544.2935,9.2808892e-05,17.0,7.031941031941032
half_speed_adaptive_line,36,0.036093,4483.9429,9.2902883e-05,17.0,7.031941031941032
quarter_speed_line,0,0.0,0.0,0.0,0.0,0.0
quarter_speed_line,1,0.002011,4767.1479,2.1661184e-05,91.0,8.766584766584767
quarter_speed_line,2,0.004022,4878.0337,2.3504113e-05,11.0,3.0073710073710074
quarter_speed_line,3,0.006032,5084.1855,5.0770464e-05,11.0,3.1326781326781328
quarter_speed_line,4,0.008043,4522.1958,7.2828239e-05,108.0,5.660933660933661
quarter_speed_line,5,0.010054,4959.4717,0.00011937539,12.0,4.1474201474201475
quarter_speed_line,6,0.012065,5070.9438,3.3471006e-05,11.0,4.334152334152334
quarter_speed_line,7,0.014076,5025.1724,5.8915462e-05,102.0,7.144963144963145
quarter_speed_line,8,0.016086,4897.0098,4.383755e-05,100.0,7.965601965601966
quarter_speed_line,9,0.018097,4853.9238,6.3465901e-05,99.0,4.9287469287469285
quarter_speed_line,10,0.020007,4848.1167,6.4996842e-05,107.0,4.825552825552825
quarter_speed_line,11,0.022018,4839.2329,6.5647444e-05,103.0,4.943488943488943
quarter_speed_line,12,0.024029,4804.1973,6.8959052e-05,12.0,4.874692874692875
quarter_speed_line,13,0.02604,4774.8433,6.8284513e-05,11.0,4.855036855036855
quarter_speed_line,14,0.028051,4747.813,7.0364593e-05,11.0,4.855036855036855
quarter_speed_line,15,0.030061,4726.6265,7.1124676e-05,11.0,4.864864864864865
quarter_speed_line,16,0.032072,4702.957,7.1840113e-05,11.0,4.864864864864865
quarter_speed_line,17,0.034083,4678.6357,7.2932424e-05,11.0,4.884520884520884
quarter_speed_line,18,0.036094,4652.5005,7.3372088e-05,11.0,4.963144963144964
quarter_speed_line,19,0.038004,4644.7207,7.3409523e-05,11.0,4.943488943488943
quarter_speed_line,20,0.040015,4660.3433,9.7644579e-06,11.0,4.953316953316953
quarter_speed_line,21,0.042026,4678.8179,9.7971988e-06,11.0,4.972972972972973
quarter_speed_line,22,0.044036,4699.104,5.8495894e-05,11.0,5.031941031941032
quarter_speed_line,23,0.046047,4721.5366,9.6918002e-06,11.0,5.051597051597051
quarter_speed_line,24,0.048058,4756.771,9.6880658e-06,11.0,5.051597051597051
quarter_speed_line,25,0.050069,4787.0063,9.6689773e-06,11.0,5.081081081081081
quarter_speed_line,26,0.05208,4805.3047,9.6706044e-06,11.0,5.081081081081081
quarter_speed_line,27,0.05409,4838.5752,9.6076892e-06,11.0,5.081081081081081
quarter_speed_line,28,0.056001,4869.915,9.5888981e-06,11.0,5.081081081081081
quarter_speed_line,29,0.058011,4902.3906,9.5540618e-06,11.0,5.0712530712530715
quarter_speed_line,30,0.060022,4933.7769,9.5213372e-06,11.0,5.0712530712530715
quarter_speed_line,31,0.062033,4956.9834,9.4937732e-06,11.0,5.100737100737101
quarter_speed_line,32,0.064044,4972.332,9.4791731e-06,11.0,5.100737100737101
quarter_speed_line,33,0.066055,4985.814,9.454684e-06,11.0,5.108108108108108
quarter_speed_line,34,0.068065,4998.4546,9.4473553e-06,11.0,5.115479115479116
quarter_speed_line,35,0.070076,5008.3652,9.4199977e-06,11.0,5.12039312039312
quarter_speed_line,36,0.072087,5017.0654,9.3727776e-06,11.0,5.15970515970516
