case,part,time,axial_strain,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
adaptive_line,31,0.015582,0.00041411175300001823,-201231.82637534014,121078.14270428948,75261016.0,0.11323138,0.006261467822680872
adaptive_line,32,0.016085,0.0004284563440001832,-209277.39981031133,129665.638430154,75491872.0,0.1136905,0.006273566027258253
adaptive_line,33,0.016587,0.00044275084500014494,-216327.589436712,124438.00639850044,75847912.0,0.1141189,0.006284995447644943
adaptive_line,34,0.01709,0.00045708638300001603,-224371.45830855964,132912.9187619879,76034768.0,0.11451644,0.006295795758878548
adaptive_line,35,0.017593,0.00047139373999999234,-231402.23174292772,127306.15993428073,76356760.0,0.11488816,0.006306078134235117
adaptive_line,36,0.018095,0.0004857236600000481,-239475.03929431646,135649.05292626316,76510096.0,0.11523959,0.0063158947346164855
half_speed_adaptive_line,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
half_speed_adaptive_line,1,0.001005,1.5109332800189446e-06,-16722.436474163125,3245.3414496107807,28766642.0,0.04320972,0.001710203263384529
half_speed_adaptive_line,2,0.002011,1.1261225000142039e-05,-20400.368640403747,13111.545828081902,32201168.0,0.048358429,0.002677377637568407
half_speed_adaptive_line,3,0.003016,2.4330325600063762e-05,-20548.15638174207,22616.835163373795,35422088.0,0.053272352,0.0029259590752676447
half_speed_adaptive_line,4,0.004022,3.8348695400036714e-05,-29515.08374928009,25441.304138086376,36343524.0,0.054665942,0.003008376923732031
half_speed_adaptive_line,5,0.005027,5.253344770014823e-05,-38230.17827669392,31042.80458436236,35647724.0,0.053629488,0.0030556682937390913
half_speed_adaptive_line,6,0.006032,6.617994800006688e-05,-42709.66913737256,39363.68730301615,35141932.0,0.052856497,0.0030403859577502147
half_speed_adaptive_line,7,0.007038,7.907632899997741e-05,-49774.10543038913,43829.49372900207,34084828.0,0.051290501,0.0030099650034457292
half_speed_adaptive_line,8,0.008043,9.125712100002681e-05,-59601.61772020112,46268.93178414141,34130004.0,0.051368058,0.00300903499593636
half_speed_adaptive_line,9,0.009048,0.00010300805600008123,-68147.18723914059,50081.74546596067,34682424.0,0.05220231,0.003019764981020212
half_speed_adaptive_line,10,0.010054,0.00011475488200005102,-76064.39024746974,53642.89789686498,34898292.0,0.052534763,0.003028452683276382
half_speed_adaptive_line,11,0.011059,0.00012652667200005463,-84857.59862741687,56037.739358355124,35142944.0,0.05290924,0.0030406633001253264
half_speed_adaptive_line,12,0.012064,0.0001383109500001367,-93484.50484190207,58572.291881621626,35466360.0,0.053399432,0.003048135120716936
