case,part,time,axial_strain,pc_mean,pc_min,pc_max,void_ratio_mean,void_ratio_min,void_ratio_max,plastic_vol_strain_mean,eq_plastic_strain_mean,Kplastic_max
adaptive_line,1,0.000503,-2.0285726015645267e-08,120.0,120.0,120.0,0.8000175002702695,0.80001062,0.80002099,0.0,0.0,0.0
adaptive_line,2,0.001005,3.5209335100261363e-06,120.00135990171987,119.99577,120.04405,0.8000307715479129,0.79989302,0.80005389,1.0080403201990174e-06,3.562119514471745e-06,5.1022213e-05
adaptive_line,3,0.001508,1.239827192994758e-05,120.00044466830457,119.98267,120.0938,0.8000250521375922,0.79983646,0.80005997,3.2949845982800986e-07,1.4743582019877152e-05,0.00011552593
adaptive_line,4,0.002011,2.3928679700052635e-05,119.99849796068791,119.97002,120.12099,0.8000159433660939,0.79981226,0.80007595,-1.1127880796805893e-06,2.7167397227002457e-05,0.00017025421
adaptive_line,5,0.002513,3.695499710007488e-05,119.9943099017198,119.9427,120.13516,0.8000108647420149,0.79980111,0.80009723,-4.215386025773954e-06,4.1430663969459466e-05,0.0002255985
adaptive_line,6,0.003016,5.09983204001474e-05,119.98883808353783,119.89366,120.15652,0.8000130452579841,0.79977709,0.80016553,-8.270550873218673e-06,5.632535164226045e-05,0.00035871164
adaptive_line,7,0.003519,6.554677900005856e-05,119.98177208845175,119.83436,120.15862,0.8000231919656018,0.79977757,0.80024689,-1.3507812935380827e-05,7.194129927788703e-05,0.00041382358
adaptive_line,8,0.004021,8.037369540012107e-05,119.97311737100713,119.7706,120.15636,0.8000383533169523,0.79978371,0.80033356,-1.9923770809518426e-05,8.912210667599503e-05,0.00046935739
adaptive_line,9,0.004524,9.529225360002669e-05,119.96282385749379,119.70334,120.14989,0.8000544801474201,0.79979533,0.80042464,-2.7555077906169522e-05,0.00010797346470294844,0.00052476523
adaptive_line,10,0.005027,0.00011018524100014915,119.95193090909103,119.63322,120.14195,0.8000687397051595,0.79980814,0.80051941,-3.563442376989928e-05,0.00012724922548663394,0.00056861824
adaptive_line,11,0.005529,0.00012513439700004292,119.94055341523317,119.56087,120.12955,0.8000818189926278,0.79982632,0.80061692,-4.40754657542629e-05,0.00014775711827321865,0.00062957348
adaptive_line,12,0.006032,0.00013996571199992314,119.92904560196551,119.48697,120.11599,0.8000951983292395,0.79984504,0.80071634,-5.2615791467199014e-05,0.00016890593653390664,0.00071016653
adaptive_line,13,0.006535,0.0001546501670000866,119.9174931449632,119.41101,120.10236,0.8001100951597045,0.79986316,0.80081898,-6.119211631572492e-05,0.0001901232236329239,0.00079187448
adaptive_line,14,0.007037,0.00016930325000011348,119.90570587223571,119.33059,120.0891,0.800126772604423,0.79987699,0.80092698,-6.994623950909092e-05,0.00021137856469189193,0.00087454403
adaptive_line,15,0.00754,0.0001838220440000815,119.89387206388201,119.26051,120.08215,0.8001441437837837,0.79986906,0.8010205,-7.873448745798525e-05,0.00023248980601375918,0.00093087123
adaptive_line,16,0.008043,0.00019831431800010346,119.88136916461917,119.18402,120.08806,0.8001620391400491,0.79986143,0.80112326,-8.802131172628994e-05,0.00025481352865995083,0.0010103208
adaptive_line,17,0.008545,0.00021281655900012852,119.86916240786218,119.10706,120.09383,0.8001787054054058,0.79985398,0.80122674,-9.709206683513523e-05,0.0002759379615420146,0.0010900743
adaptive_line,18,0.009048,0.00022725380199997702,119.85696267813285,119.02966,120.09953,0.800194621744471,0.79984641,0.80133092,-0.00010615947645479123,0.0002968510987754301,0.0011700863
adaptive_line,19,0.00955,0.00024171819000010086,119.8441013759213,118.95189,120.10523,0.800211223095823,0.79983866,0.80143565,-0.00011572128472727268,0.00031931852265012275,0.0012503009
adaptive_line,20,0.010053,0.00025620331099998617,119.8316361179364,118.87385,120.11095,0.8002275474692878,0.79983091,0.80154073,-0.00012499114157837844,0.0003409687681439803,0.0013306647
adaptive_line,21,0.010556,0.0002706204520000477,119.8191831203934,118.79561,120.11668,0.8002442628501232,0.79982316,0.80164617,-0.00013425556176904183,0.0003625777158221131,0.0014111372
adaptive_line,22,0.011058,0.00028503452400005513,119.80661570024574,118.71721,120.12236,0.8002614004422607,0.79981565,0.80175191,-0.00014360820868918926,0.0003843367495027026,0.0014916917
adaptive_line,23,0.011561,0.0002993767860000329,119.79394653562643,118.63865,120.12798,0.8002786857002462,0.7998082,0.80185795,-0.0001530378612405405,0.00040614918283931185,0.0015723099
adaptive_line,24,0.012064,0.00031372353800004915,119.78132675675678,118.55993,120.13352,0.8002957422850128,0.79980075,0.80196428,-0.00016243389162972976,0.0004276921515051597,0.001652971
adaptive_line,25,0.012566,0.000328092510000072,119.76864022113033,118.51263,120.13905,0.8003126824815722,0.7997933,0.80202818,-0.00017188095224889436,0.00044968320035528237,0.0017013759
adaptive_line,26,0.013069,0.00034240977200006295,119.75639545454516,118.51263,120.14458,0.8003289745208837,0.79978585,0.80202818,-0.0001809996115830467,0.00047119636066732186,0.0017013759
