case,safety,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,bottom_Excess_mean,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,3,0.03,0.0027763734000000265,0.0023538214763100113,-9.641137500000371e-05,50.20317906088,26888.32417934,14451.464310065154,50.20306739999977,9761.095733436001,4905.945795304279,0.0,17132.71405976,9545.518303748493,17127.22802709,0.0,-0.053500798996537924,122971290.0,8867312.000000002,122804814.1121305,10.12270300000001
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,4,0.04,0.002703361200000022,0.002266379683410022,-0.00011950763300000149,50.47199597188,26670.27013816,14447.21912017071,50.47195950000037,9761.115057174,4906.172369595232,0.0,16913.48488231,9541.04652830686,16909.15466518001,0.0,-0.01415190648913267,125016710.0,7696803.333333334,124952227.60652396,10.093628000000134
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,5,0.05,0.002639317,0.0021926177024400397,-0.00014177128700000144,50.73344329958,26390.37399871,14381.645946652137,50.73339600000053,9761.132159928,4906.390776040933,0.0,16633.08174677,9475.254987445107,16629.241422310002,0.0,-0.013509787499060621,122592820.0,6869422.000000001,122591790.11756712,10.058594000000015
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,6,0.06,0.0026018075000000633,0.002137974319310094,-0.00016341654299999967,50.99047942978,26142.77492816,14320.564955664626,50.990614200000195,9761.147714664,4906.60311600234,0.0,16385.12299833,9413.961628839204,16381.62679392,0.0,-0.01268151450312871,121561710.0,6272049.0,121551918.4206592,10.010124000000005
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,7,0.07,0.0025715248,0.002090647538270292,-0.0001845541559999992,51.24416340499,25911.14236359,14258.863901271177,51.24439890000003,9761.162108876999,4906.81047598587,0.0,16153.26180985,9352.05322091611,16149.97983781,0.0,-0.009715806498206803,124407810.0,5798038.066666668,124403246.18008836,9.887641900000192
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,8,0.08,0.002547190100000008,0.0020493434473303858,-0.00020524648900000191,51.49517346723,25698.21446579,14197.674576800682,51.49524060000033,9761.17557114,4907.013467772617,0.0,15940.06766665,9290.660876813648,15937.038474850004,0.0,-0.010521830496145412,121508340.0,5427635.600000001,121507583.74176012,9.945635800000023
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,9,0.09,0.0025268190000000104,0.0020126049571908403,-0.00022555424349999856,51.74400727514,25496.24827397,14136.318153978005,51.74372789999968,9761.188293729,4907.212686844254,0.0,15737.90127712,9229.105258397212,15735.059565259999,0.0,-0.010270236503856722,120588760.0,5110413.133333334,120584449.14237174,9.924014100000003
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,10,0.1,0.0025153875000000045,0.001983259391851203,-0.00024552355099999936,51.99113710597,25301.0683518,14072.423882872647,51.991136100000155,9761.200559171999,4907.408585750836,0.0,15542.60931883,9165.015081574635,15539.867375409993,0.0,-0.008247278008639114,123449260.0,4860870.200000001,123426949.5834183,9.810754800000602
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,11,0.11,0.0024932947000000003,0.0019465830177135645,-0.0002651721190000036,52.23678090088,25126.87434182,14017.230222519414,52.236680399999976,9761.21215263,4907.601338202892,0.0,15368.24085553,9109.62867485938,15365.661771129997,0.0,-0.008776076001595357,120849990.0,4600887.2,120832698.79782537,9.889758100000027
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,12,0.12,0.0024814671000000016,0.0019201100192129952,-0.0002845099780000032,52.48078727423,24945.78515981,13950.599196513553,52.480557000000125,9761.223207519,4907.79104259969,0.0,15187.03866171,9042.807938156458,15184.561532360001,0.0,-0.008899538497644244,119821940.0,4427533.933333334,119834117.91301395,9.8640928
