case,part,time,region,total,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts
slower_half_velocity,4,0.004022,bottom_cap_zone,18,9,9,0,0,0,0:9|1:9
slower_half_velocity,4,0.004022,edge,112,52,60,0,0,0,0:52|1:60
slower_half_velocity,4,0.004022,interior,63,45,18,0,0,0,0:45|1:18
slower_half_velocity,4,0.004022,lateral_boundary,196,132,64,0,0,0,0:132|1:64
slower_half_velocity,4,0.004022,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,5,0.005027,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,5,0.005027,edge,112,0,112,0,0,0,1:112
slower_half_velocity,5,0.005027,interior,63,12,51,0,0,0,0:12|1:51
slower_half_velocity,5,0.005027,lateral_boundary,196,80,116,0,0,0,0:80|1:116
slower_half_velocity,5,0.005027,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,6,0.006032,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,6,0.006032,edge,112,0,112,0,0,0,1:112
slower_half_velocity,6,0.006032,interior,63,27,36,0,0,0,0:27|1:36
slower_half_velocity,6,0.006032,lateral_boundary,196,88,108,0,0,0,0:88|1:108
slower_half_velocity,6,0.006032,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,7,0.007038,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,7,0.007038,edge,112,0,112,0,0,0,1:112
slower_half_velocity,7,0.007038,interior,63,28,35,0,0,0,0:28|1:35
slower_half_velocity,7,0.007038,lateral_boundary,196,64,132,0,0,0,0:64|1:132
slower_half_velocity,7,0.007038,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,8,0.008043,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,8,0.008043,edge,112,0,112,0,0,0,1:112
slower_half_velocity,8,0.008043,interior,63,24,39,0,0,0,0:24|1:39
slower_half_velocity,8,0.008043,lateral_boundary,196,56,140,0,0,0,0:56|1:140
slower_half_velocity,8,0.008043,top_cap_zone,18,0,14,0,4,4,-3:4|1:14
slower_half_velocity,9,0.009048,bottom_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,9,0.009048,edge,112,0,96,0,16,16,-3:16|1:96
slower_half_velocity,9,0.009048,interior,63,32,31,0,0,0,0:32|1:31
slower_half_velocity,9,0.009048,lateral_boundary,196,48,148,0,0,0,0:48|1:148
