case,case_name,part,time,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,pairwise_reaction_avg,force_balance_error,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts,yield_fraction,return_iterations_max,yield_residual_maxAbs,yield_residual_converged_maxAbs,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,Kplastic_max,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,26,0.026039,0.00030682028000009187,46.25572807895992,62.01503145561041,0.23653646179539262,0.2552995,0.00938341,16,391,0,0,0,0:16|1:391,0.9606879606879607,17.0,4794.5791,9.5853276e-05,118.03333,119.6597683292382,120.16134,0.79975575,0.8004549049140045,0.80267715,-0.00025296458658525807,0.0020282147,0.0020282147,-198390.04643114825,67925.77576442476,30938718.0,0.046613023,0.0028665471027307563
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,27,0.027045,0.0003188698000000656,46.167138882293216,62.223228524284295,0.23660018518792114,0.255252,0.00825055,16,383,0,8,8,-3:8|0:16|1:383,0.941031941031941,17.0,4745.9189,9.4517294e-05,117.95914,119.64576459459467,120.16767,0.79974741,0.800473304103195,0.80277771,-0.0002634146029960687,0.0021037741,0.0021037741,-206264.0717890283,67739.88261317436,30709686.0,0.046268445,0.002857047833641446
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,28,0.02805,0.00033087988000002344,46.18480691801475,62.23930771918199,0.23662250396130693,0.2552525,0.00779568,12,387,0,8,8,-3:8|0:12|1:387,0.9508599508599509,17.0,4696.6416,9.36488e-05,117.88557,119.63169565110586,120.174,0.79973906,0.8004916866339068,0.80287749,-0.00027391781697002433,0.0021787821,0.0021787821,-214129.66158259127,67516.9113484455,30489246.0,0.045936771,0.0028480981848652918
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,29,0.029055,0.0003428719800001312,46.17797784084767,62.25402734055173,0.23658313396670358,0.2552525,0.00779568,12,387,0,8,8,-3:8|0:12|1:387,0.9508599508599509,17.0,4651.5464,9.2837014e-05,117.81261,119.61762786240794,120.18032,0.79973072,0.800510095651105,0.80297655,-0.0002844213488773956,0.002253267,0.002253267,-222004.74342655818,67253.14434815064,30280358.0,0.045622405,0.0028397668530996643
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,30,0.030061,0.00035490718000005805,46.163423672653586,62.268261535636846,0.236519933813996,0.2551825,0.006836,12,387,0,8,8,-3:8|0:12|1:387,0.9508599508599509,17.0,4601.4907,9.1998954e-05,117.74022,119.6035664127762,120.18658,0.79972237,0.8005285190909083,0.80307484,-0.00029492527501646183,0.0023272608,0.0023272608,-229882.865342798,66966.91362142887,30087690.0,0.045332335,0.0028319921822901294
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,31,0.031066,0.00036691742000008465,46.1652374961425,62.284171622477956,0.2365019657909027,0.2551825,0.006836,12,387,0,8,8,-3:8|0:12|1:387,0.9508599508599509,17.0,4543.2026,9.2190858e-05,117.66835,119.58950855036841,120.19283,0.79971403,0.8005469232432435,0.80317247,-0.00030542590604963117,0.0024007943,0.0024007943,-237751.6529300693,66668.83113849217,29906942.0,0.045060158,0.0028246139499495575
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,32,0.032071,0.0003789048900000591,46.26374939644554,62.10854740337735,0.2364130360643877,0.255146,0.00636094,12,395,0,0,0,0:12|1:395,0.9705159705159705,17.0,4481.5503,9.2498864e-05,117.59698,119.5753843488945,120.19909,0.79970568,0.8005657496068809,0.80326951,-0.00031598076499115483,0.0024738931,0.0024738931,-245617.27583039945,66355.8090305316,29734564.0,0.044800576,0.0028176310928719555
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,33,0.033077,0.00039094026000011106,46.25993364809992,62.12426789638198,0.23638275604693473,0.25510299999999997,0.00563387,12,395,0,0,0,0:12|1:395,0.9705159705159705,17.0,4419.1963,9.2690163e-05,117.5261,119.56134113022107,120.20529,0.79969734,0.8005846773955767,0.80336595,-0.00032647905601965605,0.0025465826,0.0025465826,-253485.8616941395,66027.93985319506,29571758.0,0.044555362,0.0028111276007520706
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,34,0.034082,0.00040295473000009907,46.25690516185093,62.13914072580849,0.23635245706108568,0.25510299999999997,0.00563387,12,395,0,0,0,0:12|1:395,0.9705159705159705,17.0,4354.3496,9.2847491e-05,117.45567,119.54730321867328,120.21147,0.79968899,0.8006036043734639,0.80346191,-0.0003369749989773957,0.0026188891,0.0026188891,-261352.4205676019,65693.95109202912,29420570.0,0.044327579,0.0028050875541443783
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,35,0.035088,0.00041495978999994687,46.26288268488124,62.146960703385105,0.23633914226071775,0.255056,0.00489551,8,399,0,0,0,0:8|1:399,0.9803439803439803,17.0,4289.6943,9.3030249e-05,117.38565,119.5332699754301,120.21765,0.79968065,0.8006225189926285,0.80355728,-0.00034747375825086,0.0026908382,0.0026908382,-269217.0545263433,65355.930842458874,29279766.0,0.044115391,0.002799434674461837
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,36,0.036093,0.00042693662000006793,46.257435106519246,62.1517787865231,0.23629957089102888,0.255056,0.00489551,8,399,0,0,0,0:8|1:399,0.9803439803439803,17.0,4235.7915,9.3119757e-05,117.31603,119.51923665847673,120.22383,0.79967231,0.8006414498280103,0.80365217,-0.0003579747359257987,0.0027624541,0.0027624541,-277088.0520727064,65009.588564030266,29148422.0,0.043917418,0.0027941535313531
early_stop,CaseM3d2_MCCMildEarlyStop,0,0.0,0.0,50.0,0.0,0.1413716694115407,0.144809,2.53653e-09,407,0,0,0,0,0:407,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.80000001,0.8000000100000014,0.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
early_stop,CaseM3d2_MCCMildEarlyStop,1,0.000503,-2.0285726015645267e-08,33.80963945045045,8.212251234237192,0.10962124211972994,0.3296945,0.638085,407,0,0,0,0,0:407,0.0,0.0,4596.9512,0.0,120.0,120.0,120.0,0.80001062,0.8000175002702695,0.80002099,0.0,0.0,0.0,-6276.254270591639,991.3949651708972,15441555.0,0.023162333,0.0049999999
early_stop,CaseM3d2_MCCMildEarlyStop,2,0.001005,3.5213260500543964e-06,18.493178463384115,32.876965405052474,0.11156239383737666,0.37390975,0.783163,161,150,92,4,96,-3:4|-1:92|0:161|1:150,0.36855036855036855,21.0,3888.0342,7.789192e-05,119.99577,120.00135990171987,120.04405,0.79989302,0.8000307715479129,0.80005389,1.0080403203464376e-06,5.1022213e-05,5.1022213e-05,-16020.743816638296,3489.4607794851318,28763496.0,0.043205004,0.0049999999
early_stop,CaseM3d2_MCCMildEarlyStop,3,0.001508,1.2303372170091587e-05,18.500652979475017,43.688338422116196,0.1279290951933325,0.27635586500000003,0.964818,120,130,157,0,157,-1:157|0:120|1:130,0.3194103194103194,22.0,3759.2253,9.7044758e-05,119.98267,120.00157511056517,120.09379,0.79983652,0.8000235949877162,0.80005747,1.166933091449631e-06,0.00011550775,0.00011550775,-18898.22295791297,5553.3443161071,38999052.0,0.058520902,0.0049999999
