case,label,route,feedback,frame,time,region,region_count,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean,porepress_mean,porepress_min,porepressrate_maxabs,divvel_maxabs,velocity_max
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,12,0.003318,top_cap,18,-76.84092038888889,-76.84092105555554,-175.04321172222222,109.57501772222223,118.66110459274702,6832.838075466389,2132.14877937,23174458.0,0.034748778,0.0014186140661928096
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,12,0.003318,bottom_cap,18,-76.84091705555555,-76.84091472222222,-175.0432002777778,109.57501068518519,118.66110161800154,6832.836498265389,2132.157612613,23174444.0,0.034748755,0.0014186140203014442
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,12,0.003318,edge,112,-2.4462735874107144,-2.446273527589286,5.976649542857143,-0.36136747595238095,60.252456325524314,-8412.476795136983,-15002.23495406,15302317.0,0.022914363,0.0008149250764749226
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,13,0.003519,interior,63,-31.715475158730158,-31.71547561904762,-90.45531769841271,51.29542282539681,72.41625916119627,-881.4706755594602,-4401.321298739,25012452.0,0.037500337,0.0006247361041381587
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,13,0.003519,lateral,196,-55.3941205155102,-55.394120283010196,-49.59826047959184,53.46216709270408,42.80409983166913,-1627.2773135767347,-6481.741333842,17485394.0,0.026247079,0.0006599495465685105
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,13,0.003519,top_cap,18,-73.892814,-73.89281466666667,-161.13746566666663,102.97436477777778,107.14872507772608,-1736.183641921828,-2508.552959196,32368464.0,0.048506487,0.0014992537000000005
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,13,0.003519,bottom_cap,18,-73.8928143888889,-73.89281161111111,-161.1374553888889,102.97436046296295,107.1487145576099,-1736.184061386911,-2508.553993017,32368442.0,0.048506454,0.0014992531
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,13,0.003519,edge,112,-6.157759103571428,-6.157759048214286,6.013691016964286,2.1006090449404757,54.94416372705153,-5303.278968324473,-6682.652924079,12590743.0,0.018876677,0.0008197915649145026
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,14,0.00382,interior,63,-14.096728290158731,-14.096728336190475,-81.59600525396827,36.596487293439154,78.87135156719992,-6760.653108186463,-10988.38934034,25857066.0,0.038820464,0.0005895822248110114
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,14,0.00382,lateral,196,-43.2585008622449,-43.258500518877554,-43.66022010714286,43.392407162755106,40.93891761715336,-5654.504416097459,-11638.11609013,20694698.0,0.031096501,0.0008284560275564099
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,14,0.00382,top_cap,18,-65.48758005555555,-65.48758044444443,-132.81656247222222,87.93057432407406,91.84045427597651,-7757.5378561865555,-12189.44925233,37794052.0,0.056727316,0.0016878581000000009
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,14,0.00382,bottom_cap,18,-65.48758133333334,-65.48757822222223,-132.81655395555555,87.93057117037038,91.84044482100359,-7757.53725359178,-12189.43993356,37794040.0,0.056727298,0.0016878578
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,14,0.00382,edge,112,-9.08362724205357,-9.08362740544643,9.120264595535716,3.015663350654762,47.765705732413736,-4937.427419665125,-9229.173922719,14867356.0,0.022327904,0.0007887684304307738
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,15,0.004021,interior,63,-2.038314993650794,-2.0383151063492067,-75.09138820634921,26.38933943544973,82.85405966899084,-10841.505849601319,-15325.64067372,23979086.0,0.035951797,0.0005226618832021449
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,15,0.004021,lateral,196,-34.039593050510206,-34.03959295153061,-39.03718672857142,35.70545757687074,39.85237583975127,-8728.585348785313,-15581.47147313,22642288.0,0.03396086,0.0008390856385288747
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,15,0.004021,top_cap,18,-59.280197611111106,-59.280198000000006,-112.821312,77.12723587037038,85.23659058855236,-12078.750530076,-19431.72761852,35000656.0,0.052589037,0.0015767782143491843
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,15,0.004021,bottom_cap,18,-59.280201,-59.2801975,-112.82130877777779,77.12723575925926,85.23658337263763,-12078.748891470168,-19431.71709339,35000656.0,0.052589037,0.001576778119275884
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,15,0.004021,edge,112,-9.699619028571428,-9.699619360267858,12.471031048214286,2.309402446875,44.657855175354435,-5222.321874131253,-12223.54316325,14708170.0,0.022102639,0.0007379367048976745
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,16,0.004323,interior,63,12.342702312698412,12.34270222253968,-67.3608416031746,14.22514568931217,87.45526897556358,-15702.366152794444,-19437.1148669,21141522.0,0.031722084,0.0006158791900000007
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,16,0.004323,lateral,196,-21.39340456377551,-21.393404785714285,-32.795805667857145,25.194205005782315,38.96245913305342,-12931.672429456654,-20239.45870964,21210338.0,0.031841286,0.0006984152700000019
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,16,0.004323,top_cap,18,-52.53925622222223,-52.53925661111112,-87.82567908333334,64.30139730555555,85.10137505128858,-17205.14514049228,-27583.76902533,25466066.0,0.038333226,0.0013573271181749793
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,16,0.004323,bottom_cap,18,-52.539261055555556,-52.53925811111112,-87.82568159444446,64.3014002537037,85.1013627553956,-17205.14255314128,-27583.75850021,25466060.0,0.038333219,0.0013573270206785483
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,16,0.004323,edge,112,-9.558827020446428,-9.558827430178571,17.911103739285714,0.4021835704464282,43.61652339209113,-5991.658489969102,-15914.79358875,10547114.0,0.015879037,0.0007522769508079481
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,17,0.004524,interior,63,17.62762078730159,17.627620653968254,-64.843289015873,9.862682524867724,89.18123493396392,-16216.492695688092,-16858.13364978,15526191.0,0.023293119,0.0006984015300000019
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,17,0.004524,lateral,196,-15.31258040357143,-15.312580499489796,-30.005871273979594,20.210344059013607,38.77068452898726,-14583.092876060766,-16328.63103339,16516445.0,0.024767902,0.0005570455151869726
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,17,0.004524,top_cap,18,-51.24752727777778,-51.24752761111111,-77.6257946111111,60.04028316666667,89.63257264467921,-15761.685730866668,-19371.71021694,19441084.0,0.029171381,0.0013224973215884177
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,17,0.004524,bottom_cap,18,-51.247532944444444,-51.24753005555556,-77.62580155555554,60.040288185185176,89.6325590851038,-15761.68368858,-19371.70908048,19441068.0,0.029171357,0.0013224972278591386
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,17,0.004524,edge,112,-9.282542580357141,-9.282542930892857,21.004706770535712,-0.813207086428571,44.733069947598146,-10229.265554915419,-13686.19514302,6040030.0,0.009058997,0.0007558577894896948
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,18,0.004826,interior,63,17.688165758730158,17.688165487301585,-66.0432258888889,10.222298214285715,89.45761475802215,-16070.030321793492,-17863.83557938,12164481.0,0.018246053,0.000752470050000001
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,18,0.004826,lateral,196,-11.595073985714285,-11.595074084183672,-28.94027730255102,17.376808457482994,38.49402001066092,-15715.840138227959,-17403.91251098,6212197.5,0.0093022091,0.00032061070514471625
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,18,0.004826,top_cap,18,-55.03194866666666,-55.031949166666664,-74.86136894444445,61.641755592592595,95.86277358190166,-15117.150506122778,-19010.70924463,14197629.0,0.021341655,0.001231604807827185
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,18,0.004826,bottom_cap,18,-55.03195294444444,-55.03195016666666,-74.86137772222223,61.64176027777777,95.86275639144262,-15117.148335377777,-19010.70122139,14197629.0,0.021341655,0.0012316047174296151
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,18,0.004826,edge,112,-9.207781425892858,-9.207781793750001,23.89315879669643,-1.8258651923511902,47.078705004291415,-10638.235901265276,-14016.29682649,4769084.5,0.0071252878,0.000717582682346034
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,19,0.005027,interior,63,12.833738290476191,12.83373803809524,-69.97357177777778,14.76869848306878,88.27028723990443,-14250.674708846667,-17084.46471643,17139898.0,0.025730062,0.000748310180000001
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,19,0.005027,lateral,196,-13.065914840306121,-13.065915042346939,-30.477396558673465,18.86974214710884,38.04236090798406,-15117.907464383776,-17191.01858323,8774725.0,0.013148178,0.00038283383765848924
