time,Tv,z,z_norm,analytical_excess,analytical_hydrostatic,analytical_porepress
0.1,0.027441722676,0.284999999928,0.282828282828,14041.828417,6965.1000007,21006.9284177
0.1,0.027441722676,0.294999999929,0.292929292929,13881.617508,6867.00000069,20748.6175087
0.1,0.027441722676,0.30499999993,0.30303030303,13718.1761642,6768.90000068,20487.0761648
0.1,0.027441722676,0.314999999931,0.313131313131,13551.6767255,6670.80000067,20222.4767262
0.1,0.027441722676,0.324999999932,0.323232323232,13382.287713,6572.70000066,19954.9877137
0.1,0.027441722676,0.334999999933,0.333333333333,13210.1734306,6474.60000065,19684.7734313
0.1,0.027441722676,0.344999999934,0.343434343434,13035.4936121,6376.50000064,19411.9936128
0.1,0.027441722676,0.354999999935,0.353535353535,12858.4031134,6278.40000063,19136.803114
0.1,0.027441722676,0.364999999936,0.363636363636,12679.0516489,6180.30000062,18859.3516495
0.1,0.027441722676,0.374999999937,0.373737373737,12497.5835726,6082.20000061,18579.7835732
0.1,0.027441722676,0.384999999938,0.383838383838,12314.1377009,5984.1000006,18298.2377015
0.1,0.027441722676,0.394999999939,0.393939393939,12128.8471776,5886.00000059,18014.8471782
0.1,0.027441722676,0.40499999994,0.40404040404,11941.8393777,5787.90000058,17729.7393783
0.1,0.027441722676,0.414999999941,0.414141414141,11753.2358493,5689.80000057,17443.0358499
0.1,0.027441722676,0.424999999942,0.424242424242,11563.1522904,5591.70000056,17154.852291
0.1,0.027441722676,0.434999999943,0.434343434343,11371.6985592,5493.60000055,16865.2985598
0.1,0.027441722676,0.444999999944,0.444444444444,11178.9787146,5395.50000055,16574.4787152
0.1,0.027441722676,0.454999999945,0.454545454545,10985.0910851,5297.40000054,16282.4910856
0.1,0.027441722676,0.464999999946,0.464646464646,10790.1283625,5199.30000053,15989.4283631
0.1,0.027441722676,0.474999999947,0.474747474747,10594.1777192,5101.20000052,15695.3777197
0.1,0.027441722676,0.484999999948,0.484848484848,10397.3209449,5003.10000051,15400.4209454
0.1,0.027441722676,0.494999999949,0.494949494949,10199.6346009,4905.0000005,15104.6346014
0.1,0.027441722676,0.504999999951,0.505050505051,10001.1901901,4806.90000049,14808.0901905
0.1,0.027441722676,0.514999999952,0.515151515152,9802.05433829,4708.80000048,14510.8543388
0.1,0.027441722676,0.524999999953,0.525252525253,9602.28898683,4610.70000047,14212.9889873
0.1,0.027441722676,0.534999999954,0.535353535354,9401.95159213,4512.60000046,13914.5515926
0.1,0.027441722676,0.544999999955,0.545454545455,9201.09533163,4414.50000045,13615.5953321
0.1,0.027441722676,0.554999999956,0.555555555556,8999.76931318,4316.40000044,13316.1693136
0.1,0.027441722676,0.564999999957,0.565656565657,8798.01878652,4218.30000043,13016.3187869
0.1,0.027441722676,0.574999999958,0.575757575758,8595.88535497,4120.20000042,12716.0853554
0.1,0.027441722676,0.584999999959,0.585858585859,8393.40718584,4022.10000041,12415.5071862
0.1,0.027441722676,0.59499999996,0.59595959596,8190.61921829,3924.0000004,12114.6192187
0.1,0.027441722676,0.604999999961,0.606060606061,7987.55336733,3825.90000039,11813.4533677
0.1,0.027441722676,0.614999999962,0.616161616162,7784.23872293,3727.80000038,11512.0387233
0.1,0.027441722676,0.624999999963,0.626262626263,7580.70174342,3629.70000037,11210.4017438
0.1,0.027441722676,0.634999999964,0.636363636364,7376.96644231,3531.60000036,10908.5664427
0.1,0.027441722676,0.644999999965,0.646464646465,7173.05456799,3433.50000035,10606.5545683
