step,time,factor,applied,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,kind,scale,relax,limiter
43.0,0.0043197,0.879799,407.0,495386.0,146488.0,495386.0,146488.0,38248.6,95.511,2.05553,0.0,0.0,0.0,409758.0,495386.0,58805.6,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
44.0,0.00432888,0.885918,407.0,653849.0,184975.0,653849.0,184975.0,40369.5,116.141,2.06491,0.0,0.0,0.0,528139.0,653849.0,67716.6,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
45.0,0.00433709,0.891392,407.0,819242.0,222998.0,819242.0,222998.0,42715.3,131.272,2.07266,0.0,0.0,0.0,646066.0,819242.0,75984.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
46.0,0.00434437,0.896249,407.0,986552.0,260194.0,986552.0,260194.0,45137.2,141.818,2.07871,0.0,0.0,0.0,762135.0,986552.0,83682.8,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
47.0,0.00435085,0.900564,407.0,1154140.0,296418.0,1154140.0,296418.0,47520.7,165.287,2.08305,0.0,0.0,0.0,875518.0,1154140.0,90929.9,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
48.0,0.00435663,0.904422,407.0,1320820.0,331625.0,1320820.0,331625.0,49824.7,191.379,2.08571,0.0,0.0,0.0,985772.0,1320820.0,97841.4,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
49.0,0.00436185,0.907901,407.0,1485630.0,365796.0,1485630.0,365796.0,52041.1,218.591,2.08672,0.0,0.0,0.0,1092650.0,1485630.0,104517.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
50.0,0.00436688,0.911252,407.0,312033.0,137600.0,312033.0,137600.0,54298.7,236.68,2.08604,0.0,0.0,0.0,256936.0,312033.0,109343.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
51.0,0.00437191,0.914603,407.0,452930.0,166845.0,452930.0,166845.0,53982.3,291.231,2.08339,0.0,0.0,0.0,363584.0,452930.0,117358.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
52.0,0.00437693,0.917955,407.0,618647.0,198291.0,618647.0,198291.0,53904.1,431.897,2.0787,0.0,0.0,0.0,468941.0,618647.0,125107.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
