case,part,time,axial_strain_proxy,pairwise_top_fz,pairwise_bottom_fz,pairwise_reaction_avg_abs,pairwise_reaction_avg_compression,reaction_axial_stress_avg,top_axial_stress,bottom_axial_stress,force_balance_error,Fz_proxy,pairwise_over_Fz_proxy,p_proxy,q_proxy,MccPc_mean,MccYieldFlag_fraction,MccEqPlasticStrain_max
mcc_high_pc,35,0.017594,0.0006131286499999611,3.16962,-3.50724,3.33843,3.33843,1180.73,1121.03,1240.43,0.0505647,3.0889920396315063,1.0807505999265214,385.60364913192166,1060.3557005650182,100000.0,0.0,0.0
mcc_high_pc,36,0.018097,0.0006314266000000124,3.16962,-3.50724,3.33843,3.33843,1180.73,1121.03,1240.43,0.0505647,3.176123108637834,1.0511022041056135,395.9054204483719,1091.1275113544698,100000.0,0.0,0.0
mcc_mild_yield,0,0.0,0.0,0.144809,-0.144809,0.144809,0.144809,51.2159,51.2159,51.2159,2.53653e-09,0.1413716694115407,1.024314140186412,50.0,0.0,120.0,0.0,0.0
mcc_mild_yield,1,0.000503,-2.0285726015645267e-08,0.540068,-0.119321,0.3296945,0.3296945,116.60565,191.01,42.2013,0.638085,0.10962124211972994,3.00757858262455,33.80963945045045,7.441415995085997,120.0,0.0,0.0
mcc_mild_yield,2,0.001005,3.5213260500543964e-06,0.666742,-0.0810775,0.37390975,0.37390975,132.24365,235.812,28.6753,0.783163,0.11156239383737666,3.351575178146897,18.493178463384115,31.445920446201495,120.00135990171987,0.36855036855036855,5.1022213e-05
mcc_mild_yield,3,0.001508,1.2303372170091587e-05,0.542989,-0.00972273,0.27635586500000003,0.27635586500000003,97.740855,192.043,3.43871,0.964818,0.1279290951933325,2.1602268395813944,18.500652979475017,40.1175134150958,120.00157511056517,0.3194103194103194,0.00011550775
mcc_mild_yield,4,0.002011,2.375143980007377e-05,0.410684,-0.0872629,0.24897344999999999,0.24897344999999999,88.05645,145.25,30.8629,0.649509,0.16956962807656037,1.4682667693744598,32.046113058173624,41.89031210153565,120.00008009828,0.3464373464373464,0.00017018846
mcc_mild_yield,5,0.002513,3.682086509998461e-05,0.410684,-0.0872629,0.24897344999999999,0.24897344999999999,88.05645,145.25,30.8629,0.649509,0.21343089280250108,1.1665295812185368,48.343031414004976,40.71405820577413,119.99695206388196,0.44717444717444715,0.00022549932
mcc_mild_yield,6,0.003016,5.091539840004766e-05,0.363702,-0.256683,0.3101925,0.3101925,109.708,128.633,90.783,0.172505,0.24426352483765734,1.269909210579682,57.74506311440621,42.96822997826775,119.99215009827994,0.4250614250614251,0.00028229438
mcc_mild_yield,7,0.003519,6.57151932001443e-05,0.363702,-0.256683,0.3101925,0.3101925,109.708,128.633,90.783,0.172505,0.256013124905175,1.2116273340083346,56.88484598216544,50.49191211028993,119.98605899262907,0.4742014742014742,0.00033631627
mcc_mild_yield,8,0.004021,8.101679450006616e-05,0.33752,-0.265196,0.301358,0.301358,106.5835,119.373,93.794,0.119997,0.25292418944165224,1.191495367308555,50.03489328950861,59.12810998957015,119.97813277641275,0.6535626535626535,0.00040012356
mcc_mild_yield,9,0.004524,9.63944103000991e-05,0.33752,-0.265196,0.301358,0.301358,106.5835,119.373,93.794,0.119997,0.24539022859485826,1.2280766097559048,45.070092965208836,62.578420109926256,119.96711938574953,0.855036855036855,0.00047462969
mcc_mild_yield,10,0.005027,0.0001117352160001639,0.319048,-0.235437,0.2772425,0.2772425,98.05445,112.84,83.2689,0.15079,0.2439933902539333,1.1362705346708903,43.96820416170351,63.49020755965595,119.95456734643724,0.9557739557739557,0.00055048795
