nu,eta,root_index,xi,residual,scaled_residual
0.2,1.3333333333333335,31,9.7373966514742108e+01,5.7312377066409681e-11,5.8858008066970377e-13
0.2,1.3333333333333335,32,1.0051604081585393e+02,-3.1803892852622084e-11,3.1640614368095769e-13
0.2,1.3333333333333335,33,1.0365808590727747e+02,-3.3423930290155113e-11,3.2244402351836729e-13
0.2,1.3333333333333335,34,1.0680010436846879e+02,9.7159613687836099e-11,9.0973332153814544e-13
0.2,1.3333333333333335,35,1.0994209848379745e+02,3.1320723792305216e-11,2.8488380906165927e-13
0.2,1.3333333333333335,36,1.1308407028357720e+02,-5.9444005273689982e-11,5.2566205942732875e-13
0.2,1.3333333333333335,37,1.1622602157843485e+02,9.4928509497549385e-12,8.1675779836858088e-14
0.2,1.3333333333333335,38,1.1936795398824583e+02,6.1817218011128716e-11,5.1787113664680767e-13
0.2,1.3333333333333335,39,1.2250986896661303e+02,-1.3588419278676156e-10,1.1091693586236172e-12
0.2,1.3333333333333335,40,1.2565176782166978e+02,-6.6663119469012599e-11,5.3053865158207461e-13
0.2,1.3333333333333335,41,1.2879365173383559e+02,2.0895640773233026e-10,1.6224123232705575e-12
0.2,1.3333333333333335,42,1.3193552177103271e+02,1.5489831639570184e-11,1.1740455816326834e-13
0.2,1.3333333333333335,43,1.3507737890177737e+02,-6.9888983489363454e-11,5.1739961241166674e-13
0.2,1.3333333333333335,44,1.3821922400648452e+02,-2.7785063139162958e-10,2.0102169823974287e-12
0.2,1.3333333333333335,45,1.4136105788726383e+02,-2.5181634555337951e-11,1.7813699848950221e-13
0.2,1.3333333333333335,46,1.4450288127643699e+02,2.2055246517993510e-10,1.5262842043798216e-12
0.2,1.3333333333333335,47,1.4764469484396687e+02,-1.2309442354307976e-10,8.3372059980324920e-13
0.2,1.3333333333333335,48,1.5078649920395708e+02,4.2149395085289143e-10,2.7953029818776507e-12
0.2,1.3333333333333335,49,1.5392829492035571e+02,-3.4407321436447091e-10,2.2352824381150871e-12
0.2,1.3333333333333335,50,1.5707008251197328e+02,9.5099039754131809e-11,6.0545610108038835e-13
0.2,1.3333333333333335,51,1.6021186245691098e+02,-2.5946178539015818e-10,1.6194917243405775e-12
0.2,1.3333333333333335,52,1.6335363519647660e+02,4.7197090680128895e-10,2.8892586701988824e-12
0.2,1.3333333333333335,53,1.6649540113865788e+02,5.2466475608525798e-11,3.1512267155544449e-13
0.2,1.3333333333333335,54,1.6963716066120872e+02,4.5560000216937624e-10,2.6857323029477916e-12
0.2,1.3333333333333335,55,1.7277891411439947e+02,-1.3631051842821762e-10,7.8893028774312367e-13
0.2,1.3333333333333335,56,1.7592066182347151e+02,5.3822191148356069e-10,3.0594582006631805e-12
0.2,1.3333333333333335,57,1.7906240409083421e+02,-4.5102410695108119e-10,2.5188096252873221e-12
0.2,1.3333333333333335,58,1.8220414119803354e+02,-3.4597746889630798e-10,1.8988452546765825e-12
0.2,1.3333333333333335,59,1.8534587340752131e+02,-2.5826807359408122e-10,1.3934384879787711e-12
0.2,1.3333333333333335,60,1.8848760096424672e+02,4.6694026423210744e-10,2.4772996305445167e-12
0.2,1.3333333333333335,61,1.9162932409709174e+02,4.0503778109268751e-10,2.1136524015844945e-12
0.2,1.3333333333333335,62,1.9477104302016716e+02,-5.8622617871151306e-10,3.0098220434688203e-12
0.2,1.3333333333333335,63,1.9791275793398529e+02,1.9801404960162472e-10,1.0005117995853258e-12
0.2,1.3333333333333335,64,2.0105446902652307e+02,-4.8720494305598550e-10,2.4232485127784627e-12
0.2,1.3333333333333335,65,2.0419617647418613e+02,6.0725824369001202e-10,2.9738962510151303e-12
0.2,1.3333333333333335,66,2.0733788044268624e+02,-2.2424728740588762e-11,1.0815548366130596e-13
0.2,1.3333333333333335,67,2.1047958108783911e+02,1.4443912732531317e-10,6.8623819269639978e-13
0.2,1.3333333333333335,68,2.1362127855629262e+02,-4.4707348934025504e-10,2.0928321951899752e-12
0.2,1.3333333333333335,69,2.1676297298619113e+02,4.3010572881030384e-10,1.9842213957678570e-12
0.2,1.3333333333333335,70,2.1990466450778325e+02,8.6365048446168657e-10,3.9273859260394489e-12
0.2,1.3333333333333335,71,2.2304635324397793e+02,-4.9880100050359033e-10,2.2363109427661423e-12
