nu,eta,Tv,normalized_center_pressure,root_count,formula
0.1,1.125,1.1934236988687848e-03,1.0709251262562902e+00,200,paper_eq_46_47
0.1,1.125,1.2165834472092367e-03,1.0716255916758968e+00,200,paper_eq_46_47
0.1,1.125,1.2401926368869941e-03,1.0723331176256836e+00,200,paper_eq_46_47
0.1,1.125,1.2642599898239333e-03,1.0730477778516467e+00,200,paper_eq_46_47
0.1,1.125,1.2887943972007742e-03,1.0737696469137339e+00,200,paper_eq_46_47
0.1,1.125,1.3138049227417409e-03,1.0744988001954701e+00,200,paper_eq_46_47
0.1,1.125,1.3393008060629665e-03,1.0752353139137056e+00,200,paper_eq_46_47
0.1,1.125,1.3652914660858754e-03,1.0759792651284836e+00,200,paper_eq_46_47
0.1,1.125,1.3917865045168091e-03,1.0767307317530295e+00,200,paper_eq_46_47
0.1,1.125,1.4187957093941684e-03,1.0774897925638687e+00,200,paper_eq_46_47
0.1,1.125,1.4463290587044160e-03,1.0782565272110638e+00,200,paper_eq_46_47
0.1,1.125,1.4743967240682125e-03,1.0790310162285839e+00,200,paper_eq_46_47
0.1,1.125,1.5030090744981336e-03,1.0798133410448052e+00,200,paper_eq_46_47
0.1,1.125,1.5321766802292613e-03,1.0806035839931272e+00,200,paper_eq_46_47
0.1,1.125,1.5619103166241593e-03,1.0814018283227429e+00,200,paper_eq_46_47
0.1,1.125,1.5922209681535841e-03,1.0822081582095229e+00,200,paper_eq_46_47
0.1,1.125,1.6231198324544850e-03,1.0830226587670415e+00,200,paper_eq_46_47
0.1,1.125,1.6546183244667283e-03,1.0838454160577409e+00,200,paper_eq_46_47
0.1,1.125,1.6867280806501111e-03,1.0846765171042305e+00,200,paper_eq_46_47
0.1,1.125,1.7194609632832077e-03,1.0855160499007213e+00,200,paper_eq_46_47
0.1,1.125,1.7528290648456406e-03,1.0863641034246112e+00,200,paper_eq_46_47
0.1,1.125,1.7868447124853963e-03,1.0872207676481980e+00,200,paper_eq_46_47
0.1,1.125,1.8215204725728241e-03,1.0880861335505527e+00,200,paper_eq_46_47
0.1,1.125,1.8568691553430376e-03,1.0889602931295246e+00,200,paper_eq_46_47
0.1,1.125,1.8929038196283628e-03,1.0898433394138951e+00,200,paper_eq_46_47
0.1,1.125,1.9296377776826792e-03,1.0907353664756871e+00,200,paper_eq_46_47
0.1,1.125,1.9670846000993240e-03,1.0916364694426157e+00,200,paper_eq_46_47
0.1,1.125,2.0052581208244960e-03,1.0925467445106949e+00,200,paper_eq_46_47
0.1,1.125,2.0441724422678867e-03,1.0934662889569917e+00,200,paper_eq_46_47
0.1,1.125,2.0838419405125449e-03,1.0943952011525444e+00,200,paper_eq_46_47
0.1,1.125,2.1242812706258082e-03,1.0953335805754250e+00,200,paper_eq_46_47
0.1,1.125,2.1655053720733160e-03,1.0962815278239604e+00,200,paper_eq_46_47
0.1,1.125,2.2075294742380795e-03,1.0972391446301237e+00,200,paper_eq_46_47
0.1,1.125,2.2503691020466627e-03,1.0982065338730713e+00,200,paper_eq_46_47
0.1,1.125,2.2940400817045392e-03,1.0991837995928466e+00,200,paper_eq_46_47
0.1,1.125,2.3385585465427556e-03,1.1001710470042501e+00,200,paper_eq_46_47
0.1,1.125,2.3839409429780539e-03,1.1011683825108671e+00,200,paper_eq_46_47
