step,time,factor,applied,class_skipped,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,operator,mode,class_filter,stabilized
47.0,0.00391541,0.610273,224.0,0.0,2331850.0,1705810.0,2331850.0,1705810.0,134992.0,95.0061,1.09615,0.0,0.0,0.0,2323440.0,2331850.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
48.0,0.00392044,0.613624,202.0,0.0,2266640.0,1582710.0,2266640.0,1582710.0,135132.0,84.2875,0.98158,0.0,0.0,0.0,2180750.0,2266640.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
49.0,0.00392546,0.616975,186.0,0.0,2151800.0,1468400.0,2151800.0,1468400.0,128456.0,73.5637,0.864163,0.0,0.0,0.0,1994910.0,2151800.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
50.0,0.00393049,0.620327,162.0,0.0,2207300.0,1521300.0,2207300.0,1521300.0,128394.0,89.7876,0.880639,0.0,0.0,0.0,1859410.0,2207300.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
51.0,0.00393552,0.623678,130.0,0.0,1884300.0,1251840.0,1884300.0,1251840.0,117087.0,71.4567,0.289867,0.0,0.0,0.0,947826.0,1884300.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
52.0,0.00394054,0.62703,114.0,0.0,2051160.0,1380590.0,2051160.0,1380590.0,133182.0,61.131,0.0915991,0.0,0.0,0.0,305889.0,2051160.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
53.0,0.00394557,0.630381,106.0,0.0,2215750.0,1578170.0,2215750.0,1578170.0,151263.0,51.9825,0.0,0.0,0.0,0.0,0.0,2215750.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
54.0,0.0039506,0.633732,96.0,0.0,2146770.0,1555600.0,2146770.0,1555600.0,142333.0,44.926,0.0,0.0,0.0,0.0,0.0,2146770.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
55.0,0.00395563,0.637084,80.0,0.0,1907900.0,1389680.0,1907900.0,1389680.0,132229.0,36.5472,0.0,0.0,0.0,0.0,0.0,1907900.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
56.0,0.00396065,0.640435,72.0,0.0,1786380.0,1244200.0,1786380.0,1244200.0,131968.0,32.9974,0.0,0.0,0.0,0.0,0.0,1786380.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
