averaging_radius,averaging_radius_over_R,case,case_name,center_count,center_excess,center_excess_over_p0,configured_dp,frame_index,kind,resolution,time
0.015,0.3,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,19,675.7223889148157,nan,0.01,4,diffusion,coarse,0.004022
0.020000000000000004,0.4000000000000001,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,27,666.2127425336739,nan,0.01,4,diffusion,coarse,0.004022
nearest,nearest,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,721.9191734756,nan,0.01,4,diffusion,coarse,0.004022
0.005000000000000001,0.10000000000000002,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,670.0650329057,nan,0.01,5,diffusion,coarse,0.005027
0.0075,0.15,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,670.0650329057,nan,0.01,5,diffusion,coarse,0.005027
0.010000000000000002,0.20000000000000004,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,670.0650329057,nan,0.01,5,diffusion,coarse,0.005027
0.015,0.3,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,19,716.2449939982369,nan,0.01,5,diffusion,coarse,0.005027
0.020000000000000004,0.4000000000000001,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,27,721.2799740006891,nan,0.01,5,diffusion,coarse,0.005027
nearest,nearest,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,670.0650329057,nan,0.01,5,diffusion,coarse,0.005027
0.005000000000000001,0.10000000000000002,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,542.4310967859,nan,0.01,6,diffusion,coarse,0.006032
0.0075,0.15,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,542.4310967859,nan,0.01,6,diffusion,coarse,0.006032
0.010000000000000002,0.20000000000000004,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,542.4310967859,nan,0.01,6,diffusion,coarse,0.006032
0.015,0.3,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,19,532.6298100672052,nan,0.01,6,diffusion,coarse,0.006032
0.020000000000000004,0.4000000000000001,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,27,529.9586899364443,nan,0.01,6,diffusion,coarse,0.006032
nearest,nearest,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,542.4310967859,nan,0.01,6,diffusion,coarse,0.006032
0.005000000000000001,0.10000000000000002,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,1000.0,nan,0.008,0,diffusion,finer,0.0
0.0075,0.15,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,1000.0,nan,0.008,0,diffusion,finer,0.0
0.010000000000000002,0.20000000000000004,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,7,1000.0,nan,0.008,0,diffusion,finer,0.0
0.015,0.3,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,27,1000.0,nan,0.008,0,diffusion,finer,0.0
0.020000000000000004,0.4000000000000001,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,81,1000.0,nan,0.008,0,diffusion,finer,0.0
nearest,nearest,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,1000.0,nan,0.008,0,diffusion,finer,0.0
0.005000000000000001,0.10000000000000002,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,902.6782859277,nan,0.008,1,diffusion,finer,0.001046
0.0075,0.15,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,902.6782859277,nan,0.008,1,diffusion,finer,0.001046
0.010000000000000002,0.20000000000000004,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,7,889.8370111414285,nan,0.008,1,diffusion,finer,0.001046
0.015,0.3,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,27,873.3647732741263,nan,0.008,1,diffusion,finer,0.001046
0.020000000000000004,0.4000000000000001,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,81,852.4917193748208,nan,0.008,1,diffusion,finer,0.001046
nearest,nearest,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,902.6782859277,nan,0.008,1,diffusion,finer,0.001046
0.005000000000000001,0.10000000000000002,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,744.7396202472,nan,0.008,2,diffusion,finer,0.002011
0.0075,0.15,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,744.7396202472,nan,0.008,2,diffusion,finer,0.002011
0.010000000000000002,0.20000000000000004,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,7,750.7205486945143,nan,0.008,2,diffusion,finer,0.002011
0.015,0.3,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,27,755.1093731528999,nan,0.008,2,diffusion,finer,0.002011
0.020000000000000004,0.4000000000000001,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,81,754.7787993014259,nan,0.008,2,diffusion,finer,0.002011
nearest,nearest,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,744.7396202472,nan,0.008,2,diffusion,finer,0.002011
0.005000000000000001,0.10000000000000002,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,597.8296951252,nan,0.008,3,diffusion,finer,0.003056
0.0075,0.15,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,597.8296951252,nan,0.008,3,diffusion,finer,0.003056
0.010000000000000002,0.20000000000000004,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,7,606.8796982887143,nan,0.008,3,diffusion,finer,0.003056
0.015,0.3,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,27,611.9360750294147,nan,0.008,3,diffusion,finer,0.003056
0.020000000000000004,0.4000000000000001,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,81,608.9789926480838,nan,0.008,3,diffusion,finer,0.003056
nearest,nearest,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,597.8296951252,nan,0.008,3,diffusion,finer,0.003056
0.005000000000000001,0.10000000000000002,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,610.5979605192,nan,0.008,4,diffusion,finer,0.004022
0.0075,0.15,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,610.5979605192,nan,0.008,4,diffusion,finer,0.004022
0.010000000000000002,0.20000000000000004,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,7,610.5641897544714,nan,0.008,4,diffusion,finer,0.004022
0.015,0.3,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,27,612.9196135687297,nan,0.008,4,diffusion,finer,0.004022
0.020000000000000004,0.4000000000000001,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,81,615.2523509272987,nan,0.008,4,diffusion,finer,0.004022
nearest,nearest,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,610.5979605192,nan,0.008,4,diffusion,finer,0.004022
0.005000000000000001,0.10000000000000002,finer_diffusion,CaseCryer_PR_StrictSphere_C5g_FinerDiffusionNormalized,1,539.7424507934,nan,0.008,5,diffusion,finer,0.005067
