dp_label,dp,field,r_over_R,exact_laplacian,material_laplacian,mode8_exact_boundary_laplacian,mode8_zero_boundary_laplacian
dp=0.010,0.01,constant,0.9797958971132699,0.0,0.0,2.8124357470201794e-13,3472.808144727222
dp=0.010,0.01,constant,0.9797958971132699,0.0,0.0,-7.358792073174968e-13,3486.259032898774
dp=0.010,0.01,constant,0.9797958971132721,0.0,0.0,-9.504553467684119e-13,3485.007523529189
dp=0.010,0.01,constant,0.9797958971132721,0.0,0.0,6.089999168210007e-13,3466.6643422329025
dp=0.010,0.01,constant,0.9797958971132743,0.0,0.0,3.7234986980522917e-13,3468.0209603975236
dp=0.010,0.01,constant,0.9797958971132743,0.0,0.0,4.503811649315506e-14,3460.7797838855136
dp=0.010,0.01,constant,0.9797958971132743,0.0,0.0,-4.760337225490929e-13,3490.6172570192375
dp=0.010,0.01,constant,0.9797958971132765,0.0,0.0,1.6744774334347606e-12,3472.1901440547863
dp=0.010,0.01,constant,0.999999999999997,0.0,0.0,-8.881969548414706e-12,-566.9218468344144
dp=0.010,0.01,constant,0.999999999999997,0.0,0.0,-1.421660737361212e-12,-567.9594649562941
dp=0.010,0.01,constant,0.9999999999999981,0.0,0.0,5.725360045117564e-12,7470.982094488916
dp=0.010,0.01,constant,0.9999999999999981,0.0,0.0,-2.4684303563738164e-13,7470.6394071580835
dp=0.010,0.01,constant,1.0000000000000002,0.0,0.0,9.910069810278683e-12,-562.3538158534298
dp=0.010,0.01,constant,1.0000000000000002,0.0,0.0,-1.068783361399036e-11,-563.5615800047899
dp=0.010,0.01,constant,1.0000000000000013,0.0,0.0,-2.8578221846511715e-12,-562.8870667449027
dp=0.010,0.01,constant,1.0000000000000013,0.0,0.0,3.864807859841628e-12,-574.6693249422328
dp=0.010,0.01,constant,1.0000000000000013,0.0,0.0,-1.4501037211936467e-13,-564.5642893888488
dp=0.010,0.01,constant,1.0000000000000036,0.0,0.0,1.4243927536357866e-11,7471.806789408797
dp=0.010,0.01,constant,1.0000000000000047,0.0,0.0,-4.994359013432395e-13,-564.0120966645413
dp=0.010,0.01,constant,1.0000000000000047,0.0,0.0,-1.1331527600974958e-11,-575.8595925616792
dp=0.010,0.01,constant,1.0198039027185535,0.0,0.0,1.4856373316826005e-12,7476.335094718282
dp=0.010,0.01,constant,1.0198039027185535,0.0,0.0,-2.267670818380478e-12,7516.766494528713
dp=0.010,0.01,constant,1.0198039027185535,0.0,0.0,-1.4006817674531523e-12,7485.304930963612
dp=0.010,0.01,constant,1.0198039027185546,0.0,0.0,3.133967796812724e-12,14752.60089397813
dp=0.010,0.01,constant,1.0198039027185546,0.0,0.0,-2.117655932540449e-12,14776.27475859813
dp=0.010,0.01,constant,1.0198039027185546,0.0,0.0,6.492272233604889e-13,7472.258835507011
dp=0.010,0.01,constant,1.0198039027185546,0.0,0.0,-5.737727661864659e-12,7470.479559941281
dp=0.010,0.01,constant,1.0198039027185557,0.0,0.0,-4.62350705568185e-12,14743.971186351306
dp=0.010,0.01,constant,1.0198039027185557,0.0,0.0,-7.259948737522017e-13,14767.062855662985
dp=0.010,0.01,constant,1.0198039027185557,0.0,0.0,-5.069467557168439e-13,14761.184779278972
dp=0.010,0.01,constant,1.0198039027185568,0.0,0.0,-1.8550509477113984e-12,7491.309433217146
dp=0.010,0.01,constant,1.0198039027185568,0.0,0.0,3.298730332580731e-13,7496.380173533264
dp=0.010,0.01,constant,1.019803902718558,0.0,0.0,-1.8645390092044538e-12,7467.686477591917
dp=0.010,0.01,constant,1.019803902718558,0.0,0.0,-2.1474345399892866e-13,7464.1127163761175
dp=0.010,0.01,constant,1.019803902718558,0.0,0.0,7.138847101180737e-14,7506.004579311478
dp=0.010,0.01,constant,1.019803902718558,0.0,0.0,1.420677518457734e-12,7460.336437619511
dp=0.010,0.01,constant,1.019803902718558,0.0,0.0,-1.9217909334107092e-12,7485.141150104562
dp=0.010,0.01,constant,1.019803902718559,0.0,0.0,1.5879956883952827e-15,7472.308045669832
dp=0.010,0.01,constant,1.019803902718559,0.0,0.0,-1.3805417919607872e-12,7484.853356496982
dp=0.010,0.01,constant,1.019803902718559,0.0,0.0,2.178744794281758e-12,7479.003411237815
dp=0.010,0.01,constant,1.01980390271856,0.0,0.0,3.0068394470175504e-12,14768.78197749391
dp=0.010,0.01,constant,1.01980390271856,0.0,0.0,-1.7518204451667741e-12,14724.146523437323
dp=0.010,0.01,constant,1.019803902718561,0.0,0.0,3.8217872564688234e-12,14736.802722827279
dp=0.010,0.01,constant,1.019803902718561,0.0,0.0,3.757280311166554e-12,14743.538056859967
dp=0.010,0.01,constant,1.019803902718561,0.0,0.0,2.904458018458682e-12,7462.795803988341
dp=0.010,0.01,constant,1.0198039027185613,0.0,0.0,8.222111849939939e-13,7495.91315477526
