case,time,targets,corrected,fallback,material_samples,boundary_samples,avg_material,avg_boundary,support,r_min_factor,r_threshold,boundary_weight,condition_limit,cond_min,cond_mean,cond_max,mean_lap,max_abs_lap,mean_abs_replaced,max_abs_replaced
mode8_corrected_laplacian_dp008,0.00402135,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.294,1410.11,2284.65,-15739700.0,30932900.0,15876000.0,44433000.0
mode8_corrected_laplacian_dp008,0.00410175,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.297,1410.08,2284.58,-19068400.0,37145400.0,19192000.0,61746300.0
mode8_corrected_laplacian_dp008,0.00410175,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.3,1410.04,2284.51,-19067800.0,37143300.0,19191300.0,61742400.0
mode8_corrected_laplacian_dp008,0.00418214,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.303,1410.0,2284.42,-22839600.0,51063700.0,22955500.0,81742000.0
mode8_corrected_laplacian_dp008,0.00418214,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.307,1409.96,2284.34,-22839400.0,51062800.0,22955100.0,81738500.0
mode8_corrected_laplacian_dp008,0.00426252,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.311,1409.91,2284.25,-27126500.0,67135900.0,27242500.0,104914000.0
mode8_corrected_laplacian_dp008,0.00426252,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.314,1409.87,2284.15,-27126900.0,67137000.0,27242700.0,104911000.0
mode8_corrected_laplacian_dp008,0.0043429,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.318,1409.82,2284.05,-3907640.0,15036500.0,4799300.0,10692800.0
mode8_corrected_laplacian_dp008,0.0043429,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.323,1409.76,2283.94,-3906200.0,15035900.0,4798860.0,10692100.0
mode8_corrected_laplacian_dp008,0.00442326,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.328,1409.72,2283.85,-8573960.0,17717600.0,9154350.0,25624400.0
