case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,kplastic_mean,kplastic_nonzero_count,kplastic_fraction,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
dp_high_strength,34,0.017092,specimen_minus_edges,63,0,123103.82416839048,10216.383278722082,14592917.0,-0.011744910333333334,0.02201852,0.0,0.0,0,0.0,-21.891045036507936,-21.89103746349206,-1294.2654857142854,1294.2654857142854,3.659449447543342,446.0158560714285,1272.3744444642855
dp_high_strength,35,0.017594,specimen_minus_edges,63,0,123605.95102210155,10399.66786126776,14558360.0,-0.014224561976190472,0.021901878,0.0,0.0,0,0.0,-19.620470538730157,-19.62046687952381,-1332.1703825396826,1332.1703825396826,3.766623018404914,457.1371066526455,1312.5499138305559
dp_high_strength,36,0.018097,specimen_minus_edges,63,0,128952.2091566683,10848.751881677035,15200322.0,-0.017108031793650794,0.022936625,0.0,0.0,0,0.0,-20.55169408888889,-20.55169511142857,-1371.036533333334,1371.036533333334,3.8765144708308976,470.7133075112172,1350.4848387331758
dp_mild_yield,0,0.0,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,1,0.000503,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
dp_mild_yield,2,0.001005,specimen_minus_edges,87,0,4698.739183172621,2074.1779915309744,31238852.0,-0.025065579636781615,0.046881352,0.0,0.0,0,0.0,-11.721895286206898,-11.721895205747128,-12.36440006666667,12.36440006666667,0.034959517573936644,11.936063519540232,0.6425048206896644
dp_mild_yield,3,0.001508,specimen_minus_edges,87,0,15742.843364720437,5434.557105057807,40137892.0,-0.03796296173563218,0.060240835,0.0,0.0,0,0.0,-37.89803154022989,-37.8980313908046,-48.00926691609195,48.00926691609195,0.1357430042230434,41.26844328237548,10.111235450574712
dp_mild_yield,4,0.002011,specimen_minus_edges,83,0,25651.009555531207,8667.807931612628,23027980.0,-0.023214342999999995,0.03464802,1.0757487e-05,1.015974612048193e-06,9,0.10843373493975904,-55.62865081927711,-55.628650951807245,-86.75373525301208,86.75373525301208,0.24529040760810294,66.00367900803214,31.125084367469906
dp_mild_yield,5,0.002513,specimen_minus_edges,79,0,25339.669483224807,6556.873741578779,21047436.0,0.004512139234810126,0.031491321,5.7750356e-05,7.225861441772153e-06,18,0.22784810126582278,-52.37297974683543,-52.37297925316454,-107.55444420253161,107.55444420253161,0.3041030265908459,70.76680106751053,55.181464702531635
dp_mild_yield,6,0.003016,specimen_minus_edges,71,0,18699.49328094984,6082.560968084929,37647876.0,0.024995364060563387,0.056415055,0.00011136909,2.1011842677464787e-05,27,0.38028169014084506,-30.326143295774656,-30.326142887323943,-104.21649654929575,104.21649654929575,0.2946652019479202,54.956260910798115,73.89035345774646
dp_mild_yield,7,0.003519,specimen_minus_edges,63,0,7825.904574291571,11159.068429022158,30294678.0,0.025002868220634914,0.045409549,0.00016001475,4.0809570171428567e-05,36,0.5714285714285714,-4.3888964141269815,-4.388895980317457,-88.60039146031744,88.60039146031744,0.2505117050252218,32.45939461825396,84.21149526309523
dp_mild_yield,8,0.004021,specimen_minus_edges,63,0,3656.600563493779,12183.691059586285,6415706.5,0.002253546872698412,0.0097248349,0.00019586347,5.350329287777778e-05,44,0.6984126984126984,7.077836195238095,7.077835885714286,-80.9755294761905,80.9755294761905,0.22895291567064943,22.273285798412704,88.0533655166667
dp_mild_yield,9,0.004524,specimen_minus_edges,63,0,6470.202953695492,12074.557682401155,23073608.0,-0.023408535349206342,0.034656417,0.00021763286,5.961442132222222e-05,60,0.9523809523809523,-1.6836715560317457,-1.68367214952381,-98.78207658730157,98.78207658730157,0.27929974150170983,34.04980676428571,97.09840473452383
dp_mild_yield,10,0.005027,specimen_minus_edges,63,0,16827.611199933253,10898.868512139179,26309010.0,-0.033120114571428584,0.039526444,0.00023062951,6.21018333888889e-05,61,0.9682539682539683,-23.95601814285714,-23.956018730158736,-132.64227920634923,132.64227920634923,0.3750372089190656,60.18477202645503,108.68626076984133
dp_mild_yield,11,0.00553,specimen_minus_edges,63,0,23553.320464731172,11142.426657682076,16919678.0,-0.023122492079365082,0.025427729,0.00024393538,6.447962365714286e-05,61,0.9682539682539683,-43.781398111111095,-43.78139846031744,-165.0471133333333,165.0471133333333,0.4666597188697817,84.20330330158727,121.26571504761907
dp_mild_yield,12,0.006032,specimen_minus_edges,63,0,27393.34488146384,11434.880779700099,5625930.5,-0.0032102797361904765,0.0085018445,0.0002649269,6.964460685873016e-05,61,0.9682539682539683,-49.56786653968255,-49.56786728571431,-183.0631501587302,183.0631501587302,0.5175988629135048,94.0662946613757,133.49528324603182
dp_mild_yield,13,0.006535,specimen_minus_edges,63,0,22795.18780050062,12123.580934131287,14745360.0,0.014824265601587294,0.022075186,0.00029596582,8.032912785238094e-05,61,0.9682539682539683,-40.471751761904756,-40.47175255555556,-181.20604555555542,181.20604555555542,0.5123480233530512,87.38318329100525,140.7342933968253
dp_mild_yield,14,0.007038,specimen_minus_edges,63,0,16014.433752936431,12034.10693427163,19087530.0,0.022267196714285706,0.028634522,0.00033477624,0.00010103576000476191,63,1.0,-27.228344793650802,-27.22834504761905,-157.57573349206345,157.57573349206345,0.4455348900504207,70.67747444444443,130.34738857142852
dp_mild_yield,15,0.00754,specimen_minus_edges,63,0,8101.581117928689,12662.267001501756,15334349.0,0.0190179215952381,0.022996033,0.00037633695,0.00012435237253968252,63,1.0,-14.6410802631746,-14.641080316984127,-130.40656301587302,130.40656301587302,0.36871587031550496,53.22957453201058,115.76548272579367
dp_mild_yield,16,0.008043,specimen_minus_edges,63,0,3690.3151672260965,12452.125334698781,11806960.0,0.008678967229682538,0.017709352,0.00041524589,0.00014429073741269844,63,1.0,-6.890448476825399,-6.890448179523809,-113.49949236507939,113.49949236507939,0.3209122542602738,42.4267963404762,106.60904403690478
dp_mild_yield,17,0.008546,specimen_minus_edges,63,0,1938.6989993144384,13313.202657146641,5931765.0,-0.0026869489914285714,0.0089455806,0.00044782224,0.0001581504887619048,63,1.0,-6.068733216031747,-6.06873275968254,-111.48508487301586,111.48508487301586,0.3152166512597111,41.20751694957672,105.41635188515872
dp_mild_yield,18,0.009048,specimen_minus_edges,63,0,4473.589045032873,12809.502015778713,11949557.0,-0.01007498114126984,0.017963381,0.00047349781,0.00016645875438095237,63,1.0,-11.324903127936512,-11.324903089206353,-120.75049539682544,120.75049539682544,0.34141398233039544,47.80010053798944,109.42559228825401
dp_mild_yield,19,0.009551,specimen_minus_edges,63,0,6504.2807821308315,12619.030865334751,14203595.0,-0.011141735646031745,0.021296104,0.00049485324,0.00017206079328571425,63,1.0,-19.55857500793651,-19.5585759015873,-133.23634666666663,133.23634666666663,0.3767168950912285,57.45116585873015,113.67777121190474
