step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,yield_f_normalized,return_status,yield_flag,iterations,residual,pore_pressure_proxy
49,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,169.69403396035634,169.69403396035634,169.69403396035634,0,0,0,-169.69403396035634,-169.69403396035634,-169.69403396035634,169.69403396035634,0,169.69403396749644,0.76073564557910367,0.0053234375282284543,0.0053234375282284543,1.272109705336984e-06,-1.7447510658880059e-06,4.2076328060382639e-11,plastic_converged,1,3,-1.7447510658880059e-06,0
50,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,170.27500967604487,170.27500967604487,170.27500967604487,0,0,0,-170.27500967604487,-170.27500967604487,-170.27500967604487,170.27500967604487,0,170.27500968333501,0.7599433145385931,0.0056340037886321746,0.0056340037886321746,1.2666040341962492e-06,-1.7875132805878025e-06,4.28139165033487e-11,plastic_converged,1,3,-1.7875132805878025e-06,0
51,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,170.85717539673291,170.85717539673291,170.85717539673291,0,0,0,-170.85717539673291,-170.85717539673291,-170.85717539673291,170.85717539673291,0,170.85717540417582,0.75915134004705076,0.0059442844607188816,0.0059442844607188816,1.2611275380045232e-06,-1.8312105910290315e-06,4.3562154868654769e-11,plastic_converged,1,3,-1.8312105910290315e-06,0
52,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,171.44053058776905,171.44053058776905,171.44053058776905,0,0,0,-171.44053058776905,-171.44053058776905,-171.44053058776905,171.44053058776908,6.0291550413456957e-14,171.4405305953664,0.75835972194402956,0.0062542796731575511,0.0062542796731575511,1.2556800445839707e-06,-1.8755840082504758e-06,4.4314619514589509e-11,plastic_converged,1,3,-1.8755910248419164e-06,0
53,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,172.02507470729248,172.02507470729248,172.02507470729248,0,0,0,-172.02507470729248,-172.02507470729248,-172.02507470729248,172.02507470729248,0,172.02507471504813,0.75756846006915479,0.0065639895563557975,0.0065639895563557975,1.2502613828374587e-06,-1.9212017151575717e-06,4.5084469451890587e-11,plastic_converged,1,3,-1.9211946746423414e-06,0
54,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,172.61080720627166,172.61080720627166,172.61080720627166,0,0,0,-172.61080720627166,-172.61080720627166,-172.61080720627166,172.61080720627169,6.0291550413456957e-14,172.61080721418958,0.75677755426212368,0.0068734142424511811,0.0068734142424511811,1.2448713827401347e-06,-1.9680673586994889e-06,4.58713476355705e-11,plastic_converged,1,3,-1.9680744231871468e-06,0
55,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,173.19772752853507,173.19772752853507,173.19772752853507,0,0,0,-173.19772752853507,-173.19772752853507,-173.19772752853507,173.19772752853507,0,173.19772753661823,0.75598700436270572,0.0071825538653042019,0.0071825538653042019,1.2395098753393319e-06,-2.0159789626704244e-06,4.6670142262734661e-11,plastic_converged,1,3,-2.0159718741617254e-06,0
56,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,173.78583511081118,173.78583511081118,173.78583511081118,0,0,0,-173.78583511081118,-173.78583511081118,-173.78583511081118,173.78583511081118,0,173.78583511906248,0.75519681021074248,0.0074914085604883222,0.007491408560488323,1.2341766927357338e-06,-2.0649024037392716e-06,4.7479735106451834e-11,plastic_converged,1,3,-2.0649024037392716e-06,0
57,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,174.37512938276052,174.37512938276052,174.37512938276052,0,0,0,-174.37512938276052,-174.37512938276052,-174.37512938276052,174.37512938276052,0,174.37512939118301,0.75440697164614767,0.0077999784652831297,0.0077999784652831305,1.2288716680891576e-06,-2.1148886506652402e-06,4.8300978482495647e-11,plastic_converged,1,3,-2.1148886506652402e-06,0
58,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,174.96560976701335,174.96560976701335,174.96560976701335,0,0,0,-174.96560976701335,-174.96560976701335,-174.96560976701335,174.96560976701335,0,174.96560977561009,0.75361748850890686,0.0081082637186650885,0.0081082637186650902,1.2235946356021029e-06,-2.1659534766811004e-06,4.913390056565334e-11,plastic_converged,1,3,-2.1659534766811004e-06,0
59,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,175.55727567920886,175.55727567920886,175.55727567920886,0,0,0,-175.55727567920886,-175.55727567920886,-175.55727567920886,175.55727567920886,0,175.55727568798298,0.75282836063907788,0.0084162644612984956,0.0084162644612984974,1.2183454305138397e-06,-2.2181199674620045e-06,4.9978690585704262e-11,plastic_converged,1,3,-2.2181199674620045e-06,0
60,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,176.15012652802096,176.15012652802096,176.15012652802096,0,0,0,-176.15012652802096,-176.15012652802096,-176.15012652802096,176.15012652802093,6.0291550413456957e-14,176.15012653697684,0.75203958787679026,0.008723980835529218,0.0087239808355292197,1.2131238891048083e-06,-2.2717214352720684e-06,5.0842472788776298e-11,plastic_converged,1,3,-2.2717142259297631e-06,0
61,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,176.74416171520849,176.74416171520849,176.74416171520849,0,0,0,-176.74416171520849,-176.74416171520849,-176.74416171520849,176.74416171520849,0,176.74416172434931,0.75125117006224573,0.0090314129853731658,0.0090314129853731676,1.2079298486690137e-06,-2.3264445709759255e-06,5.1717802543350783e-11,plastic_converged,1,3,-2.3264518046304642e-06,0
62,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,177.33938063563937,177.33938063563937,177.33938063563937,0,0,0,-177.33938063563937,-177.33938063563937,-177.33938063563937,177.33938063563937,0,177.33938064496849,0.75046310703571772,0.0093385610565107358,0.0093385610565107375,1.2027631475310735e-06,-2.3823636576896873e-06,5.260598885480019e-11,plastic_converged,1,3,-2.3823636576896873e-06,0
63,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,177.93578267732852,177.93578267732852,177.93578267732852,0,0,0,-177.93578267732852,-177.93578267732852,-177.93578267732852,177.93578267732855,6.0291550413456957e-14,177.9357826868505,0.74967539863755162,0.0096454251962774622,0.0096454251962774639,1.1976236250247044e-06,-2.439786926066535e-06,5.3513434096442406e-11,plastic_converged,1,3,-2.4397942084908565e-06,0
