path,step,yield_flag,return_status,iterations,residual,yield_f,plastic_multiplier
drained_like,88,1,plastic_converged,5,9.900020540953847e-05,9.900020540953847e-05,1.0920238522153715e-06
drained_like,89,1,plastic_converged,5,0.00010026580548583297,0.00010026580548583297,1.089347272278604e-06
drained_like,90,1,plastic_converged,5,0.0001015267489492544,0.00010152674076380208,1.086670291999781e-06
drained_like,91,1,plastic_converged,5,0.0001027831121973577,0.0001027831121973577,1.0839932119100975e-06
drained_like,92,1,plastic_converged,5,0.00010403484156995546,0.00010403483884147136,1.0813163210542338e-06
drained_like,93,1,plastic_converged,5,0.00010528212169447215,0.00010528212169447215,1.0786398974138151e-06
drained_like,94,1,plastic_converged,5,0.00010652534456312424,0.00010652534456312424,1.075964208313534e-06
drained_like,95,1,plastic_converged,5,0.00010776402632473037,0.00010776401904877275,1.0732895108135222e-06
drained_like,96,1,plastic_converged,5,0.00010899856624746462,0.00010899857261392754,1.0706160520839083e-06
drained_like,97,1,plastic_converged,5,0.00011022921171388589,0.0001102292180803488,1.0679440697671506e-06
drained_like,98,1,plastic_converged,5,0.00011145562893943861,0.0001114556243919651,1.0652737923306357e-06
drained_like,99,1,plastic_converged,5,0.00011267865738773253,0.00011267865556874312,1.0626054393952753e-06
drained_like,100,1,plastic_converged,5,0.00011389765313651878,0.0001138976613219711,1.0599392220674427e-06
drained_like,101,1,plastic_converged,5,0.00011511286174936686,0.00011511286356835626,1.057275343240788e-06
drained_like,102,1,plastic_converged,5,0.00011632474797806935,0.00011632475434453227,1.0546139979022109e-06
drained_like,103,1,plastic_converged,5,0.00011753333183150971,0.00011753333365049912,1.0519553734189694e-06
drained_like,104,1,plastic_converged,5,0.00011873843777721049,0.0001187384395961999,1.0492996498149422e-06
drained_like,105,1,plastic_converged,5,0.00011994057786068879,0.00011994057786068879,1.0466470000352786e-06
drained_like,106,1,plastic_converged,5,0.00012113980847061612,0.00012113981392758433,1.04399759020913e-06
drained_like,107,1,plastic_converged,5,0.0001223355320689734,0.00012233553752594162,1.04135157989312e-06
drained_like,108,1,plastic_converged,5,0.0001235287463714485,0.0001235287463714485,1.0387091223073147e-06
drained_like,109,1,plastic_converged,5,0.00012471942864067387,0.00012471943045966327,1.0360703645727702e-06
drained_like,110,1,plastic_converged,5,0.00012590719143190654,0.00012590719143190654,1.0334354479245427e-06
drained_like,111,1,plastic_converged,5,0.00012709287420875626,0.00012709287602774566,1.0308045079256172e-06
drained_like,112,1,plastic_converged,5,0.00012827562386519276,0.00012827562204620335,1.028177674676533e-06
drained_like,113,1,plastic_converged,5,0.00012945662274432834,0.00012945662092533894,1.0255550730032367e-06
drained_like,114,1,plastic_converged,5,0.00013063521691947244,0.00013063521328149363,1.0229368226580029e-06
drained_like,115,1,plastic_converged,5,0.0001318118420385872,0.00013181185477151303,1.0203230384926775e-06
drained_like,116,1,plastic_converged,5,0.000132987000142748,0.0001329870037807268,1.0177138306387929e-06
drained_like,117,1,plastic_converged,5,0.0001341598435828928,0.00013415983721642988,1.015109304679196e-06
