step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,return_status,yield_flag,iterations,residual,pore_pressure_proxy,yield_f_normalized
47,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,168.53565464633311,168.53565464633311,168.53565464633311,0.0,0.0,0.0,-168.53565464633311,-168.53565464633311,-168.53565464633311,168.53565464633311,0.0,168.53565465318314,0.7623213779491789,0.004701447736537309,0.004701447736537309,1.2832092666184802e-06,-1.6624429482380126e-06,plastic_converged,1,3,-1.6624429482380126e-06,0.0,4.064439593364118e-11
48,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,169.11424877707586,169.11424877707586,169.11424877707586,0.0,0.0,0.0,-169.11424877707586,-169.11424877707586,-169.11424877707586,169.11424877707586,0.0,169.11424878406962,0.7615283333291017,0.00501258555258573,0.00501258555258573,1.2776447246923409e-06,-1.703151659955504e-06,plastic_converged,1,3,-1.703151659955504e-06,0.0,4.135522885584168e-11
49,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,169.69403396035634,169.69403396035634,169.69403396035634,0.0,0.0,0.0,-169.69403396035634,-169.69403396035634,-169.69403396035634,169.69403396035634,0.0,169.69403396749644,0.7607356455791037,0.005323437528228454,0.005323437528228454,1.272109705336984e-06,-1.7447510658880059e-06,plastic_converged,1,3,-1.7447510658880059e-06,0.0,4.207632806038264e-11
50,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,170.27500967604487,170.27500967604487,170.27500967604487,0.0,0.0,0.0,-170.27500967604487,-170.27500967604487,-170.27500967604487,170.27500967604487,0.0,170.275009683335,0.7599433145385931,0.005634003788632175,0.005634003788632175,1.2666040341962492e-06,-1.7875132805878025e-06,plastic_converged,1,3,-1.7875132805878025e-06,0.0,4.28139165033487e-11
51,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,170.8571753967329,170.8571753967329,170.8571753967329,0.0,0.0,0.0,-170.8571753967329,-170.8571753967329,-170.8571753967329,170.8571753967329,0.0,170.85717540417582,0.7591513400470508,0.005944284460718882,0.005944284460718882,1.2611275380045232e-06,-1.8312105910290315e-06,plastic_converged,1,3,-1.8312105910290315e-06,0.0,4.356215486865477e-11
52,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,171.44053058776905,171.44053058776905,171.44053058776905,0.0,0.0,0.0,-171.44053058776905,-171.44053058776905,-171.44053058776905,171.44053058776908,6.029155041345696e-14,171.4405305953664,0.7583597219440296,0.006254279673157551,0.006254279673157551,1.2556800445839707e-06,-1.8755840082504758e-06,plastic_converged,1,3,-1.8755910248419164e-06,0.0,4.431461951458951e-11
53,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,172.02507470729248,172.02507470729248,172.02507470729248,0.0,0.0,0.0,-172.02507470729248,-172.02507470729248,-172.02507470729248,172.02507470729248,0.0,172.02507471504813,0.7575684600691548,0.0065639895563557975,0.0065639895563557975,1.2502613828374587e-06,-1.9212017151575717e-06,plastic_converged,1,3,-1.9211946746423414e-06,0.0,4.508446945189059e-11
54,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,172.61080720627166,172.61080720627166,172.61080720627166,0.0,0.0,0.0,-172.61080720627166,-172.61080720627166,-172.61080720627166,172.6108072062717,6.029155041345696e-14,172.61080721418958,0.7567775542621237,0.006873414242451181,0.006873414242451181,1.2448713827401347e-06,-1.968067358699489e-06,plastic_converged,1,3,-1.9680744231871468e-06,0.0,4.58713476355705e-11
55,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,173.19772752853507,173.19772752853507,173.19772752853507,0.0,0.0,0.0,-173.19772752853507,-173.19772752853507,-173.19772752853507,173.19772752853507,0.0,173.19772753661823,0.7559870043627057,0.007182553865304202,0.007182553865304202,1.2395098753393319e-06,-2.0159789626704244e-06,plastic_converged,1,3,-2.0159718741617254e-06,0.0,4.667014226273466e-11
56,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,173.78583511081118,173.78583511081118,173.78583511081118,0.0,0.0,0.0,-173.78583511081118,-173.78583511081118,-173.78583511081118,173.78583511081118,0.0,173.78583511906248,0.7551968102107425,0.007491408560488322,0.007491408560488323,1.2341766927357338e-06,-2.0649024037392716e-06,plastic_converged,1,3,-2.0649024037392716e-06,0.0,4.7479735106451834e-11
