case,time,xi,shepard,interval,gencase_code,dual_code,excluded,steps,final_part,nmat,zmin,zmax,H,K,G,vel_max,vel_mean,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Eq4_p0_max,Eq4_minus_hydro_max,L2_PorePress_vs_Eq4,MaxErr_PorePress_vs_Eq4,L2_Excess_vs_Eq4_minus_hydro,MaxErr_Excess_vs_Eq4_minus_hydro,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S40,0.0020,0.03,1,40,0,0,0,4195,PartCsv_0001.csv,1000,0.0049935798,0.99498105,0.9899874702,1666666.6666666665,769230.7692307692,0.018552024,0.014351568400900025,1620.404098303,23791.75647607,10971.852176353916,49.235899499999675,9761.012982162,4905.16549167851,1571.168286117,14077.67298345,6066.68648741813,20312.699816638396,10551.686834476397,1489.699737159384,3753.868645806622,1489.699568935647,3753.8682563666225,87605166.66666667,72194864.44023107,92678848.0,11.392322000000014
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S0,0.0020,0.05,0,0,0,0,0,4195,PartCsv_0001.csv,1000,0.0049936795,0.99498147,0.9899877905000001,1666666.6666666665,769230.7692307692,0.017940111,0.013864651147000057,1545.250608409,23483.40482989,10814.082989315584,49.231779299999666,9761.012004105001,4905.161855435257,1496.018899814,13768.12165649,5908.920924356632,20312.70638859809,10551.694384493088,1358.8159499183719,3446.6579555300814,1358.815788826598,3446.6575641200798,84284800.0,70389993.1861366,89432712.0,11.172608
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S20,0.0020,0.05,1,20,0,0,0,4195,PartCsv_0001.csv,1000,0.0049936632,0.99498147,0.9899878068,1666666.6666666665,769230.7692307692,0.017941784,0.013927147225999938,1610.701894329,23324.51110655,10791.27128582557,49.231779299999666,9761.012164008,4905.162130929475,1561.470185188,13608.79110876,5886.108948838527,20312.70672304374,10551.694559035739,1300.9328624753184,3288.2948965908763,1300.9327036349962,3288.294486550876,86161120.00000001,69570268.03370711,90609248.0,11.002039000000002
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S40,0.0020,0.05,1,40,0,0,0,4195,PartCsv_0001.csv,1000,0.0049936711,0.99498147,0.9899877989,1666666.6666666665,769230.7692307692,0.017940922,0.013896114985300013,1577.825126408,23409.40878399,10802.712546918243,49.231779299999666,9761.012086509,4905.162009687694,1528.593417597,13694.13217117,5897.550344907642,20312.70656095045,10551.69447444145,1330.2652270037306,3372.6892295764083,1330.2650687022087,3372.6888310264076,85223286.66666669,70372770.91267414,90080696.0,11.106654000000011
Case1DConsolidation_PR_SW2C_T0p0025_Xi4em5_S0,0.0025,4e-5,0,0,0,0,0,5244,PartCsv_0001.csv,1000,0.0049926238,0.99496949,0.9899768662,1666666.6666666665,769230.7692307692,0.024142222,0.015990991509000043,5571.455834911,32461.10794992,17221.903053307786,49.34930309999989,9761.022360522002,4905.247316103748,5522.10638858,22740.02000968,12316.655530148812,20312.482242299993,10551.459881777992,7530.129993928279,12430.447314141697,7530.129759184626,12430.446929021697,79205053.33333334,62838847.33951751,76246840.0,13.311169
Case1DConsolidation_PR_SW2C_T0p0025_Xi4em5_S20,0.0025,4e-5,1,20,0,0,0,5244,PartCsv_0001.csv,1000,0.0049925819,0.99496949,0.9899769081,1666666.6666666665,769230.7692307692,0.024155889000000007,0.016127649918500034,5677.673670003,32224.07336844,17169.701359484414,49.34930309999989,9761.022771561,4905.248084903632,5628.324191122,22501.61880452,12264.4530499448,20312.483102009985,10551.460330448985,7446.290103009985,12194.93794805957,7446.289859636101,12194.937554819571,81373086.66666667,60400429.25062861,77520200.0,13.166994000000129
Case1DConsolidation_PR_SW2C_T0p0025_Xi4em5_S40,0.0025,4e-5,1,40,0,0,0,5244,PartCsv_0001.csv,1000,0.0049926029,0.99496949,0.9899768871,1666666.6666666665,769230.7692307692,0.024149168,0.016059849793000004,5627.09459396,32332.5011762,17195.470297453707,49.34930309999989,9761.022565551,4905.247690443546,5577.74513123,22610.21988479,12290.22237816195,20312.48267112908,10551.46010557808,7487.220752406272,12303.143454676909,7487.220503975407,12303.14304050691,80294533.33333334,60729282.55079851,76756912.0,13.24191300000099
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S0,0.0025,0.01,0,0,0,0,0,5244,PartCsv_0001.csv,1000,0.0049926802,0.9949699,0.9899772198,1666666.6666666665,769230.7692307692,0.023634952,0.015672769305000018,5474.700432017,32089.33311408,17010.23660124919,49.34528100000037,9761.021807238001,4905.244071210796,5425.35519368,22367.7352207,12104.992305433283,20312.48949751369,10551.467690275687,7301.372462680209,12059.163083262709,7301.37221843651,12059.16267126271,78029013.33333334,62037936.753652744,75108216.0,13.126181
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S20,0.0025,0.01,1,20,0,0,0,5244,PartCsv_0001.csv,1000,0.0049926387,0.9949699,0.9899772613,1666666.6666666665,769230.7692307692,0.023648329000000003,0.015806652834499987,5579.484638888,31854.91869322,16958.970868056742,49.34528100000037,9761.022214353,4905.244859591439,5530.139368665,22131.96254714,12053.725799300239,20312.49034901643,10551.468134663428,7219.040945911524,11826.263432710588,7219.040715227069,11826.263038030585,80155020.00000001,59615863.77689433,76349584.0,12.981599000000562
Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S40,0.0025,0.01,1,40,0,0,0,5244,PartCsv_0001.csv,1000,0.0049926592,0.9949699,0.9899772407999999,1666666.6666666665,769230.7692307692,0.023641728000000004,0.015740225030200023,5529.557926105,31962.16253746,16984.275698887428,49.34528100000037,9761.022013248,4905.24445223119,5480.212671815,22239.38112007,12079.031013737696,20312.489928394592,10551.467915146592,7259.230041986982,11933.284130885371,7259.229791912061,11933.283741995368,79097473.33333334,59946277.051851854,75603600.0,13.056661000000231
