step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
87,0.00567401,1.0,51,356,888568.0,489455.0,888568.0,489455.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
88,0.00568583,1.0,51,356,981906.0,548978.0,981906.0,548978.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
89,0.00570103,1.0,51,356,992879.0,565749.0,992879.0,565749.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
90,0.00572003,1.0,51,356,461051.0,273637.0,461051.0,273637.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
91,0.00573819,1.0,51,356,173396.0,117129.0,173396.0,117129.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
92,0.00574875,1.0,51,356,54138.6,22331.0,54138.6,22331.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
93,0.00575794,1.0,51,356,191155.0,87443.3,191155.0,87443.3,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
94,0.00576696,1.0,51,356,357256.0,178597.0,357256.0,178597.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
95,0.00577613,1.0,51,356,515871.0,263819.0,515871.0,263819.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
96,0.0057859,1.0,51,356,662778.0,341641.0,662778.0,341641.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
97,0.00579684,1.0,51,356,788970.0,408317.0,788970.0,408317.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
