case,configured_dp,excess_count,excess_max,excess_maxAbs,excess_mean,excess_median,excess_p90_abs,excess_p95_abs,excess_p99_abs,frame_index,kind,mode,r_over_R_max,r_over_R_min,resolution,time
coarse_diffusion,0.01,24,769.5633217053,769.5633217053,769.5632964864291,769.56330622105,769.56331801062,769.563318828285,769.563321048627,2,diffusion,4,1.0,0.95,coarse,0.002011
coarse_diffusion,0.01,1,679.183411806,679.183411806,679.183411806,679.183411806,679.183411806,679.183411806,679.183411806,3,diffusion,4,0.2,0.0,coarse,0.003016
coarse_diffusion,0.01,26,742.8874826913,742.8874826913,727.6543464894113,727.765091324,742.8874773482501,742.8874785031,742.887481700825,3,diffusion,4,0.4,0.2,coarse,0.003016
coarse_diffusion,0.01,66,767.0033973614,767.0033973614,764.5647075367364,766.7695785026001,767.0033893129,767.003393780875,767.00339709633,3,diffusion,4,0.6,0.4,coarse,0.003016
coarse_diffusion,0.01,158,771.9467138387,771.9467138387,729.9438766754075,716.18401808935,766.38763819699,766.38764343711,771.946709296656,3,diffusion,4,0.8,0.6,coarse,0.003016
coarse_diffusion,0.01,138,699.8584063532,699.8584063532,688.8329022959533,691.31110288525,694.74145729865,694.741465799535,699.858405561668,3,diffusion,4,0.9,0.8,coarse,0.003016
coarse_diffusion,0.01,72,677.3505434975,677.3505434975,674.8987157604956,677.35051601225,677.35053244166,677.3505341989251,677.35054096777,3,diffusion,4,0.95,0.9,coarse,0.003016
coarse_diffusion,0.01,24,659.7877957265,659.7877957265,659.7877763360875,659.7877726185,659.78779359081,659.78779407044,659.787795349898,3,diffusion,4,1.0,0.95,coarse,0.003016
coarse_diffusion,0.01,1,721.9191734756,721.9191734756,721.9191734756,721.9191734756,721.9191734756,721.9191734756,721.9191734756,4,diffusion,4,0.2,0.0,coarse,0.004022
coarse_diffusion,0.01,26,690.5180054778,690.5180054778,664.0701874974459,664.47485550955,690.5179985505999,690.5179996765249,690.5180040641,4,diffusion,4,0.4,0.2,coarse,0.004022
coarse_diffusion,0.01,66,627.9551840863,627.9551840863,612.0638364604242,608.79440234755,616.7802318305501,627.95515039105,627.95518138893,4,diffusion,4,0.6,0.4,coarse,0.004022
coarse_diffusion,0.01,158,599.5001467816,599.5001467816,578.4986731203494,568.6038581657,599.5001347042,599.50013909885,599.5001440086801,4,diffusion,4,0.8,0.6,coarse,0.004022
coarse_diffusion,0.01,138,569.1345589891,569.1345589891,567.1718189376369,567.0552611529,569.13453278459,569.1345373991501,569.1345449287,4,diffusion,4,0.9,0.8,coarse,0.004022
coarse_diffusion,0.01,72,565.8570085447,565.8570085447,564.717844886618,564.14830551195,565.85696173816,565.8569815856799,565.857001542325,4,diffusion,4,0.95,0.9,coarse,0.004022
coarse_diffusion,0.01,24,561.6099534087,561.6099534087,561.6098628019334,561.60985084,561.60990790081,561.60994425677,561.609952684729,4,diffusion,4,1.0,0.95,coarse,0.004022
coarse_diffusion,0.01,1,670.0650329057,670.0650329057,670.0650329057,670.0650329057,670.0650329057,670.0650329057,670.0650329057,5,diffusion,4,0.2,0.0,coarse,0.005027
coarse_diffusion,0.01,26,733.2380639674,733.2380639674,723.2497794274193,725.31356542185,733.2380565352,733.238061981075,733.2380637818248,5,diffusion,4,0.4,0.2,coarse,0.005027
coarse_diffusion,0.01,66,737.3369357187,737.3369357187,724.8646777082835,723.7636024180999,732.37250118065,737.33691829095,737.3369307493199,5,diffusion,4,0.6,0.4,coarse,0.005027
coarse_diffusion,0.01,158,699.0194219784,699.0194219784,648.326718299336,628.7465419125499,692.99103946401,692.991051064855,699.0194144332061,5,diffusion,4,0.8,0.6,coarse,0.005027
coarse_diffusion,0.01,138,603.0989520842,603.0989520842,584.2227500952375,587.84926971295,595.7253239234299,595.72534718568,603.098933751905,5,diffusion,4,0.9,0.8,coarse,0.005027
coarse_diffusion,0.01,72,558.190670011,558.190670011,556.4926685409733,558.1905303285,558.1906146157299,558.190623669165,558.1906419473979,5,diffusion,4,0.95,0.9,coarse,0.005027
